,SIAH3 (283514)
ACH-000004,-0.1703407726230649
ACH-000005,-0.33890668043295163
ACH-000007,-0.08307308209858069
ACH-000009,-0.05910667788768385
ACH-000011,-0.02658448915736283
ACH-000012,-0.08114400908588358
ACH-000013,-0.04697485094618038
ACH-000014,0.039691050211954
ACH-000015,-0.09520700491271464
ACH-000017,-0.10592735497556682
ACH-000018,-0.08333500255203684
ACH-000019,-0.09094785199740173
ACH-000021,0.008100747050722362
ACH-000022,-0.09000577352755182
ACH-000025,-0.17464164452915446
ACH-000028,-0.03245493727888718
ACH-000030,-0.16219228166275074
ACH-000035,-0.0433716834540583
ACH-000036,-7.049821957678301e-05
ACH-000037,-0.2434076703226685
ACH-000039,-0.09414132251161698
ACH-000040,-0.18498112837922948
ACH-000041,-0.2369975700985008
ACH-000042,-0.12248255256718868
ACH-000045,-0.15301625233302246
ACH-000047,-0.016557841933164532
ACH-000052,-0.16617962063874636
ACH-000053,-0.08618111888016547
ACH-000054,-0.03783818239928148
ACH-000055,-0.07023833779603057
ACH-000060,-0.17639667923301502
ACH-000067,-0.18148159711335826
ACH-000070,0.012449073819436976
ACH-000075,-0.2598306474033407
ACH-000078,-0.20902032702546455
ACH-000082,-0.0815568016745601
ACH-000085,-0.21331731629992665
ACH-000086,-0.1237475029535866
ACH-000087,-0.02181185513873348
ACH-000092,-0.19716169451441884
ACH-000095,-0.13144293948842636
ACH-000097,-0.14261572983556178
ACH-000098,-0.0019569834080969233
ACH-000099,-0.12027068851236808
ACH-000108,-0.17877368661696166
ACH-000113,-0.1294576573318943
ACH-000116,-0.08296438225818796
ACH-000118,-0.2120318124592301
ACH-000120,-0.019587751005979745
ACH-000123,-0.0576360112154249
ACH-000127,-0.07959777219026024
ACH-000128,-0.2323066478161549
ACH-000132,-0.10193620968007387
ACH-000133,-0.021926799443489627
ACH-000137,-0.023082425068581217
ACH-000138,-0.031882855653875566
ACH-000142,-0.04107495754383851
ACH-000143,0.06360553716133474
ACH-000146,-0.021424803466651567
ACH-000148,0.0057297019407552725
ACH-000150,-0.06966385631348561
ACH-000152,-0.14957525114397294
ACH-000153,-0.26947942012990633
ACH-000159,-0.17549543118541852
ACH-000160,-0.019184437791215182
ACH-000163,-0.20509368356984484
ACH-000167,-0.11077201972250653
ACH-000168,-0.04360681876624879
ACH-000169,0.04812299112794991
ACH-000178,-0.06775555869186063
ACH-000183,0.002467312852583104
ACH-000188,-0.10010488436519266
ACH-000189,-0.1928509450582683
ACH-000190,0.15301208077587078
ACH-000198,-0.1306301285973094
ACH-000203,-0.1707668813222732
ACH-000204,-0.13876937709738668
ACH-000206,-0.11045055636265846
ACH-000207,-0.21933954354013974
ACH-000208,-0.11425684468342988
ACH-000210,0.029077489924562275
ACH-000211,-0.040352086734778116
ACH-000215,-0.05330136032463835
ACH-000221,-0.02944172207681397
ACH-000222,-0.06435663994963882
ACH-000223,-0.0840290761930351
ACH-000226,-0.13737154794472856
ACH-000227,-0.03665175360548848
ACH-000228,0.07586798103766312
