,YWHAZ (7534)
ACH-000004,-0.2450508200592667
ACH-000005,-0.4696246456232052
ACH-000007,-0.4392010044953493
ACH-000009,-0.2164004155084083
ACH-000011,-0.3473837778693604
ACH-000012,-0.3064163608398727
ACH-000013,-0.4358678506724922
ACH-000014,-0.21476753389797906
ACH-000015,-0.16391772330088225
ACH-000017,-0.5583938822578508
ACH-000018,-0.39376340356883227
ACH-000019,-0.6276566416428211
ACH-000021,-0.3971777616343669
ACH-000022,-0.2970819486628488
ACH-000025,-0.4030629313234532
ACH-000028,-0.21939133450562426
ACH-000030,-0.28391870421094784
ACH-000035,-0.3329694620365945
ACH-000036,-0.4935489327386287
ACH-000037,-0.5374590698545391
ACH-000039,-0.3306625748405723
ACH-000040,-0.548860580281741
ACH-000041,-0.4405407654045568
ACH-000042,-0.10943722621600717
ACH-000045,-0.09852665708812723
ACH-000047,-0.3422219122124105
ACH-000052,-0.1478496777691821
ACH-000053,-0.4652325060687904
ACH-000054,-0.4150326187241832
ACH-000055,-0.3715904803719079
ACH-000060,-0.7174895479789926
ACH-000067,-0.1348536371934516
ACH-000070,-0.4105608507324133
ACH-000075,-0.17168415600958256
ACH-000078,-0.1505125897603434
ACH-000082,-0.3059356386277856
ACH-000085,-0.5104169090883103
ACH-000086,-0.3408171514916773
ACH-000087,-0.4696847107018049
ACH-000092,-0.5048322386663185
ACH-000095,-0.31835264791526113
ACH-000097,-0.2718291515439348
ACH-000098,-0.4245106031578784
ACH-000099,-0.2907130455829686
ACH-000108,-0.2571497525123375
ACH-000113,-0.24815965610390256
ACH-000116,-0.04150393082024198
ACH-000118,-0.4090631392066773
ACH-000120,-0.2068932540681768
ACH-000123,-0.312838813447753
ACH-000127,-0.3082549537141944
ACH-000128,-0.500381366421191
ACH-000132,-0.28494579262583114
ACH-000133,-0.3086970401235739
ACH-000137,-0.3435417898435692
ACH-000138,-0.1703263339319434
ACH-000142,-0.3881994336207476
ACH-000143,-0.10146999556022616
ACH-000146,-0.06920908186251358
ACH-000148,-0.23527859274556995
ACH-000150,-0.5048714694089556
ACH-000152,-0.2826642092827849
ACH-000153,-0.3879680542057286
ACH-000159,-0.435428382174647
ACH-000160,-0.2159220082617932
ACH-000163,-0.4265417845505644
ACH-000167,-0.6209265331851556
ACH-000168,-0.30480299554827506
ACH-000169,-0.2695296242633392
ACH-000178,-0.4722201276004165
ACH-000183,-0.3577892402557236
ACH-000188,-0.20801246224250186
ACH-000189,-0.2667794889605653
ACH-000190,-0.3760197383108853
ACH-000198,-0.2500535419167678
ACH-000203,-0.06710177510971017
ACH-000204,-0.5606451966686069
ACH-000206,-0.07330855702173641
ACH-000207,-0.2560032038829745
ACH-000208,-0.26182705011257656
ACH-000210,-0.3337920727053201
ACH-000211,-0.24270331569320805
ACH-000215,-0.39203493935487815
ACH-000221,-0.2587456411513929
ACH-000222,-0.5223539143395789
ACH-000223,-0.3728078918297443
ACH-000226,-0.208925053957676
ACH-000227,-0.4450711609576421
ACH-000228,-0.1700793803659769
ACH-000231,-0.21138632263791435
ACH-000232,-0.27704355634723504
ACH-000233,-0.3336748838200525
ACH-000234,-0.5698526834506553
ACH-000235,-0.2751031427778872
ACH-000237,-0.3933035719088148
ACH-000238,-0.2357443405040005
ACH-000242,-0.1284661819080534
ACH-000243,-0.3350360395588969
ACH-000244,-0.4983567649490866
ACH-000246,-0.6402512954989347
ACH-000248,-0.3671427382882628
ACH-000250,-0.445827429256997
ACH-000251,-0.1476484394794001
ACH-000252,-0.5324179077329082
ACH-000253,-0.3124755512261096
ACH-000255,-0.1434998779051466
ACH-000256,-0.4354338863390368
ACH-000257,-0.304507651168443
ACH-000258,-0.13988570040796505
ACH-000259,-0.29317101745013097
ACH-000260,-0.2933540301359793
ACH-000261,-0.3512179441545322
ACH-000262,-0.452499192352319
ACH-000263,-0.2168134790193488
ACH-000264,-0.4835722063193834
ACH-000265,-0.3688204978549416
ACH-000266,-0.2620865065154522
ACH-000272,-0.5587562424104923
ACH-000274,-0.3077475322195799
ACH-000277,-0.6840605514302769
ACH-000278,-0.35055375467950955
ACH-000279,-0.4716559239534718
ACH-000280,-0.3230697921687345
ACH-000281,-0.4721819281140087
ACH-000288,-0.3028966203940228
ACH-000291,-0.2746453799162701
ACH-000293,-0.26510700867526005
ACH-000294,-0.0068729808357352856
ACH-000295,-0.33302111631065084
ACH-000296,-0.3590651519828902
ACH-000302,-0.5065498327043806
ACH-000304,-0.14770630579545996
ACH-000307,-0.19528904913034845
ACH-000308,-0.4489305633740023
ACH-000310,-0.4310134266314932
ACH-000311,-0.3504128340467005
ACH-000312,-0.4356029076654856
ACH-000315,-0.3935292472149254
ACH-000316,-0.19001224400831448
ACH-000317,-0.4764214670239645
ACH-000318,-0.19444830211777286
ACH-000319,-0.2769961017320755
ACH-000320,-0.6389968989758816
ACH-000322,-0.3703092952450082
ACH-000323,-0.5569717648233808
ACH-000324,-0.4603285239347447
ACH-000329,-0.06079507364081664
ACH-000330,-0.10963769809733732
ACH-000331,-0.5225690191562112
ACH-000332,-0.33794636707298
ACH-000334,-0.40812250253321053
ACH-000335,-0.2461188581680557
ACH-000336,-0.17106620842729942
ACH-000337,-0.3487325868278341
ACH-000338,0.16806098641303316
ACH-000339,-0.18189370582975747
ACH-000341,-0.3254406908310374
ACH-000348,-0.40637774912514657
ACH-000350,-0.17133522444907268
ACH-000352,-0.551702736771155
ACH-000356,-0.15068294241893038
ACH-000361,-0.3067622202007592
ACH-000362,-0.1822490809333723
ACH-000363,-0.5133401712845209
ACH-000364,-0.23642298895536834
ACH-000365,-0.4109561309157016
ACH-000366,-0.3300345754731758
ACH-000368,-0.3786435871919016
ACH-000374,-0.3482673614298591
ACH-000375,-0.5602632654705594
ACH-000376,-0.412929003907664
ACH-000381,-0.3305941165107017
ACH-000383,-0.10143752488401277
ACH-000387,-0.4040226616532612
ACH-000389,-0.23603660340065585
ACH-000390,-0.2564518932973482
ACH-000393,-0.4075189715411138
ACH-000395,-0.9535004360150188
ACH-000396,-0.4521498709010584
ACH-000397,-0.4072914225003064
ACH-000401,-0.6808687101570122
ACH-000402,-0.14764880770620406
ACH-000403,-0.2705571590733968
ACH-000404,-0.6003928102057152
ACH-000406,-0.28341114285912505
ACH-000407,-0.2993602164092507
ACH-000408,-0.4804465548059785
ACH-000410,-0.29830784137075617
ACH-000411,-0.4090525819206168
ACH-000414,-0.42839256639396994
ACH-000415,-0.30780041202857217
ACH-000416,-0.325653180722869
ACH-000420,-0.13661411968323126
ACH-000421,-0.3317580348452186
ACH-000424,-0.5300874181172275
ACH-000425,-0.4928089666011642
ACH-000426,-0.4968717825441802
ACH-000427,-0.33383965071009664
ACH-000433,-0.24493893589068474
ACH-000435,-0.4296911354972261
ACH-000436,-0.3249758934396941
ACH-000444,-0.33422526628400057
ACH-000445,-0.4928651773646525
ACH-000448,-0.3883518889681947
ACH-000450,-0.4133531572346127
ACH-000452,-0.1681982101201499
ACH-000454,-0.2539525061548478
ACH-000458,-0.4756573671311382
ACH-000459,-0.3139324842445781
ACH-000460,-0.3033748804455106
ACH-000461,-0.5720101933625771
ACH-000463,-0.2721940821523783
ACH-000464,-0.34348790796792056
ACH-000466,-0.4086928772828828
ACH-000467,-0.33656351416503144
ACH-000468,-0.3517840173203243
ACH-000469,-0.2695251581797047
ACH-000470,-0.3645902986293518
ACH-000471,-0.19252126405392184
ACH-000472,-0.419287064360008
ACH-000473,-0.2944489583433777
ACH-000475,-0.2742461778885664
ACH-000476,-0.3422263385769808
ACH-000477,-0.5116267326443428
ACH-000479,-0.17056604084839475
ACH-000480,-0.3061096557522219
ACH-000481,-0.18922496499407515
ACH-000483,-0.2712942515050721
ACH-000484,-0.7914290795671844
ACH-000485,-0.32847514479551354
ACH-000486,-0.4248200538554345
ACH-000487,-0.13718580256221832
ACH-000488,-0.10487990199952064
ACH-000490,-0.2875265066342581
ACH-000491,-0.4702857450306951
