,CHTF8 (54921)
ACH-000004,-0.5163573892460349
ACH-000005,-0.5274175494006236
ACH-000007,-0.5294563994456833
ACH-000009,-0.4387782095899485
ACH-000011,-0.8346882301699292
ACH-000012,-0.5270084306440163
ACH-000013,-0.8545897849265619
ACH-000014,-0.6730936917334113
ACH-000015,-0.569245176972634
ACH-000017,-0.4108966364038978
ACH-000018,-0.66866417191308
ACH-000019,-0.6703626516656271
ACH-000021,-0.4916998450572782
ACH-000022,-0.4354400980159808
ACH-000025,-0.8077805241388375
ACH-000028,-0.5075041674880448
ACH-000030,-0.2416588185433439
ACH-000035,-0.4363677498762797
ACH-000036,-0.7231126144688399
ACH-000037,-0.5917175739917613
ACH-000039,-0.5395722864435992
ACH-000040,-0.4578673736066953
ACH-000041,-0.4490255277535773
ACH-000042,-0.34454545014145993
ACH-000045,-0.6109244977612881
ACH-000047,-0.8728578825771841
ACH-000052,-0.487707101846641
ACH-000053,-0.20646162741439653
ACH-000054,-0.4834948411263682
ACH-000055,-0.7296044237695487
ACH-000060,-0.5034119868732677
ACH-000067,-0.5591033429630784
ACH-000070,-0.5905493219748974
ACH-000075,-0.7094158507299245
ACH-000078,-0.4913965560474872
ACH-000082,-0.4658016607282821
ACH-000085,-0.2747499816679933
ACH-000086,-0.7095001600841482
ACH-000087,-0.7192480215256901
ACH-000092,-0.7253607842496509
ACH-000095,-0.4781028215591199
ACH-000097,-0.80618700520208
ACH-000098,-0.6635947225678387
ACH-000099,-0.670512068522914
ACH-000108,-0.4888151439399128
ACH-000113,-0.6474080490105841
ACH-000116,-0.6710698156338751
ACH-000118,-0.4494563939665119
ACH-000120,-0.6275864436604189
ACH-000123,-0.7524006221000472
ACH-000127,-0.6716564558836834
ACH-000128,-0.6003035089596103
ACH-000132,-0.470953845985322
ACH-000133,-0.9367251397852241
ACH-000137,-0.6631956222389387
ACH-000138,-0.4025461915956672
ACH-000142,-0.4878560793296645
ACH-000143,-0.6328495336519397
ACH-000146,-0.5124424148647798
ACH-000148,-0.8403871296425633
ACH-000150,-0.3236731146578895
ACH-000152,-0.6683523581922022
ACH-000153,-0.6689945522037563
ACH-000159,-0.5339473501233958
ACH-000160,-0.674322993936685
ACH-000163,-0.4709423147364088
ACH-000167,-0.2654422038680617
ACH-000168,-0.6994167652195163
ACH-000169,-0.5414394057899139
ACH-000178,-0.7099875778193891
ACH-000183,-0.35584831413236645
ACH-000188,-0.5038482538125529
ACH-000189,-0.652014526118601
ACH-000190,-0.6397943292173798
ACH-000198,-0.4257173118632857
ACH-000203,-0.5809202266092134
ACH-000204,-0.5446195943586782
ACH-000206,-0.4786556949120876
ACH-000207,-0.625237477839808
ACH-000208,-0.5877139083110117
ACH-000210,-0.7185128837790761
ACH-000211,-0.9367110380010334
ACH-000215,-0.8851819177078198
ACH-000221,-0.6496457651629483
ACH-000222,-0.589986709799685
ACH-000223,-0.6837581869173326
ACH-000226,-0.5135755978414032
ACH-000227,-0.6429594904530502
ACH-000228,-0.43418779028413945
ACH-000231,-0.9380624464569509
ACH-000232,-0.7854311953003184
ACH-000233,-0.6269591920875716
ACH-000234,-0.5521351576597777
ACH-000235,-0.3251085142131502
ACH-000237,-0.8192133140970034
ACH-000238,-0.4420507647300069
ACH-000242,-0.7402277465894295
ACH-000243,-0.4127078678007317
ACH-000244,-0.7349053105432058
ACH-000246,-0.8480040972747174
ACH-000248,-0.3802585622354093
ACH-000250,-0.8456346249404121
ACH-000251,-0.5795546684858063
ACH-000252,-0.6145884612552739
ACH-000253,-0.452096750810133
ACH-000255,-0.5566598891121115
ACH-000256,-0.797957733185305
ACH-000257,-0.7717071376896174
ACH-000258,-0.5538514309643725
ACH-000259,-0.5012030758090016
ACH-000260,-0.5304142625036239
ACH-000261,-0.5787021011787883
ACH-000262,-0.780329930913729
ACH-000263,-0.5777685421105043
ACH-000264,-0.5591464781053871
ACH-000265,-0.33427424971300546
ACH-000266,-0.3487360141610512
