,TBXAS1 (6916)
ACH-000672,-0.2442535761599896
ACH-000673,0.0682611571586058
ACH-000676,-0.06415616137485998
ACH-000677,-0.02112252623958551
ACH-000681,-0.0007769519664218062
ACH-000683,0.08804084272676732
ACH-000684,-0.03302042672047914
ACH-000688,-0.08269544152947937
ACH-000693,0.08428125852602003
ACH-000694,0.07208338172985368
ACH-000695,-0.10405701421034284
ACH-000696,-0.003861427150365241
ACH-000697,-0.0495226953663825
ACH-000699,0.07624159033535023
ACH-000701,-0.07022711385698532
ACH-000706,0.030898786919293163
ACH-000711,0.030857259320104406
ACH-000713,0.06031902694686168
ACH-000714,-0.03385044086395092
ACH-000718,-0.000731207084990511
ACH-000720,-0.007481714051597709
ACH-000721,0.046789335383247366
ACH-000724,-0.00017792546049075244
ACH-000725,-0.0928322243521716
ACH-000732,0.1047729424180224
ACH-000734,0.05703607535568307
ACH-000735,-0.014356623604114509
ACH-000736,-0.004985528938111617
ACH-000738,0.029699577336325462
ACH-000746,-0.2348215112637509
ACH-000747,0.09046154194332257
ACH-000748,0.1151035233286484
ACH-000753,-0.03194121969392316
ACH-000756,0.1259737701341722
ACH-000757,0.09055202851112816
ACH-000758,0.17720973229870668
ACH-000760,0.021620759142861358
ACH-000762,-0.06040058683306961
ACH-000763,-0.009258743679670582
ACH-000764,0.13498203104922715
ACH-000765,-0.11710050486700935
ACH-000766,0.14080163739064738
ACH-000767,-0.06231461653563201
ACH-000768,0.04177906400076197
ACH-000769,0.1082186496181258
ACH-000770,-0.07389137752593128
ACH-000771,0.09339802910619227
ACH-000773,0.17926105236131587
ACH-000776,-0.20768858776644705
ACH-000777,0.1475572164646765
ACH-000778,0.01889233042177822
ACH-000781,-0.021262493841221773
ACH-000782,0.16337538030565268
ACH-000783,0.010297954630001938
ACH-000784,0.005718888558629477
ACH-000785,0.06356795681618467
ACH-000787,0.0014700385977329485
ACH-000788,-0.021823662480121214
ACH-000791,0.04636480129571896
ACH-000792,0.12917054635755684
ACH-000794,0.02348253167620497
ACH-000796,0.03696677968208768
ACH-000798,-0.020512312076163795
ACH-000799,0.14536939121428588
ACH-000800,0.027468094078803712
ACH-000802,-0.027850073912007788
ACH-000804,0.11689859599814782
ACH-000805,-0.011374855800564515
ACH-000809,0.006494967539742107
ACH-000810,0.056843230434415484
ACH-000811,-0.0372632703236767
ACH-000817,0.05360092730892338
ACH-000819,0.018153492064216688
ACH-000820,0.2303457332601701
ACH-000821,0.17143914977093452
ACH-000822,0.0076504609201223294
ACH-000823,0.19418029502969167
ACH-000824,0.05525635082660733
ACH-000827,-0.031546557138618536
ACH-000829,0.2871625050590737
ACH-000831,0.12548507338025724
ACH-000832,0.061591024374276236
ACH-000833,0.1799615823549828
