,ALAS1 (211)
ACH-000004,-0.2574517720583971
ACH-000005,-0.03670049798890708
ACH-000007,-0.08558939753433162
ACH-000009,-0.08430282492033278
ACH-000011,0.12831341538360375
ACH-000012,-0.17439631901676306
ACH-000013,0.03019791363484212
ACH-000014,0.0164507047221499
ACH-000015,-0.09670923919971884
ACH-000017,-0.06592108542117613
ACH-000018,-0.11328015737457578
ACH-000019,-0.3130671266960926
ACH-000021,-0.1457719241176667
ACH-000022,-0.0432914977770827
ACH-000025,0.009501988890256087
ACH-000028,-0.5338842746338207
ACH-000030,-0.5365915232823341
ACH-000035,-0.10462079301405583
ACH-000036,-0.06295679663721296
ACH-000037,-0.10563591687444007
ACH-000039,-0.07974145211576747
ACH-000040,-0.038358506642896605
ACH-000041,-0.0005527595241465993
ACH-000042,-0.2100960419685051
ACH-000045,-0.468810396544594
ACH-000047,-0.5399769506515886
ACH-000052,-0.2299153921790073
ACH-000053,-0.22825435140281386
ACH-000054,-0.18589734639845173
ACH-000055,0.09410259037817542
ACH-000060,0.0020464565598969165
ACH-000067,-0.10758692046836084
ACH-000070,-0.056498568482338224
ACH-000075,-0.010003315725878995
ACH-000078,0.12739547033346832
ACH-000082,-0.16397720554728276
ACH-000085,0.11016784692226562
ACH-000086,-0.04368225869879476
ACH-000087,-0.19744261683310246
ACH-000092,-0.12093757099924801
ACH-000095,0.01989875031012861
ACH-000097,-0.29884135375539744
ACH-000098,-0.2709318413966097
ACH-000099,0.04118725541708576
ACH-000108,-0.1268678977829823
ACH-000113,-0.3390166550294887
ACH-000116,-0.009470979538929758
ACH-000118,-0.2018738064627927
ACH-000120,0.005283001119392307
ACH-000123,-0.02662983407477609
ACH-000127,-0.036464200437304514
ACH-000128,-0.2486100246405241
ACH-000132,-0.05674288130300492
ACH-000133,-0.11075564287693726
ACH-000137,-0.1852526828330442
ACH-000138,-0.1995543273198973
ACH-000142,-0.01589457199038505
ACH-000143,0.06277446861463724
ACH-000146,-0.6216344871993851
ACH-000148,-0.09894066584031108
ACH-000150,-0.19450299122224754
ACH-000152,-0.035349663963906965
ACH-000153,-0.35013106931294524
ACH-000159,-0.2647474303691145
ACH-000160,-0.2368475280975889
ACH-000163,-0.0985891551346654
ACH-000167,-0.19191026790888568
ACH-000168,-0.12924502894423345
ACH-000169,0.007717277265164031
ACH-000178,-0.0231340164555033
ACH-000183,-0.17076348020006296
ACH-000188,0.06548687944280686
ACH-000189,0.06363146911569423
ACH-000190,0.03882430320370222
ACH-000198,-0.5262461082406488
ACH-000203,-0.09312368776932776
ACH-000204,-0.11733225824615848
ACH-000206,-0.4721795737532935
ACH-000207,-0.27955483983956225
ACH-000208,-0.2751395875888418
ACH-000210,0.2843944676118563
