,RABEPK (10244)
ACH-000004,-0.3402602753335746
ACH-000005,-0.14279683648896646
ACH-000007,-0.33160232361964354
ACH-000009,-0.35843596801494537
ACH-000011,-0.09860697519085247
ACH-000012,-0.16043698645976007
ACH-000013,-0.14194450820667062
ACH-000014,-0.05478674809218019
ACH-000015,-0.26138445780561603
ACH-000017,-0.00016436213540974256
ACH-000018,-0.08701490411047748
ACH-000019,-0.04737603483582253
ACH-000021,-0.11598601266086996
ACH-000022,-0.22210648961723614
ACH-000025,-0.15911600283913807
ACH-000028,-0.11497592249623408
ACH-000030,-0.12231674724659193
ACH-000035,0.012216764557004978
ACH-000036,-0.05406920177556989
ACH-000037,-0.08905901131173337
ACH-000039,-0.0650767735084302
ACH-000040,-0.08850285896368708
ACH-000041,-0.03392026323218022
ACH-000042,-0.1255956269723692
ACH-000045,-0.2734896998980401
ACH-000047,-0.1045156273553946
ACH-000052,-0.0146513654910389
ACH-000053,-0.1173815887051652
ACH-000054,-0.18625274073193235
ACH-000055,-0.044299441022507685
ACH-000060,0.013639387917053212
ACH-000067,-0.034577627174038394
ACH-000070,-0.17340433879904096
ACH-000075,-0.17641783995968527
ACH-000078,-0.08617741821191319
ACH-000082,-0.10444913526032784
ACH-000085,0.0003887802065452497
ACH-000086,0.017139874387625546
ACH-000087,-0.4522485013351306
ACH-000092,-0.21878649971789044
ACH-000095,-0.049937741679718144
ACH-000097,-0.06907073726951536
ACH-000098,-0.07129646302932863
ACH-000099,-0.1510883742604263
ACH-000108,-0.07912951797045924
ACH-000113,-0.11681926085140047
ACH-000116,-0.16385270930310444
ACH-000118,-0.08029940381811346
ACH-000120,-0.07943182136110505
ACH-000123,-0.2000369938788181
ACH-000127,-0.16532419699763318
ACH-000128,-0.09785582079866867
ACH-000132,-0.16209281200103756
ACH-000133,-0.1796452025431159
ACH-000137,-0.1494419436507493
ACH-000138,-0.14278027140117294
ACH-000142,0.07003839648922554
ACH-000143,-0.20604875008671325
ACH-000146,-0.1132080969449225
ACH-000148,-0.14590520384667918
ACH-000150,0.09461112162708883
ACH-000152,-0.051323009568366516
ACH-000153,0.025169481731406127
ACH-000159,-0.16977226628414188
ACH-000160,-0.2115838788283464
ACH-000163,-0.0646117124471407
ACH-000167,-0.3249793466853301
ACH-000168,-0.26551339089769643
ACH-000169,-0.31430111356480805
ACH-000178,-0.08385834826275385
ACH-000183,-0.1952324581980618
ACH-000188,-0.1329513161842379
ACH-000189,-0.10612150304119992
ACH-000190,-0.060444739559106925
ACH-000198,-0.25742017686457985
ACH-000203,0.024952801114773528
ACH-000204,-0.2796537523518475
ACH-000206,0.17416740171835154
ACH-000207,-0.0496679895131199
ACH-000208,-0.18842758501184811
ACH-000210,-0.10035238715846144
ACH-000211,-0.17675374359211796
ACH-000215,-0.07432270506211995
ACH-000221,-0.18297153185950527
ACH-000222,0.014771626448463587
ACH-000223,-0.16717753018594633
ACH-000226,-0.10209933689250654
ACH-000227,-0.14926872010812167
ACH-000228,-0.024417354783954442
ACH-000231,-0.06532270881271365
ACH-000232,-0.10477907793572958
ACH-000233,-0.2377239302563963
ACH-000234,-0.08650058150852849
ACH-000235,-0.0248846110717035
ACH-000237,-0.067604311089978
ACH-000238,-0.0183227511494422
ACH-000242,0.1723980150622632
ACH-000243,-0.02108478336946017
ACH-000244,-0.14242290260466892
ACH-000246,-0.04040159785717259
ACH-000248,-0.10190202866538636
ACH-000250,-0.09759651863772616
ACH-000251,-0.03003202133499156
ACH-000252,-0.3931191248072104
ACH-000253,-0.0943944258295688
ACH-000255,-0.1586974088733542
ACH-000256,-0.10899178838975804
ACH-000257,0.019354466498340914
ACH-000258,-0.2675550164644721
ACH-000259,-0.08928103666633573
ACH-000260,-0.12414353162366297
ACH-000261,-0.16104060785287755
ACH-000262,-0.14565548233050193
ACH-000263,-0.15853647900849835
ACH-000264,-0.1641429574122923
ACH-000265,-0.07550059250418208
ACH-000266,-0.08844128468736696
ACH-000272,-0.19970624947769686
ACH-000274,-0.13417837531230295
ACH-000277,-0.27117154326614223
ACH-000278,-0.10972558943617444
ACH-000279,-0.06544900317907341
ACH-000280,-0.23642856153496025
ACH-000281,-0.0923035973662777
ACH-000288,-0.021137312337860696
ACH-000291,-0.14565042220971045
ACH-000293,-0.19539779170077265
ACH-000294,-0.10208864260029103
ACH-000295,-0.18194914448575816
ACH-000296,-0.09097106409024723
ACH-000302,-0.028657344559603923
ACH-000304,-0.16713976141464898
ACH-000307,-0.11695231174060552
ACH-000308,-0.042092749092676185
ACH-000310,-0.04029169066357165
ACH-000311,-0.006447822396439552
ACH-000312,-0.11794655323644547
ACH-000315,-0.05317172583829244
ACH-000316,-0.19666398697616086
ACH-000317,0.057248140546861725
ACH-000318,-0.14908494903089098
ACH-000319,0.009176215197752448
ACH-000320,-0.16829606520667909
ACH-000322,-0.031443730608104035
ACH-000323,-0.2307639863762696
ACH-000324,-0.2513598644809041
ACH-000329,-0.2733461539434369
ACH-000330,-0.15594142717763754
ACH-000331,-0.05141956338226955
ACH-000332,-0.09736424829676976
ACH-000334,-0.08450131688328079
ACH-000335,-0.4454062763538936
ACH-000336,-0.02040330858263957
ACH-000337,0.005413612280850663
ACH-000338,0.4532363263625264
ACH-000339,-0.08685645089553093
ACH-000341,-0.15255166053599206
ACH-000348,-0.12289889531818865
ACH-000350,-0.11261577742603325
ACH-000352,-0.0920583040390845
ACH-000356,0.12654080084832786
ACH-000361,-0.021519995202662148
ACH-000362,-0.17454958959638356
ACH-000363,-0.19989501093340106
ACH-000364,-0.16203639781994728
ACH-000365,-0.08534056474068022
ACH-000366,-0.2680527065498621
ACH-000368,-0.15564867131417764
ACH-000374,-0.05273556821409205
ACH-000375,-0.039386741248159725
ACH-000376,-0.03750521741274835
ACH-000381,-0.2055283392130879
ACH-000383,-0.13608262933965845
ACH-000387,-0.08849222048149205
