,KRI1 (65095)
ACH-000004,-0.9922685784964024
ACH-000005,-0.9335157242663671
ACH-000007,-0.7205677419297833
ACH-000009,-0.9519865418342259
ACH-000011,-0.8264619709209604
ACH-000012,-1.0804640145190731
ACH-000013,-0.9059159522800796
ACH-000014,-0.94114314549934
ACH-000015,-0.9443075271002784
ACH-000017,-1.0109062456927955
ACH-000018,-0.7952515678151225
ACH-000019,-1.082282432336201
ACH-000021,-0.9526835929984668
ACH-000022,-0.9116335839742918
ACH-000025,-0.9755980907144616
ACH-000028,-0.7153518708247869
ACH-000030,-0.9206449459702504
ACH-000035,-1.1324285669508485
ACH-000036,-0.8338335474809967
ACH-000037,-0.8251422887849574
ACH-000039,-0.8688381511283242
ACH-000040,-0.6814099885135516
ACH-000041,-0.9803650652547344
ACH-000042,-0.8202885244039122
ACH-000045,-0.5443490023086613
ACH-000047,-1.0371527245095593
ACH-000052,-1.0159055036312459
ACH-000053,-0.9025825274036248
ACH-000054,-0.8204327450958316
ACH-000055,-1.1405004364635407
ACH-000060,-0.7921157060354965
ACH-000067,-0.9425098805605956
ACH-000070,-0.8947746933027078
ACH-000075,-0.9565409937633256
ACH-000078,-1.0072301319332386
ACH-000082,-0.7541465904019214
ACH-000085,-0.935000786316568
ACH-000086,-0.8898877253601178
ACH-000087,-1.0453405719530726
ACH-000092,-0.7959747397193716
ACH-000095,-0.8584673455331461
ACH-000097,-0.8267392481050592
ACH-000098,-0.9875709898568
ACH-000099,-0.7624925145210243
ACH-000108,-0.7240483409594303
ACH-000113,-0.9276990785560943
ACH-000116,-0.938662335387422
ACH-000118,-0.8028949726197857
ACH-000120,-0.8669502890502814
ACH-000123,-1.1112534468618405
ACH-000127,-0.9221708886957408
ACH-000128,-1.0056909030480758
ACH-000132,-0.8036135175701878
ACH-000133,-0.81833445203229
ACH-000137,-1.1341774185519984
ACH-000138,-0.8044785448089429
ACH-000142,-1.0983576673504616
ACH-000143,-0.8639721636877998
ACH-000146,-0.972230270023163
ACH-000148,-0.8766545894036021
ACH-000150,-1.0121910068001596
ACH-000152,-0.9047076771051248
ACH-000153,-0.9911229248222893
ACH-000159,-0.9421436820605652
ACH-000160,-0.873065678259134
ACH-000163,-0.8170410386450866
ACH-000167,-1.031641803718322
ACH-000168,-0.820621281180615
ACH-000169,-0.7814618405138818
ACH-000178,-0.8409671128378341
ACH-000183,-1.0957391725723238
ACH-000188,-0.9828848767666779
ACH-000189,-0.916274023890448
ACH-000190,-0.8929563812965946
ACH-000198,-0.5555263396790524
ACH-000203,-1.1302174090128807
ACH-000204,-0.9240097087181404
