,MYL12A (10627)
ACH-000004,0.0007134311764444651
ACH-000005,-0.0006956363215528057
ACH-000007,-0.1971993707002904
ACH-000009,0.03929218825125552
ACH-000011,-0.10639857459897828
ACH-000012,-0.3156965048835278
ACH-000013,-0.225702441497674
ACH-000014,-0.16278038658809268
ACH-000015,0.11581825631402914
ACH-000017,-0.24602776381046304
ACH-000018,0.02274034081841095
ACH-000019,-0.10623493854072603
ACH-000021,-0.11021682050739806
ACH-000022,-0.1940045519266397
ACH-000025,-0.3710841569199197
ACH-000028,-0.19223120859641726
ACH-000030,-0.1990278329684268
ACH-000035,-0.07257167154549922
ACH-000036,-0.22233913545531644
ACH-000037,-0.16000642841968146
ACH-000039,-0.17827994545324488
ACH-000040,-0.2617275743543072
ACH-000041,-0.2792454159902664
ACH-000042,-0.2833615756008086
ACH-000045,-0.27545576957626744
ACH-000047,-0.202809580725692
ACH-000052,-0.17973049517433312
ACH-000053,-0.13510299596101566
ACH-000054,-0.031129897997458883
ACH-000055,-0.21812761103021328
ACH-000060,-0.2861900033478117
ACH-000067,-0.22670553587128936
ACH-000070,-0.2003210589922672
ACH-000075,0.031545364772675465
ACH-000078,-0.06683610849727112
ACH-000082,0.08315885608799099
ACH-000085,-0.3935667273457139
ACH-000086,0.0249822800238158
ACH-000087,-0.2539060546201896
ACH-000092,-0.2988767858702687
ACH-000095,-0.08696767087093055
ACH-000097,-0.26585991064669545
ACH-000098,-0.039746100866198994
ACH-000099,-0.10705706940755848
ACH-000108,-0.27254761604836064
ACH-000113,-0.1913704206683683
ACH-000116,-0.18432696710215665
ACH-000118,-0.2075760369134087
ACH-000120,-0.1525728603036591
ACH-000123,-0.04451313191433196
ACH-000127,0.009478525868988223
ACH-000128,-0.2833638188845604
ACH-000132,-0.18343531332884935
ACH-000133,-0.13259655497372164
ACH-000137,0.023567989697028426
ACH-000138,-0.28974888864071197
ACH-000142,-0.049915706409625296
ACH-000143,-0.4039018922151268
ACH-000146,-0.12663853655945653
ACH-000148,-0.00681524402484773
ACH-000150,-0.2515471869817897
ACH-000152,0.052348699582107215
ACH-000153,0.14669273464876925
ACH-000159,-0.027664475634696345
ACH-000160,-0.11441620830521775
ACH-000163,-0.1618822721133043
ACH-000167,-0.240136192136091
ACH-000168,-0.29752952510505315
ACH-000169,-0.043140725635998085
ACH-000178,-0.17058905404934208
ACH-000183,-0.15114103301559315
ACH-000188,-0.27533282533033265
ACH-000189,-0.27888181100413695
ACH-000190,-0.3532322558794844
ACH-000198,-0.2455965824203574
ACH-000203,-0.19815100973904265
ACH-000204,-0.0232938737654966
ACH-000206,-0.05039728548504031
ACH-000207,-0.29656166571007936
ACH-000208,-0.2825437014083725
ACH-000210,-0.3356442155351926
ACH-000211,-0.17106233819623048
ACH-000215,-0.20324438357876864
ACH-000221,-0.22165825647063767
ACH-000222,-0.3053175574142227
ACH-000223,-0.2607846450602821
ACH-000226,-0.1474531054412101
ACH-000227,-0.1898147720891592
ACH-000228,-0.2444897082388183
ACH-000231,-0.09048219963882237
ACH-000232,-0.16302660989740592
ACH-000233,-0.2899312884874544
ACH-000234,-0.08447831394783017
ACH-000235,-0.278987670190564
ACH-000237,-0.1850413045070612
ACH-000238,-0.1955604745161696
ACH-000242,-0.13358240991989906
ACH-000243,-0.3545968708061097
ACH-000244,-0.2349229481542267
ACH-000246,-0.35966263568958834
ACH-000248,-0.1908837526254925
ACH-000250,-0.17622764159882495
ACH-000251,-0.4258942911208199
ACH-000252,-0.22617100941879995
ACH-000253,-0.29075743064741344
ACH-000255,0.10805659899594602
ACH-000256,-0.0921180765104216
ACH-000257,-0.0997178493594034
ACH-000258,-0.21264789666143413
ACH-000259,-0.1779007498995976
ACH-000260,-0.2984322243795185
ACH-000261,-0.007807956572118256
ACH-000262,-0.04949306364553403
ACH-000263,-0.2888306831897726
ACH-000264,-0.3095417242313307
ACH-000265,-0.11014784835601517
ACH-000266,-0.2827947471621111
ACH-000272,-0.10115392630634897
ACH-000274,-0.309583091771224
ACH-000277,-0.1877731949836236
ACH-000278,-0.2231037456995025
ACH-000279,-0.21287815170551447
ACH-000280,-0.08672742103308931
ACH-000281,-0.1926592969820997
ACH-000288,-0.18610900968361813
ACH-000291,-0.17650004816163312
ACH-000293,-0.006068540643283007
ACH-000294,-0.0823040177442821
ACH-000295,-0.21070260012513345
ACH-000296,-0.20956212650564027
ACH-000302,-0.17266165131282893
ACH-000304,-0.10910963480092968
ACH-000307,-0.13195881392619974
ACH-000308,-0.021780904878923438
ACH-000310,-0.02603812457657444
ACH-000311,-0.22362747231428087
ACH-000312,-0.15765335554309542
ACH-000315,-0.1713035783463689
ACH-000316,-0.2705277679798192
ACH-000317,-0.07900286373769427
ACH-000318,-0.20783217678486712
ACH-000319,0.0024896469639853532
ACH-000320,-0.3410630048349064
ACH-000322,-0.3868232057721139
ACH-000323,0.03219533333753676
ACH-000324,-0.26925679026064897
ACH-000329,-0.26476490449130685
ACH-000330,-0.12612477254434334
ACH-000331,0.04623540926586423
ACH-000332,-0.1848804500808133
ACH-000334,-0.1885676439695397
ACH-000335,-0.11144672136306344
ACH-000336,-0.07410748128784811
ACH-000337,-0.1676681029186276
ACH-000338,-0.290372294783063
ACH-000339,-0.19420641093319504
ACH-000341,-0.14052194704953186
ACH-000348,-0.13218008695798844
ACH-000350,-0.12677479633316174
ACH-000352,-0.0017703588572195548
ACH-000356,-0.2544005411110479
ACH-000361,-0.12789522520576918
ACH-000362,-0.07353083820265957
ACH-000363,-0.20241709083162635
ACH-000364,0.049339244368873866
ACH-000365,-0.09898443204864296
ACH-000366,-0.09752861112628207
ACH-000368,-0.20816634673818665
ACH-000374,-0.16046562473212925
ACH-000375,-0.0727181141585952
ACH-000376,-0.3081482702163167
ACH-000381,-0.2459925913517817
ACH-000383,-0.35949398419692163
ACH-000387,-0.13355269160308805
ACH-000389,-0.2271828898951237
ACH-000390,-0.21581156853093933
ACH-000393,-0.1548807210825926
ACH-000395,-0.05050594949391758
ACH-000396,-0.0073646451486284676
ACH-000397,-0.20931924918359246
ACH-000401,-0.3792998556865596
ACH-000402,-0.2923661236645391
ACH-000403,-0.3654701610341407
ACH-000404,0.05334792865172207
ACH-000406,-0.12570365355765625
ACH-000407,0.04785435315143118
ACH-000408,-0.032978009310995635
ACH-000410,0.024916923147974824
ACH-000411,-0.26076078926467683
ACH-000414,-0.22528400805758614
ACH-000415,-0.2587366679189334
ACH-000416,-0.030065506096220912
ACH-000420,-0.1197649270066397
ACH-000421,-0.12489357014442168
ACH-000424,-0.19627765102487735
ACH-000425,-0.16307438669167862
ACH-000426,-0.2447617393009104
ACH-000427,-0.1579387643507945
ACH-000433,-0.2440907434949743
ACH-000435,-0.6390406968793643
ACH-000436,-0.19995191182684413
ACH-000444,-0.013371482424851526
ACH-000445,0.001415582735896233
ACH-000448,-0.3043558361497557
ACH-000450,-0.2336426234276679
ACH-000452,-0.0842065611680347
ACH-000454,-0.18678034254282416
ACH-000458,-0.22375670230987554
ACH-000459,-0.38141867501735055
ACH-000460,0.007702155642354697
ACH-000461,-0.2445011883357093
ACH-000463,-0.2980682879743679
ACH-000464,-0.3100314232181933
ACH-000466,-0.060121933848102924
ACH-000467,-0.35815543113270737
ACH-000468,-0.14291539633028408
ACH-000469,0.0278001287306024
ACH-000470,-0.3732395452340697
ACH-000471,-0.029898870854041287
ACH-000472,-0.29274915657562584
ACH-000473,-0.07985593572384864
ACH-000475,-0.2922013097487185
ACH-000476,-0.14087404609945145
ACH-000477,0.014986076589159653
ACH-000479,-0.019642482006890158
ACH-000480,-0.06323037288066143
ACH-000481,-0.13567762729349994
ACH-000483,-0.13533926193618964
ACH-000484,-0.20463945691098934
ACH-000485,-0.3482674171416204
ACH-000486,0.0149317875399293
ACH-000487,-0.0018688859822236414
ACH-000488,-0.15881173871731438
ACH-000490,-0.2472114980728685
ACH-000491,-0.09644598751866316
ACH-000495,-0.28110770495919823
ACH-000496,-0.1963013592595048
ACH-000499,-0.11018669782567443
ACH-000500,-0.0966263637099774
ACH-000502,-0.37612064184901417
ACH-000503,-0.09952833888057704
ACH-000505,-0.20583773009438452
ACH-000507,-0.34786644877901496
ACH-000510,-0.11909862618247355
ACH-000511,-0.057584124915147215
ACH-000512,-0.023163171387058555
ACH-000516,-0.044628471514326584
ACH-000517,-0.10375995289654476
ACH-000518,-0.19466036845100773
ACH-000520,-0.06940158744196598
ACH-000521,-0.04235024058463138
ACH-000522,-0.2258632276724267
ACH-000524,0.011389040237189238
ACH-000527,-0.22052063147993892
ACH-000528,-0.1767311144632081
ACH-000537,-0.714644774165992
ACH-000541,-0.4318928969684411
ACH-000542,-0.12496995812032435
ACH-000544,-0.07171373537433844
ACH-000545,-0.17084949118464468
