,NOTCH2NL (388677)
ACH-000004,-0.9048610239774432
ACH-000005,-1.070246720498536
ACH-000007,-0.6585128186160443
ACH-000009,-0.7258565029226941
ACH-000011,-0.4747300388909775
ACH-000012,-0.8151146497106111
ACH-000013,-0.7014930673761065
ACH-000014,-0.8705763115782639
ACH-000015,-0.8158839393084474
ACH-000017,-0.6325289477414047
ACH-000018,-0.8146218503621679
ACH-000019,-0.7091350887823237
ACH-000021,-0.5080604063533295
ACH-000022,-0.8653206925175646
ACH-000025,-0.8967724911699488
ACH-000028,-0.7909007650015003
ACH-000030,-0.7340179199668823
ACH-000035,-0.5881171523574392
ACH-000036,-0.7486754733329627
ACH-000037,-0.4700983021451989
ACH-000039,-0.8619283602488577
ACH-000040,-0.6146642911035477
ACH-000041,-0.7244095988870031
ACH-000042,-0.6053157402555492
ACH-000045,-0.6636007737410495
ACH-000047,-0.4935879047016941
ACH-000052,-0.5815769857208993
ACH-000053,-0.8821914469535064
ACH-000054,-0.6246460821832837
ACH-000055,-0.8026239147883509
ACH-000060,-0.6559063024063964
ACH-000067,-0.6729664998821132
ACH-000070,-0.5558541703563182
ACH-000075,-0.5690188601855223
ACH-000078,-0.9376619893025808
ACH-000082,-0.6311826881118527
ACH-000085,-0.8087698890675385
ACH-000086,-0.7035855927501724
ACH-000087,-0.79198224134993
ACH-000092,-0.4961856834379169
ACH-000095,-0.7357977463981498
ACH-000097,-0.7669214090677149
ACH-000098,-0.7174013422695719
ACH-000099,-0.8262200178370376
ACH-000108,-0.6707138892790798
ACH-000113,-0.7461802899031893
ACH-000116,-0.5488625077811764
ACH-000118,-0.5646264923899469
ACH-000120,-0.7248593820615017
ACH-000123,-0.6835423070773256
ACH-000127,-0.7482820834710094
ACH-000128,-0.4840859005476444
ACH-000132,-0.4563896706262542
ACH-000133,-0.8739306827142245
ACH-000137,-0.8013112137721721
ACH-000138,-0.5226050121744933
ACH-000142,-0.8083048596282946
ACH-000143,-0.9542674871095228
ACH-000146,-0.943763042972444
ACH-000148,-0.7798367317422532
ACH-000150,-0.5955865874812488
ACH-000152,-0.8302876055942577
ACH-000153,-1.1345710563850018
ACH-000159,-0.7271776093632429
ACH-000160,-0.8308769221182157
ACH-000163,-0.5917935905317105
ACH-000167,-1.0830641166429271
ACH-000168,-0.6379533185441665
ACH-000169,-0.7375728248345502
ACH-000178,-0.6609931518297764
ACH-000183,-0.8791691654480408
ACH-000188,-0.7154161226583172
ACH-000189,-0.6020330094277309
ACH-000190,-0.4955570376851186
ACH-000198,-0.6787913545432501
ACH-000203,-0.5689777984907546
ACH-000204,-0.4746191177485452
ACH-000206,-0.4461184696778074
ACH-000207,-0.8281781447125889
ACH-000208,-0.20939062809100745
ACH-000210,-0.7060151419832332
ACH-000211,-0.55057989648963
ACH-000215,-0.6658686477322369
ACH-000221,-0.9199724630038943
ACH-000222,-0.6978639155281275
ACH-000223,-0.6991460694028152
ACH-000226,-0.8173408364483584
ACH-000227,-0.8819193855583093
ACH-000228,-0.5319873770710963
ACH-000231,-0.7224945545010049
ACH-000232,-0.8576581211583144
ACH-000233,-0.60294967520652
ACH-000234,-0.8020110344226788
ACH-000235,-0.5589661093346874
ACH-000237,-0.6673146599499191
ACH-000238,-0.5608556876530908
ACH-000242,-0.7071642579129876
ACH-000243,-0.6772758068112107
ACH-000244,-0.5265708720476353
ACH-000246,-0.6629901220285078
ACH-000248,-0.7864541087422271
ACH-000250,-0.6475139149642498
ACH-000251,-0.5343645101771564
ACH-000252,-0.8537330468498654
ACH-000253,-0.7091299379718284
ACH-000255,-0.593832686532973
ACH-000256,-0.57256503476482
ACH-000257,-0.6488205017962592
ACH-000258,-0.8347100089604141
ACH-000259,-0.6720151975580206
ACH-000260,-0.5560247134346024
ACH-000261,-0.5686717862731371
ACH-000262,-0.5889087132752153
ACH-000263,-1.1560857811414529
ACH-000264,-0.7460040757467404
ACH-000265,-0.7256186583299815
ACH-000266,-0.6633646294148164
ACH-000272,-0.9029187527683712
ACH-000274,-0.6734613360239389
ACH-000277,-0.621293930605111
ACH-000278,-0.7497814561336351
ACH-000279,-0.7241289032197287
ACH-000280,-0.8884486768598028
ACH-000281,-0.6080914967388348
ACH-000288,-0.604995111250251
ACH-000291,-0.7412366117917119
ACH-000293,-0.6660608774841846
ACH-000294,-0.8299978476739647
ACH-000295,-0.8483657231263954
ACH-000296,-0.8667023029981249
ACH-000302,-0.6909080133899498
ACH-000304,-0.6446591173864392
ACH-000307,-0.6529029372928667
ACH-000308,-0.7825308715630644
ACH-000310,-0.5682651429798237
ACH-000311,-0.5491961905714798
ACH-000312,-0.6230099281423365
ACH-000315,-0.7410897027804523
ACH-000316,-0.8169353358526223
ACH-000317,-0.7172688642946438
ACH-000318,-0.858693125914803
ACH-000319,-0.6355578293087458
ACH-000320,-0.5768130472484744
ACH-000322,-0.50281666503439
ACH-000323,-0.7778778211601373
ACH-000324,-0.8111138237358975
ACH-000329,-0.8200270020370628
ACH-000330,-1.0220046086558292
ACH-000331,-0.7126337843373476
ACH-000332,-0.7339243519445917
ACH-000334,-1.0379882869786017
ACH-000335,-0.7276707791898455
ACH-000336,-0.7369788531668293
ACH-000337,-0.9935215291391468
ACH-000338,-0.5124709568753746
ACH-000339,-0.5824918167492611
ACH-000341,-0.9759566153337902
ACH-000348,-0.5271877947132113
ACH-000350,-0.5452492069336746
ACH-000352,-0.6987636941639932
ACH-000356,-0.6021808713148601
ACH-000361,-0.6547666574950601
ACH-000362,-0.7460861963045293
ACH-000363,-0.560913930662144
ACH-000364,-0.7263853206989701
ACH-000365,-0.6081291630164739
ACH-000366,-0.8460273424318396
ACH-000368,-0.7766208147655135
ACH-000374,-0.5528049292035498
ACH-000375,-0.7508481049163426
ACH-000376,-0.7808671956347851
ACH-000381,-0.707416409661956
ACH-000383,-0.7371196913671153
ACH-000387,-0.6870107321849497
ACH-000389,-0.6909169934492617
ACH-000390,-0.8886316684153733
ACH-000393,-0.6904940271909651
ACH-000395,-0.9418419094870221
ACH-000396,-0.5934664975316898
ACH-000397,-0.7162916596476494
ACH-000401,-0.6400912312803791
ACH-000402,-0.6020721251727321
ACH-000403,-1.0086792756788918
ACH-000404,-0.7730103870236231
ACH-000406,-0.8011624667344168
ACH-000407,-0.5182668694991345
ACH-000408,-0.6196759540233551
ACH-000410,-0.9408771099619172
ACH-000411,-0.6387703379700373
ACH-000414,-0.8009459334268839
ACH-000415,-0.6816344099126701
