,GDE1 (51573)
ACH-000004,-0.06007476665029316
ACH-000005,-0.07714170838190683
ACH-000007,-0.5115025382789637
ACH-000009,0.0061253372320681536
ACH-000011,-0.30330585500430834
ACH-000012,-0.21960568083180185
ACH-000013,-0.22562766962324804
ACH-000014,-0.20225248992871395
ACH-000015,-0.25394897920709153
ACH-000017,-0.22138038644138724
ACH-000018,-0.26071445122092113
ACH-000019,-0.09455528515224028
ACH-000021,-0.20484312198336108
ACH-000022,-0.12672307097924204
ACH-000025,-0.3189522285949609
ACH-000028,-0.20785926019668266
ACH-000030,-0.14879324024811574
ACH-000035,-0.21809238961338356
ACH-000036,-0.2974218120332016
ACH-000037,-0.31528620601849144
ACH-000039,-0.18415272905090674
ACH-000040,-0.29600911018207504
ACH-000041,-0.26890422753977083
ACH-000042,-0.12467104121684908
ACH-000045,-0.18063771708044027
ACH-000047,-0.2370624966192533
ACH-000052,-0.5903090262657184
ACH-000053,-0.2017693232592941
ACH-000054,-0.2955483519340825
ACH-000055,-0.33470798078913394
ACH-000060,-0.07382868512083891
ACH-000067,-0.3165509433899312
ACH-000070,0.008544135437862515
ACH-000075,-0.21274276290570704
ACH-000078,-0.419470720022346
ACH-000082,-0.27632625177460873
ACH-000085,-0.3630069939371378
ACH-000086,-0.21773627520566502
ACH-000087,-0.17126771705459848
ACH-000092,-0.19677152339432885
ACH-000095,-0.10218840348156907
ACH-000097,-0.34917544117322125
ACH-000098,-0.2786339589856847
ACH-000099,-0.2451276566332759
ACH-000108,-0.25541319480033525
ACH-000113,-0.1968206801427215
ACH-000116,-0.1682989221556358
ACH-000118,-0.24009299172701234
ACH-000120,-0.2413278743683775
ACH-000123,-0.21727331265695354
ACH-000127,-0.3767115695772475
ACH-000128,-0.2787743129218985
ACH-000132,-0.3366383722948496
ACH-000133,-0.2585684104124392
ACH-000137,-0.3592189601228112
ACH-000138,-0.1138587362131082
ACH-000142,-0.0812239353297876
ACH-000143,-0.381188431394648
ACH-000146,-0.17378226776339514
ACH-000148,-0.22290961631894726
ACH-000150,-0.2812262226440419
ACH-000152,-0.1821279388529309
ACH-000153,-0.19299167389699615
ACH-000159,-0.20148477399872491
ACH-000160,-0.12296827649536896
ACH-000163,-0.3243724573325294
ACH-000167,-0.4577070560158759
ACH-000168,-0.06401637779049422
ACH-000169,-0.2614458771178439
ACH-000178,-0.13763326718970093
ACH-000183,-0.10230925663818287
ACH-000188,-0.14353435409955922
ACH-000189,-0.3177251901664083
ACH-000190,-0.057093113866624634
ACH-000198,-0.04848258363967077
ACH-000203,-0.3045568038151756
ACH-000204,-0.4111116778503983
ACH-000206,-0.2363011370930691
ACH-000207,-0.05981298117757172
ACH-000208,-0.012445185724248195
ACH-000210,-0.2184672064228957
ACH-000211,-0.11318855208648355
ACH-000215,-0.2360505426995061
ACH-000221,-0.00822516875248942
ACH-000222,-0.30927386040091315
ACH-000223,-0.1781713781426639
ACH-000226,-0.20679349480185072
ACH-000227,-0.2380533346088851
ACH-000228,-0.16283532150140465
ACH-000231,-0.34754162835604224
ACH-000232,-0.21685105656683887
ACH-000233,-0.16001391685042188
ACH-000234,-0.32411976975611234
ACH-000235,-0.2650121892666591
ACH-000237,-0.37275125949127735
ACH-000238,-0.10697030477481324
ACH-000242,-0.22525043569488196
ACH-000243,-0.3735793609733161
ACH-000244,-0.19643358622793852
ACH-000246,-0.17795217404854485
ACH-000248,-0.19003573837423848
ACH-000250,-0.15883632602594602
ACH-000251,-0.0757208245139686
ACH-000252,-0.29209113593637553
ACH-000253,-0.1462760818568995
ACH-000255,-0.21367538881263248
ACH-000256,0.014402209223701725
ACH-000257,-0.1460413699472662
ACH-000258,-0.31011929682055644
ACH-000259,-0.2144029107910468
ACH-000260,-0.2669209865232225
ACH-000261,-0.2191377654847365
ACH-000262,-0.39987830510439865
ACH-000263,-0.010776053343237429
ACH-000264,-0.12735000454090056
ACH-000265,-0.1811139643526256
ACH-000266,-0.2497748269476798
ACH-000272,-0.1196166400594382
ACH-000274,-0.284242473038157
ACH-000277,-0.3202088957182023
ACH-000278,-0.20164669210563196
ACH-000279,-0.2864125787053367
ACH-000280,-0.3167953344781101
ACH-000281,-0.1441811674750763
ACH-000288,-0.1894066450934315
ACH-000291,-0.2360808983797263
ACH-000293,-0.22057191465096887
ACH-000294,-0.11721320314389022
ACH-000295,-0.05867131170061735
ACH-000296,-0.2705623172216484
ACH-000302,-0.2604633447782053
ACH-000304,-0.440463593615168
ACH-000307,-0.25617220624166137
ACH-000308,-0.194038228400554
ACH-000310,-0.3383465892252277
ACH-000311,-0.4146154036927858
ACH-000312,-0.2467538056686113
ACH-000315,-0.014625253327335387
ACH-000316,-0.3503113849649801
ACH-000317,-0.1398818025573152
ACH-000318,-0.2886801215960422
ACH-000319,-0.2134278784828206
ACH-000320,-0.2948484580624628
ACH-000322,-0.5627937389639462
ACH-000323,-0.16722101739867434
ACH-000324,-0.21231018348450573
ACH-000329,-0.25794575730896857
ACH-000330,-0.1801183020125995
ACH-000331,-0.21703174357530566
ACH-000332,-0.30801872311682044
ACH-000334,-0.08163169656026624
ACH-000335,-0.29683376301542114
ACH-000336,0.0016945435952765173
ACH-000337,-0.09014875098874724
ACH-000338,-0.01996594302167104
ACH-000339,-0.1510403572157802
ACH-000341,-0.3456581432460919
ACH-000348,-0.3351357878934315
ACH-000350,-0.20027641085635672
ACH-000352,-0.12569225181614968
ACH-000356,-0.15225854932279312
ACH-000361,-0.2634901654082381
ACH-000362,-0.049742357887809334
ACH-000363,-0.2289468899499689
ACH-000364,-0.26984899649428296
ACH-000365,-0.22043516008814634
ACH-000366,-0.2195070771239916
ACH-000368,-0.20694911381726347
ACH-000374,-0.3506390565207153
ACH-000375,-0.1040281010822148
ACH-000376,-0.13046882997057124
ACH-000381,-0.21592616187218566
ACH-000383,-0.18803052188676128
ACH-000387,-0.184036616656191
ACH-000389,-0.1855361128215897
ACH-000390,-0.12691237055993912
ACH-000393,-0.2467612140188003
ACH-000395,0.1261046759140106
ACH-000396,-0.4030717156235472
ACH-000397,-0.32219710936553897
ACH-000401,-0.3405840618618927
ACH-000402,-0.2270444378411513
ACH-000403,-0.2677460437174929
ACH-000404,-0.13308030018319789
ACH-000406,-0.20963006615874785
ACH-000407,-0.1923894841315734
ACH-000408,-0.2756384156483045
ACH-000410,-0.16497307960875368
ACH-000411,-0.3251127853296577
ACH-000414,-0.29758767300940403
ACH-000415,-0.2928404694506795
ACH-000416,-0.245641763320658
ACH-000420,-0.11212182905497772
ACH-000421,-0.2493077398669901
ACH-000424,-0.4063016317254201
ACH-000425,-0.3736108000495707
ACH-000426,-0.17279603442747213
ACH-000427,-0.2890607677490535
ACH-000433,-0.0412126416954231
ACH-000435,-0.01781687185781218
ACH-000436,-0.3746534035659422
ACH-000444,-0.2317763242589491
ACH-000445,-0.3325406639222269
ACH-000448,-0.2097344911152596
ACH-000450,-0.3946935111275609
ACH-000452,-0.31278323074280223
ACH-000454,-0.13297016396776565
ACH-000458,-0.2818510499587334
ACH-000459,-0.2419332622626056
ACH-000460,-0.14590551834117305
ACH-000461,-0.3393660569941358
ACH-000463,-0.12202964457416828
