,MACF1 (23499)
ACH-000004,-0.2286532156536757
ACH-000005,0.4070665091885212
ACH-000007,0.0824324291440673
ACH-000009,-0.09359499496650084
ACH-000011,-0.058393456994052184
ACH-000012,0.002370023807293789
ACH-000013,-0.07082884521165872
ACH-000014,0.17105317077472545
ACH-000015,0.010809804249742448
ACH-000017,0.007806400927791531
ACH-000018,-0.0992436999980457
ACH-000019,-0.17708209217865115
ACH-000021,0.015758159771143587
ACH-000022,-5.547485437782816e-05
ACH-000025,-0.0845259046838833
ACH-000028,-0.16814514380820436
ACH-000030,-0.07193490333736946
ACH-000035,-0.09126159308077292
ACH-000036,-0.027871396629655952
ACH-000037,-0.05867725218781045
ACH-000039,-0.03674003103939595
ACH-000040,-0.0289196910097023
ACH-000041,-0.05647626678268704
ACH-000042,-0.021475790270900644
ACH-000045,-0.0942346262674474
ACH-000047,-0.2135492294400087
ACH-000052,-0.07989681149216203
ACH-000053,-0.009113117278200937
ACH-000054,-0.1949680505016734
ACH-000055,0.029293338323334545
ACH-000060,-0.16292016983984098
ACH-000067,-0.007832752621577078
ACH-000070,-0.15399855291495715
ACH-000075,-0.2791339209554943
ACH-000078,-0.269187474239014
ACH-000082,-0.2794152707831026
ACH-000085,-0.002663660756009194
ACH-000086,-0.2178742943478383
ACH-000087,-0.11734839785352015
ACH-000092,-0.16176152908064068
ACH-000095,-0.017997981922276654
ACH-000097,-0.1685202332308157
ACH-000098,-0.1494511112872295
ACH-000099,-0.07915865849457786
ACH-000108,-0.3121842743868524
ACH-000113,-0.15870573284462006
ACH-000116,-0.126490451992533
ACH-000118,-0.05225699486445535
ACH-000120,-0.07712563789101062
ACH-000123,0.023409387137330158
ACH-000127,-0.06515274642543575
ACH-000128,-0.2180427440451163
ACH-000132,-0.09459754583498628
ACH-000133,-0.0671175974747616
ACH-000137,-0.010213891839851209
ACH-000138,-0.05857889501633155
ACH-000142,-0.18986642110869476
ACH-000143,-0.22721199262242306
ACH-000146,-0.02551479767102607
ACH-000148,-0.09851123751759397
ACH-000150,-0.2186770874893715
ACH-000152,-0.023807623089289656
ACH-000153,-0.003593657977529372
ACH-000159,-0.1567124587185358
ACH-000160,-0.10794238746000284
ACH-000163,-0.1385262935222544
ACH-000167,-0.3688974448631832
ACH-000168,-0.09589738356562147
ACH-000169,-0.21471891050434985
ACH-000178,-0.0931425627444389
ACH-000183,-0.2296099503653666
ACH-000188,-0.08448471481972847
ACH-000189,-0.15269162208898376
ACH-000190,-0.03629758488217581
ACH-000198,-0.1655487649824971
ACH-000203,-0.1196408810686197
ACH-000204,-0.11547311474075983
ACH-000206,0.07988138138138362
ACH-000207,-0.04859943689305523
ACH-000208,-0.38172820515722017
ACH-000210,-0.1881577348518596
ACH-000211,0.07826144786856445
ACH-000215,-0.10197835479888608
ACH-000221,0.0013130658456785768
ACH-000222,-0.02006511703826407
ACH-000223,-0.12071610000426693
ACH-000226,0.02461974285833906
ACH-000227,0.009846029034227108
ACH-000228,-0.14826547981928628
ACH-000231,-0.027739829620448082
