,CSNK1A1L (122011)
ACH-000004,0.10414527667062927
ACH-000005,-0.27379910055825746
ACH-000007,-0.2182024743687806
ACH-000009,0.056497752322789085
ACH-000011,0.1673143018011745
ACH-000012,-0.07449289499181272
ACH-000013,0.0005433729708504908
ACH-000014,0.005779865551927634
ACH-000015,0.06208502349689327
ACH-000017,-0.05985935361058588
ACH-000018,-0.01920725800285833
ACH-000019,0.2376666587845343
ACH-000021,-0.06300871073508442
ACH-000022,0.19847660307148707
ACH-000025,0.058790680943024275
ACH-000028,-0.08996134462896467
ACH-000030,0.01975088463261904
ACH-000035,0.1133821757785741
ACH-000036,-0.010384861308405135
ACH-000037,-0.08621649207064891
ACH-000039,-0.20079436906749265
ACH-000040,-0.13359513175357804
ACH-000041,-0.1730232008526316
ACH-000042,-0.12409886366968075
ACH-000045,-0.045342102058444085
ACH-000047,-0.02560765642007629
ACH-000052,-0.09466195782380632
ACH-000053,0.006719781175248811
ACH-000054,-0.033162215480534094
ACH-000055,-0.1035174356590538
ACH-000060,-0.11179049064393227
ACH-000067,-0.21871837213055928
ACH-000070,-0.16689876212395507
ACH-000075,0.0319952850959678
ACH-000078,-0.08347754353235667
ACH-000082,0.10300938992999574
ACH-000085,0.1943013933181832
ACH-000086,-0.14106089243537268
ACH-000087,-0.3509811452862691
ACH-000092,-0.03735726129381663
ACH-000095,0.11106678616531916
ACH-000097,0.027743724013347654
ACH-000098,0.09037368171167172
ACH-000099,-0.010223707382136007
ACH-000108,-0.03214633879886262
ACH-000113,0.036296474892643836
ACH-000116,0.03997860260701764
ACH-000118,-0.07080222243172117
ACH-000120,-0.1116760247962806
ACH-000123,-0.16056646358869914
ACH-000127,-0.11483558505084432
ACH-000128,-0.0325013546785284
ACH-000132,0.05516947825516686
ACH-000133,-0.06480536442620198
ACH-000137,0.1184048583105586
ACH-000138,-0.12012753473190145
ACH-000142,-0.0630477986550922
ACH-000143,0.19371966899805446
ACH-000146,-0.1446739775211462
ACH-000148,0.07604971718494408
ACH-000150,0.0039589366867872275
ACH-000152,-0.015370488519274484
ACH-000153,0.08131084009798767
ACH-000159,-0.11008588382531627
ACH-000160,0.06775561625512952
ACH-000163,-0.08462815613465559
ACH-000167,-0.0796657640013346
ACH-000168,0.000873491321064457
ACH-000169,-0.08518132474454533
ACH-000178,-0.06623748545476241
ACH-000183,-0.00987011916520246
ACH-000188,0.07144428528566868
ACH-000189,-0.26353060003568857
ACH-000190,-0.021521080132629083
ACH-000198,-0.12487553886290265
ACH-000203,-0.30848323955850376
ACH-000204,-0.20846514941845604
ACH-000206,0.003894763563534992
ACH-000207,-0.31786389247592
ACH-000208,0.05229227843387011
ACH-000210,-0.16414996396963555
ACH-000211,-0.021432708097439853
ACH-000215,-0.04863564248395369
ACH-000221,0.019846411268305227
ACH-000222,0.005565786752049445
ACH-000223,0.09743386727236601
ACH-000226,-0.1405207718208683
ACH-000227,0.16465212031404958
ACH-000228,-0.2398854761101124
ACH-000231,0.003292747830763287
ACH-000232,-0.06513462187910947
ACH-000233,0.011106290440049113
ACH-000234,-0.016525142906222687
ACH-000235,-0.03624808564328153
ACH-000237,-0.10804872305184958
ACH-000238,-0.1203825045581178
ACH-000242,-0.42624848461563697
ACH-000243,0.018782649068789382
ACH-000244,-0.18813059931218387
ACH-000246,0.02630779357241629
ACH-000248,-0.15367895480518415
ACH-000250,-0.022270641023462972
ACH-000251,-0.34132197330313824
ACH-000252,0.0033441229425233174
ACH-000253,0.0019325862146692663
ACH-000255,-0.05130028435847615
ACH-000256,0.07560879301474606
ACH-000257,-0.2753139294984942
ACH-000258,-0.1174988782377548
ACH-000259,-0.11556063801794357
ACH-000260,-0.1401369767004332
ACH-000261,-0.09622207721945847
ACH-000262,0.09315354642668493
ACH-000263,0.22061721619310629
ACH-000264,-0.029925409561369843
ACH-000265,-0.03108172713784446
ACH-000266,-0.024345938621909247
ACH-000272,-0.198583064070345
ACH-000274,0.0672300670699369
ACH-000277,0.1171958602193457
ACH-000278,-0.08348620307540099
ACH-000279,-0.02215273664537036
ACH-000280,0.09854285888282342
ACH-000281,-0.29312885642931363
ACH-000288,-0.12233056845477645
ACH-000291,-0.011059272939080772
ACH-000293,-0.08083682995806325
ACH-000294,0.03957935318926095
ACH-000295,-0.05155583979089543
ACH-000296,0.11393660126535465
ACH-000302,-0.044320744014758016
ACH-000304,0.201635928284374
ACH-000307,0.0027209309147091603
ACH-000308,0.0005089424912795239
ACH-000310,-0.09337169194475746
ACH-000311,-0.07296700384715676
ACH-000312,-0.07566426302629382
ACH-000315,-0.004150345512384765
ACH-000316,0.04769633413251148
ACH-000317,-0.13771408342169494
ACH-000318,-0.03341660368096938
ACH-000319,0.07322082195008023
ACH-000320,-0.15334603306039032
ACH-000322,0.09479588394573138
ACH-000323,-0.015699075692557015
ACH-000324,0.04225924983596798
