,PPIAL4G (644591)
ACH-000004,-0.32971013388825365
ACH-000005,-0.8112965436115699
ACH-000007,-0.0741761981928673
ACH-000009,-0.2770969810707299
ACH-000011,-0.1743551963240534
ACH-000012,-0.09491340200432366
ACH-000013,-0.4063716704006041
ACH-000014,-0.3655734099673663
ACH-000015,-0.3296791925332257
ACH-000017,-0.3096806694920147
ACH-000018,-0.22460466374136076
ACH-000019,-0.4143624042530371
ACH-000021,-0.3432892951609691
ACH-000022,-0.3541438397133005
ACH-000025,-0.2311359364502877
ACH-000028,-0.21425463675277312
ACH-000030,-0.29301801540453665
ACH-000035,-0.2386496609824212
ACH-000036,-0.43495132080899934
ACH-000037,-0.019530819820758168
ACH-000039,-0.2753965154814477
ACH-000040,-0.1315657215413179
ACH-000041,-0.3964258091393728
ACH-000042,-0.2345783231718175
ACH-000045,-0.20995452211258453
ACH-000047,-0.3246361923105061
ACH-000052,-0.1655663662543193
ACH-000053,-0.24278151496812236
ACH-000054,-0.2303068548565703
ACH-000055,-0.1991278215957338
ACH-000060,-0.2439088896828482
ACH-000067,-0.20445862986716692
ACH-000070,-0.25499284765952485
ACH-000075,-0.22485227470000868
ACH-000078,-0.2699941125251348
ACH-000082,-0.3650423435083322
ACH-000085,-0.2794392170875644
ACH-000086,-0.3182744475153345
ACH-000087,-0.24533188926992075
ACH-000092,-0.24753707844812126
ACH-000095,-0.13904764840801312
ACH-000097,-0.3301915087422924
ACH-000098,-0.2312778000847633
ACH-000099,-0.18998556491684832
ACH-000108,-0.2609331016103767
ACH-000113,-0.3117643161682471
ACH-000116,-0.2711738115573936
ACH-000118,-0.12493757390694467
ACH-000120,-0.19785057963847266
ACH-000123,-0.18619284240225745
ACH-000127,-0.4053245888023827
ACH-000128,-0.22432628934858195
ACH-000132,-0.3903372558349509
ACH-000133,-0.190734556993113
ACH-000137,0.03698886567411479
ACH-000138,-0.2071589818261968
ACH-000142,-0.06825983170675774
ACH-000143,-0.3238256845742973
ACH-000146,-0.3740566475471706
ACH-000148,-0.31284628247671403
ACH-000150,-0.38455988700122384
ACH-000152,-0.1475464709155598
ACH-000153,-0.29730924058768443
ACH-000159,-0.5077186389447352
ACH-000160,-0.3252851302376664
ACH-000163,0.026916737066611632
ACH-000167,-0.8657040401931912
ACH-000168,-0.3901793231918826
ACH-000169,-0.2557945250569257
ACH-000178,-0.25049040286878804
ACH-000183,-0.3629745196309062
ACH-000188,-0.025897838238820747
ACH-000189,0.13109809462256336
ACH-000190,-0.049402534205873934
ACH-000198,-0.2695397751974293
ACH-000203,-0.375295321349312
ACH-000204,-0.2274072387211627
ACH-000206,-0.13258734550422044
ACH-000207,-0.4056965249665226
ACH-000208,-0.0946357016644352
ACH-000210,-0.21450639107362374
ACH-000211,-0.21769972740494875
ACH-000215,-0.40572201335399455
ACH-000221,-0.3748371092948876
ACH-000222,-0.25777454227412033
ACH-000223,-0.2469035689884209
ACH-000226,-0.2221808947945086
ACH-000227,-0.3872594762305705
ACH-000228,-0.3946865452124196
ACH-000231,-0.4619407003789526
ACH-000232,-0.3687169516545701
ACH-000233,-0.3302968861032418
ACH-000234,-0.16131388202496133
ACH-000235,-0.24201293840563035
ACH-000237,-0.09554369087733712
ACH-000238,-0.2191210098634345
ACH-000242,0.08111385881616147
ACH-000243,-0.276149526971202
ACH-000244,-0.3331381109995877
ACH-000246,-0.18382951483520696
ACH-000248,-0.18904771635413045
ACH-000250,-0.2848643865687878
ACH-000251,-0.26100208728850444
ACH-000252,-0.04144773596336123
ACH-000253,-0.28489101422656826
ACH-000255,-0.20799139254841065
ACH-000256,-0.2515262021160285
ACH-000257,0.0993253555021396
ACH-000258,-0.4422922702965862
ACH-000259,-0.3794341515943349
ACH-000260,-0.16756919948694532
ACH-000261,-0.1789354536556573
ACH-000262,-0.25842922189112305
ACH-000263,-0.4676892134903691
ACH-000264,-0.2333874017113963
ACH-000265,-0.19932114054269834
ACH-000266,-0.1882865441663051
ACH-000272,-0.4298532325877368
ACH-000274,-0.3266245659852729
ACH-000277,-0.26287404472878995
ACH-000278,-0.08857138767030047
ACH-000279,-0.4131072913372613
ACH-000280,-0.3934841269611496
ACH-000281,-0.1077333831404404
ACH-000288,-0.3326047933249548
ACH-000291,-0.11166896608700637
ACH-000293,-0.2075944962324721
ACH-000294,-0.5195123144083843
ACH-000295,-0.27449819947804066
ACH-000296,0.014221253018925531
ACH-000302,-0.2074021288644648
ACH-000304,0.054873529540891836
ACH-000307,-0.19111348184103416
ACH-000308,-0.42178623881857147
ACH-000310,-0.2928521622894425
ACH-000311,-0.2930015600600905
ACH-000312,-0.1565626378669951
ACH-000315,-0.18067188492859587
ACH-000316,-0.19819257991671707
ACH-000317,-0.4868239577659851
ACH-000318,-0.31184604330615284
ACH-000319,-0.2909222845615628
ACH-000320,-0.3415189616808112
ACH-000322,-0.02464343572676454
ACH-000323,-0.05479724008992514
ACH-000324,-0.21959989206198488
ACH-000329,-0.2890739525969961
ACH-000330,-0.21114885783460924
ACH-000331,-0.12937529963567482
ACH-000332,-0.24572320037635986
ACH-000334,-0.4800888710839967
ACH-000335,-0.04210653129924771
ACH-000336,-0.399255252065711
ACH-000337,-0.2084372805842692
ACH-000338,0.1198418099176844
ACH-000339,-0.24390749365689304
ACH-000341,-0.5987211622113076
ACH-000348,-0.18414614936537133
ACH-000350,-0.39200520701572783
ACH-000352,-0.17952274903324086
ACH-000356,-0.41122174077683415
ACH-000361,-0.08781438516988951
ACH-000362,-0.3815767049020405
ACH-000363,-0.1687645577063168
ACH-000364,-0.1022588439525488
ACH-000365,-0.3482177158814754
ACH-000366,-0.2932973771334911
ACH-000368,-0.27991669387447315
ACH-000374,-0.4026136896293263
ACH-000375,-0.15243211066742465
ACH-000376,-0.10337975745770707
ACH-000381,-0.1974462675788587
ACH-000383,-0.3900326708833337
ACH-000387,-0.37753765823904706
ACH-000389,-0.0939303095018257
ACH-000390,-0.4490929201967633
ACH-000393,-0.2019590071155168
ACH-000395,-0.12452973279243372
ACH-000396,-0.4109415378579944
ACH-000397,-0.17273619676883656
ACH-000401,-0.15940604588929586
ACH-000402,-0.17584546186289474
ACH-000403,-0.14498471072462146
ACH-000404,-0.30124535448028883
ACH-000406,-0.3178409890533649
ACH-000407,-0.11878365243811828
ACH-000408,-0.2875588804376453
ACH-000410,-0.1822092684499716
ACH-000411,-0.22174947359165725
ACH-000414,-0.3880142283669762
ACH-000415,-0.3878153172381238
ACH-000416,-0.1576981776237796
ACH-000420,-0.26843519811790384
ACH-000421,-0.16937655613783256
ACH-000424,-0.4111653115553561
ACH-000425,-0.35944269360862585
ACH-000426,-0.5667123291471559
ACH-000427,-0.30995289604853765
ACH-000433,-0.04978416989842136
ACH-000435,-0.4334689805091393
ACH-000436,-0.3112037635909595
ACH-000444,-0.10975694549962924
ACH-000445,-0.3320456510469311
ACH-000448,-0.17299480600188286
ACH-000450,0.2548566873849452
ACH-000452,-0.441505991508521
ACH-000454,-0.3866116937796646
ACH-000458,-0.17880779265466518
ACH-000459,0.0062304454448769385
ACH-000460,-0.2479944568934627
ACH-000461,-0.44415059281768204
ACH-000463,-0.15034932982713434
ACH-000464,-0.11948337192452728
ACH-000466,-0.2767195473662547
ACH-000467,-0.02651830433975168
ACH-000468,-0.3764755984564544
ACH-000469,-0.2344507893694181
ACH-000470,-0.18782821421381268
ACH-000471,-0.33095893850451297
ACH-000472,-0.4009350257713844
ACH-000473,-0.24825359296562655
ACH-000475,-0.44707209405763454
ACH-000476,-0.20844901638767802
ACH-000477,-0.3486100836866775
ACH-000479,0.002466175102884025
ACH-000480,-0.1719140926095678
ACH-000481,-0.3373716828823457
ACH-000483,-0.2777256727199721
ACH-000484,-0.2844774081233923
ACH-000485,-0.16043319958046026
ACH-000486,-0.20985321545455196
ACH-000487,-0.4157360413780105
ACH-000488,-0.2403207594349834
ACH-000490,-0.16339628558249294
ACH-000491,-0.1739883207248518
ACH-000495,-0.30160350852895684
ACH-000496,-0.3118820462555495
ACH-000499,-0.4078511978860795
ACH-000500,-0.4874575401031862
ACH-000502,-0.24600638725343066
ACH-000503,-0.013128643562836276
ACH-000505,-0.2946633420909295
ACH-000507,-0.17727872600905212
ACH-000510,-0.26187065954176986
ACH-000511,-0.1474716408572159
ACH-000512,-0.0420671132710035
ACH-000516,-0.08670502524652512
ACH-000517,-0.20843732169507032
ACH-000518,-0.16072175236029426
ACH-000520,-0.2291667958164777
ACH-000521,-0.14924468906925697
ACH-000522,-0.3368908647713865
ACH-000524,-0.19364700941427784
ACH-000527,-0.24597980647138395
ACH-000528,-0.24336124427030076
ACH-000537,-0.2523214154484705
ACH-000541,-0.18071737085182568
ACH-000542,-0.1837129788713529
ACH-000544,-0.1122423187639307
ACH-000545,-0.21171567766563146
ACH-000547,-0.1539432037156168
ACH-000548,-0.27296171425619203
ACH-000549,-0.2455464198299
ACH-000550,-0.07299837900928424
ACH-000552,-0.1390520275143087
ACH-000556,-0.20997428845452445
ACH-000557,-0.5039691668493764
ACH-000569,-0.053829637702305685
ACH-000570,-0.11984306628346428
ACH-000571,-0.3530819113885497
ACH-000573,-0.2675425714064217
ACH-000576,-0.33191442675858085
ACH-000579,-0.4294439725284743
ACH-000580,-0.11916212099102585
ACH-000584,-0.3308883456781952
ACH-000585,-0.4116622158858034
ACH-000588,-0.0068236974854435405
ACH-000589,-0.1706461286568002
ACH-000591,-0.008754296649147177
ACH-000593,-0.3143150234973092
ACH-000600,-0.17490357589359634
ACH-000601,-0.26775076692611033
ACH-000605,-0.3880174569610924
ACH-000606,-0.19412897906990606
