,PPFIA4 (8497)
ACH-000004,-0.08187932574432849
ACH-000005,0.04330288985431989
ACH-000007,-0.1590039188105001
ACH-000009,-0.28110038401434495
ACH-000011,-0.1299926441869456
ACH-000012,-0.2456705662901042
ACH-000013,-0.18684872577121955
ACH-000014,-0.13516782177822545
ACH-000015,-0.2723230007248077
ACH-000017,-0.2719467855048511
ACH-000018,-0.3559475695786339
ACH-000019,-0.3842015725825834
ACH-000021,-0.21519479285572585
ACH-000022,-0.1866022500424571
ACH-000025,-0.2640890958780872
ACH-000028,-0.1442016579654896
ACH-000030,-0.18245399258976489
ACH-000035,-0.11349777754619712
ACH-000036,-0.12142324254898035
ACH-000037,-0.3494782405510717
ACH-000039,-0.05302275267266501
ACH-000040,0.041116482235256234
ACH-000041,-0.1750538016469032
ACH-000042,-0.25528370193001104
ACH-000045,0.0453880742751566
ACH-000047,-0.13554275405477687
ACH-000052,0.09464905520544033
ACH-000053,-0.11898408666702838
ACH-000054,-0.4745223672862164
ACH-000055,-0.16998611711547335
ACH-000060,-0.17662476879063754
ACH-000067,0.09283071807288464
ACH-000070,-0.1203185914812034
ACH-000075,-0.08934654047381697
ACH-000078,-0.08497777677644229
ACH-000082,-0.14437103214646796
ACH-000085,-0.18065753040892132
ACH-000086,-0.3236258679365161
ACH-000087,-0.35536791353465635
ACH-000092,-0.2724485003118421
ACH-000095,-0.2636032980709481
ACH-000097,-0.09325518279271948
ACH-000098,-0.2228099995279398
ACH-000099,-0.2235128702851772
ACH-000108,-0.3112823020779509
ACH-000113,-0.28297084740887635
ACH-000116,-0.380985029919509
ACH-000118,-0.12415021634217185
ACH-000120,-0.4496485110369118
ACH-000123,-0.11617529892511527
ACH-000127,-0.2099401880521196
ACH-000128,-0.27600981475914005
ACH-000132,-0.1827007212133596
ACH-000133,-0.07359394678307528
ACH-000137,-0.30495411729099525
ACH-000138,-0.1525896669460565
ACH-000142,-0.4841624415708078
ACH-000143,-0.13345643715493902
ACH-000146,-0.18278565651810869
ACH-000148,-0.24268226899650303
ACH-000150,-0.25418316754130543
ACH-000152,-0.12960168177072692
ACH-000153,-0.26887283463368283
ACH-000159,-0.3617097127464758
ACH-000160,0.009692765771964559
ACH-000163,-0.3705876656255472
ACH-000167,-0.40909877141768974
ACH-000168,-0.029689019462273
ACH-000169,-0.29871445859446194
ACH-000178,-0.3582993469738595
ACH-000183,-0.3046716293019326
ACH-000188,-0.3433235489096912
ACH-000189,-0.22466055994570344
ACH-000190,-0.18221952146751108
ACH-000198,-0.3305189901568597
ACH-000203,-0.6123560164920683
ACH-000204,-0.2883409726643841
ACH-000206,-0.10930197659255908
ACH-000207,-0.12219204086072714
ACH-000208,-0.22524288097925196
ACH-000210,0.3481650961786769
ACH-000211,-0.13364019748672767
ACH-000215,-0.18419989036728954
ACH-000221,-0.24727811319737675
ACH-000222,-0.08956662323728735
ACH-000223,-0.19859138773896529
ACH-000226,-0.2791270652256521
ACH-000227,-0.22848794193160904
ACH-000228,-0.07431550917577859
ACH-000231,-0.2104630973826184
ACH-000232,-0.16816183663667358
ACH-000233,-0.2168390749350448
ACH-000234,-0.035149598738642866
ACH-000235,-0.17154456926742806
ACH-000237,-0.28266504438853296
ACH-000238,-0.3005801705480213
