,HIST1H2BJ (8970)
ACH-000004,-1.1994919879655428
ACH-000005,-1.324189256303903
ACH-000007,-1.0416382384977878
ACH-000009,-0.7780078851897148
ACH-000011,-1.2660677501387996
ACH-000012,-0.7832544954802403
ACH-000013,-0.9035777092576072
ACH-000014,-0.8405512981519254
ACH-000015,-0.8372825800906538
ACH-000017,-1.0637783366318905
ACH-000018,-0.964015921596186
ACH-000019,-0.7645934737507227
ACH-000021,-0.9635573530114436
ACH-000022,-1.025403352501669
ACH-000025,-0.9224935613151168
ACH-000028,-0.9599788751714668
ACH-000030,-1.0534681437350886
ACH-000035,-0.9109412752428327
ACH-000036,-0.920022066359125
ACH-000037,-0.9613181082604564
ACH-000039,-0.7842075168247559
ACH-000040,-1.0274642192669416
ACH-000041,-1.0415835193435263
ACH-000042,-0.9814954630421101
ACH-000045,-1.0285172678588868
ACH-000047,-0.9099504619791506
ACH-000052,-0.7992215633383495
ACH-000053,-0.963954076007988
ACH-000054,-0.8108670375399846
ACH-000055,-0.6396442512446004
ACH-000060,-0.8307285018731896
ACH-000067,-0.8635528240846926
ACH-000070,-0.9383551499254758
ACH-000075,-1.0062292722200628
ACH-000078,-0.9935616475580088
ACH-000082,-0.9469924915989406
ACH-000085,-1.1023796428771475
ACH-000086,-0.9345670227336764
ACH-000087,-0.6920916770591284
ACH-000092,-0.9646552944443928
ACH-000095,-1.1490994498450184
ACH-000097,-1.014936673206992
ACH-000098,-0.9980564328301488
ACH-000099,-0.7927036362729727
ACH-000108,-1.0808342618631726
ACH-000113,-1.1267680296331841
ACH-000116,-0.9768420035014762
ACH-000118,-1.0046733054976356
ACH-000120,-1.079243762753081
ACH-000123,-0.9081057885283742
ACH-000127,-0.8612087904494021
ACH-000128,-0.8382720106778356
ACH-000132,-0.8882931250874436
ACH-000133,-0.9671084283129794
ACH-000137,-1.0575123449123482
ACH-000138,-0.9869443775343066
ACH-000142,-1.002565727385491
ACH-000143,-0.9654938721105112
ACH-000146,-1.1478260512426692
ACH-000148,-0.9024855338183412
ACH-000150,-0.8068912701728537
ACH-000152,-0.988262550380014
ACH-000153,-0.9481442437438788
ACH-000159,-0.8955791442355551
ACH-000160,-0.6459789971731166
ACH-000163,-0.7740365009905429
ACH-000167,-0.3176451806944499
ACH-000168,-1.2338065589316851
ACH-000169,-1.0976983687551882
ACH-000178,-0.9770010040460438
ACH-000183,-0.9533021182781511
ACH-000188,-1.1757974285567574
ACH-000189,-0.8080732003238879
ACH-000190,-0.43844424866183507
ACH-000198,-1.0751980319953904
ACH-000203,-1.0159888265625259
ACH-000204,-0.947267324725236
ACH-000206,-1.6451805865854658
ACH-000207,-1.1585158861119067
ACH-000208,-1.0296224720376572
ACH-000210,-1.086155026995398
ACH-000211,-0.8636554271883085
ACH-000215,-0.9724993078817576
ACH-000221,-0.8758789045291265
ACH-000222,-1.0453372172141828
ACH-000223,-1.0736994462079634
ACH-000226,-0.9919148691888902
ACH-000227,-1.0443047837422452
ACH-000228,-0.96549429333287
ACH-000231,-0.97346750300646
ACH-000232,-0.8242795545084588
ACH-000233,-1.307822347385516
ACH-000234,-0.9190977230445412
ACH-000235,-0.9247341803585436
ACH-000237,-0.9258835770238408
ACH-000238,-0.9125390434896282
ACH-000242,-1.361436143518998
ACH-000243,-0.932759110342522
ACH-000244,-0.8362180241722793
ACH-000246,-1.0530804221827268
ACH-000248,-0.9517786510775827
ACH-000250,-1.0368168129573074
ACH-000251,-1.1802672934963083
ACH-000252,-0.6473238896254095
ACH-000253,-1.051498179501808
ACH-000255,-0.8757288961981026
ACH-000256,-0.9149550457621136
ACH-000257,-0.8473343588329317
ACH-000258,-1.3190218587128393
ACH-000259,-1.0533287108772942
ACH-000260,-0.8782222874034439
ACH-000261,-0.9740127544813576
ACH-000262,-1.0376030057045256
ACH-000263,-1.2811614045920745
ACH-000264,-0.9154043275708552
ACH-000265,-0.9430116323305142
ACH-000266,-0.9245874734198738
ACH-000272,-0.9772549875717008
ACH-000274,-0.935974651534798
ACH-000277,-0.9757156185973009
ACH-000278,-1.0163079381929496
ACH-000279,-0.9750091120960844
ACH-000280,-0.9762972095129692
ACH-000281,-0.8425262561794357
ACH-000288,-0.9410117256541216
ACH-000291,-0.8725616767451349
ACH-000293,-0.7088561073152227
ACH-000294,-1.2418748253782508
ACH-000295,-1.1735207769637317
ACH-000296,-0.9066408021597026
ACH-000302,-0.755190637906832
ACH-000304,-1.0086106190494375
ACH-000307,-0.9528469577366314
ACH-000308,-1.0365581406374216
ACH-000310,-1.0120720697300003
ACH-000311,-1.112343725394796
ACH-000312,-0.9317783200369864
ACH-000315,-0.9346646329443862
ACH-000316,-1.153671812133272
ACH-000317,-1.2690358838673526
ACH-000318,-0.964593791445084
ACH-000319,-0.9594267261967496
ACH-000320,-1.0254460562879446
ACH-000322,-0.6251929220928593
ACH-000323,-0.9492021098976706
ACH-000324,-1.1527794713587978
ACH-000329,-0.8833302514876397
ACH-000330,-1.0290203404190659
ACH-000331,-0.9097790537360706
ACH-000332,-0.9376283265368618
ACH-000334,-0.7793863851449034
ACH-000335,-0.9637637254984186
ACH-000336,-0.9291703086667202
ACH-000337,-0.7032508340063203
ACH-000338,-0.9492302066066036
ACH-000339,-0.8530471625568211
ACH-000341,-1.0954829771014678
ACH-000348,-0.8358359413847879
ACH-000350,-1.0635009321163098
ACH-000352,-0.9164757994404956
ACH-000356,-0.8242760250732759
ACH-000361,-1.0738153563639627
ACH-000362,-0.9874781357825316
ACH-000363,-0.9016116021997612
ACH-000364,-1.1751586203334587
ACH-000365,-0.8214960951853877
ACH-000366,-0.8251828703087277
ACH-000368,-0.965122897099502
ACH-000374,-0.991224389296054
ACH-000375,-0.602834917891932
ACH-000376,-0.9076437038861476
ACH-000381,-0.8095132497291745
ACH-000383,-1.0276917932328755
ACH-000387,-1.211440487100796
ACH-000389,-0.7875967077014789
ACH-000390,-1.0650216198669848
ACH-000393,-1.1564423883295465
ACH-000395,-0.8152078357083172
ACH-000396,-0.7447371586184471
ACH-000397,-0.8320792148062209
ACH-000401,-1.0424364701276554
ACH-000402,-0.7155744867555883
ACH-000403,-1.1534871484677427
ACH-000404,-0.6451356066383476
ACH-000406,-1.1203305132801928
ACH-000407,-0.968993752829016
ACH-000408,-0.8610206788595243
ACH-000410,-0.9338791261783952
ACH-000411,-0.8855497327137933
ACH-000414,-1.0823523027270596
ACH-000415,-1.0184309244093206
ACH-000416,-0.8617853818656942
ACH-000420,-1.0528592967020909
ACH-000421,-0.8057249616757649
ACH-000424,-0.9481374136874008
ACH-000425,-0.980469112226532
ACH-000426,-1.364161505667124
ACH-000427,-0.8551974079838764
ACH-000433,-0.863587690554645
ACH-000435,-0.5316308013434611
ACH-000436,-1.229237203917018
ACH-000444,-1.0382614291987824
ACH-000445,-0.5681206783010123
ACH-000448,-0.970283722182314
ACH-000450,-0.9372689817832828
