,PLEKHH3 (79990)
ACH-000004,-0.07478905528498668
ACH-000005,0.22054903823764205
ACH-000007,0.12003630837481052
ACH-000009,-0.03345860179766578
ACH-000011,0.3674755707259709
ACH-000012,0.0134558191650949
ACH-000013,0.0927264980733204
ACH-000014,-0.010639560168606805
ACH-000015,0.3051420738221598
ACH-000017,0.5995498498308711
ACH-000018,0.17567452492034233
ACH-000019,0.14916116193296058
ACH-000021,0.12825499646737776
ACH-000022,0.08405697437179567
ACH-000025,0.048762192106220736
ACH-000028,0.10269451562975518
ACH-000030,0.1761311276735114
ACH-000035,-0.09384123359437936
ACH-000036,0.2258729428369764
ACH-000037,0.10845840975221173
ACH-000039,0.4262389974822903
ACH-000040,0.21638746289479788
ACH-000041,0.07883455075140135
ACH-000042,0.3742417810996942
ACH-000045,0.012460904744415177
ACH-000047,0.3101973131039383
ACH-000052,0.5948157627944247
ACH-000053,0.13317257467628554
ACH-000054,0.10977168213342582
ACH-000055,0.0012262951698539485
ACH-000060,0.36542312786093195
ACH-000067,0.4141711839266978
ACH-000070,0.2155508499011225
ACH-000075,0.11934987170849146
ACH-000078,0.18730655233305926
ACH-000082,0.1177182934161715
ACH-000085,0.5788817555384016
ACH-000086,0.12504009875772773
ACH-000087,0.26081039110998405
ACH-000092,0.13481807421952624
ACH-000095,0.15394157107154244
ACH-000097,0.08087359860256907
ACH-000098,0.25349216020769305
ACH-000099,0.2838790632093302
ACH-000108,0.08163400309600642
ACH-000113,-0.02805441886066637
ACH-000116,0.1918937932304409
ACH-000118,0.277855570071861
ACH-000120,0.09459463428853418
ACH-000123,0.1435726283070322
ACH-000127,0.2300278176330464
ACH-000128,0.16777772822503625
ACH-000132,0.165286451051446
ACH-000133,0.13370169914410918
ACH-000137,0.14109350418898778
ACH-000138,0.01187323582245137
ACH-000142,0.242715221249341
ACH-000143,0.4477388450258825
ACH-000146,0.0535095896179507
ACH-000148,0.025813378487776213
ACH-000150,0.2356982782080348
ACH-000152,0.1302022745857114
ACH-000153,0.11646779163848665
ACH-000159,0.1492383753125073
ACH-000160,0.19303915609174502
ACH-000163,-0.021473835846652568
ACH-000167,0.1376627122201272
ACH-000168,0.20175117487193145
ACH-000169,0.08559137874361591
ACH-000178,0.24613486501582216
ACH-000183,0.033630283303521365
ACH-000188,0.09028193070511098
ACH-000189,0.16390346438906914
ACH-000190,0.12985528269059451
ACH-000198,0.13217308978898826
ACH-000203,0.22447146176422736
ACH-000204,0.44577131686426735
ACH-000206,0.28711351162679105
ACH-000207,0.3429964973638808
ACH-000208,-0.05801563309239529
ACH-000210,0.2834542317639181
ACH-000211,0.23396489254562655
ACH-000215,0.10270050916769767
ACH-000221,-0.052213727973224135
ACH-000222,0.2849474837083181
ACH-000223,0.11896794899861847
ACH-000226,0.12840875434442978
ACH-000227,0.043612952663557816
ACH-000228,0.08214438207373799
ACH-000231,0.07553172845359223
ACH-000232,0.033938154692704024
ACH-000233,0.10727031769680874
ACH-000234,0.11677403553238028
ACH-000235,0.06797781650584361
ACH-000237,0.14671140662944834
ACH-000238,0.10755556400999462
ACH-000242,0.2298899117460229
ACH-000243,0.018411985288325418
ACH-000244,0.3934921808276439
ACH-000246,0.22731713805717674
ACH-000248,0.2337196725991894
ACH-000250,0.1449824985450317
ACH-000251,0.3690192483481614
ACH-000252,0.15669374952481416
ACH-000253,0.16362271158317673
ACH-000255,-0.01087068794699922
ACH-000256,0.10479299942485873
ACH-000257,-0.036456536649515515
ACH-000258,0.041320250926923055
ACH-000259,0.2306380274322703
ACH-000260,0.2490218801890897
ACH-000261,0.18635226049810047
ACH-000262,0.025119366189678763
ACH-000263,0.2315835837203461
ACH-000264,0.08548818528762331
ACH-000265,0.06605995847001676
ACH-000266,0.2585179599170471
ACH-000272,0.10612614288031756
ACH-000274,-0.02740282281072512
ACH-000277,0.31684010145456004
ACH-000278,0.13261789040919847
ACH-000279,0.10116343079504664
ACH-000280,0.2853946348920789
ACH-000281,0.3501590081117804
ACH-000288,0.11424753589225647
ACH-000291,0.1328033232384126
ACH-000293,0.17037062850241838
ACH-000294,0.06379026157441768
ACH-000295,-0.037125821063205264
ACH-000296,0.1170084136909891
ACH-000302,0.288080849545003
ACH-000304,0.04006641484333343
ACH-000307,0.4437468380288693
ACH-000308,0.11815971066929043
ACH-000310,0.2403872157969289
ACH-000311,0.23436496204548524
ACH-000312,-0.06104594657714344
ACH-000315,0.022724926261157928
ACH-000316,0.25888473181217786
ACH-000317,-0.01563727679179088
ACH-000318,0.2643171842687068
ACH-000319,0.10730002802737433
ACH-000320,0.10198273215254146
ACH-000322,0.12893054691904884
ACH-000323,-0.007662740259303378
ACH-000324,0.0365987307669813
ACH-000329,-0.00876019861462492
ACH-000330,0.336699791084727
ACH-000331,0.1720699412398934
ACH-000332,0.13112824770242865
ACH-000334,0.05949057727581793
ACH-000335,0.285711261176403
ACH-000336,-0.1679571875756069
ACH-000337,0.28719931554853084
ACH-000338,0.29031842253008433
ACH-000339,0.06855218087225448
ACH-000341,0.2815777644422863
ACH-000348,0.1070058665502834
ACH-000350,0.1588605810110454
ACH-000352,0.10428246044769032
ACH-000356,-0.07359243894479392
ACH-000361,0.0800956638131898
ACH-000362,-0.02129719674533706
ACH-000363,0.17826238354122653
ACH-000364,0.21987086504228373
ACH-000365,0.07404169346439582
ACH-000366,0.20065935705790106
ACH-000368,0.23329835697645784
ACH-000374,0.22246414782434087
ACH-000375,0.250405790423938
ACH-000376,0.12267054825840272
ACH-000381,0.02224450477834479
ACH-000383,0.08711323943413629
ACH-000387,0.18681325819837347
ACH-000389,0.09877750001667857
ACH-000390,0.2693230443235639
ACH-000393,0.12762984750426695
ACH-000395,0.21432901680505292
ACH-000396,-0.09211335741793356
ACH-000397,-0.048955274382422274
ACH-000401,0.03275462584860939
ACH-000402,0.09680415490478574
ACH-000403,0.207501185778458
ACH-000404,0.15372314850352628
ACH-000406,0.1429409203297055
ACH-000407,0.05208399352981745
ACH-000408,-0.0994519012839206
ACH-000410,0.2467522986303623
ACH-000411,0.30915428602758044
ACH-000414,0.2404706280193508
ACH-000415,-0.07928616876271438
ACH-000416,0.14854521293059872
ACH-000420,0.5389497825609566
ACH-000421,0.08354347365496356
ACH-000424,0.8841648715310191
ACH-000425,0.06648499106039775
ACH-000426,-0.11059598254251532
ACH-000427,0.18270400742939816
ACH-000433,0.2005866306782503
ACH-000435,0.024630132595324337
ACH-000436,0.16750687456638388
ACH-000444,0.2321586317062637
ACH-000445,0.35985686995099603
ACH-000448,0.2794382972444901
ACH-000450,0.17786532639221422
ACH-000452,0.2430871939158457
ACH-000454,0.2586121489668039
ACH-000458,0.2283476706065929
ACH-000459,0.17644661988853258
ACH-000460,0.24819824587024394
ACH-000461,0.15829321096953694
ACH-000463,0.14663073101337806
ACH-000464,0.060648794259756035
ACH-000466,0.27341580111378444
ACH-000467,0.22893319609455626
ACH-000468,0.21080265337004755
ACH-000469,0.35087336698876004
ACH-000470,0.336536737633771
ACH-000471,0.10762470720982464
ACH-000472,0.045774551332890726
ACH-000473,0.39460567217722997
ACH-000475,0.14956567925513575
ACH-000476,0.19675989232199867
ACH-000477,0.05157536744558885
ACH-000479,-0.011184213267789244
ACH-000480,0.11845383599152882
ACH-000481,0.2034545641705177
ACH-000483,0.230444258079642
ACH-000484,0.0929888275305122
ACH-000485,0.23386258975757815
ACH-000486,0.08569253290352416
ACH-000487,0.03894395546503897
ACH-000488,0.20021195617285328
ACH-000490,0.5030959481508892
ACH-000491,0.08151406424671792
ACH-000495,0.2819303618690329
ACH-000496,0.15635218569852008
ACH-000499,0.5092788912528905
ACH-000500,0.11358563506832745
ACH-000502,0.16603611850424335
ACH-000503,0.07024244112013778
ACH-000505,0.15547510938513115
ACH-000507,0.24570816847142055
ACH-000510,0.2920251265031243
ACH-000511,0.12420205408067896
ACH-000512,0.12404218824457193
ACH-000516,0.13622678969074534
ACH-000517,0.2571356948796789
ACH-000518,0.4264525281171497
ACH-000520,0.14511112977029772
ACH-000521,0.07837925506709514
ACH-000522,0.04118366885179108
ACH-000524,0.1696698229332038
ACH-000527,0.030707693827272918
ACH-000528,0.14653917541244266
ACH-000537,0.2795685313706167
ACH-000541,0.5135480436089553
ACH-000542,0.14969803843908744
ACH-000544,0.1940413742904518
ACH-000545,0.2802078188604081
ACH-000547,0.280954195933679
ACH-000548,0.08808588395056496
ACH-000549,0.2995293231077717
