,TRABD (80305)
ACH-000004,-0.4373098989580013
ACH-000005,-0.12270567499579535
ACH-000007,-0.2979080860363701
ACH-000009,-0.1704074173326859
ACH-000011,-0.3209414686521765
ACH-000012,-0.008097831920683808
ACH-000013,-0.016899402341669617
ACH-000014,-0.16909568574160486
ACH-000015,-0.13122024741028418
ACH-000017,-0.2673377868814805
ACH-000018,-0.14373654701586036
ACH-000019,-0.16160314042989538
ACH-000021,-0.07068358537297985
ACH-000022,-0.10791861646887843
ACH-000025,-0.2141815579784463
ACH-000028,-0.020385627082752145
ACH-000030,-0.07162851335816588
ACH-000035,0.024722288790673997
ACH-000036,-0.22646388562602104
ACH-000037,-0.14408295364866885
ACH-000039,-0.1425904420655891
ACH-000040,-0.0851127217787131
ACH-000041,-0.07694142624905308
ACH-000042,-0.20317881830410456
ACH-000045,-0.2650727476418561
ACH-000047,-0.15238155395929456
ACH-000052,-0.3127634270783517
ACH-000053,-0.07380289314075561
ACH-000054,-0.22331486566076916
ACH-000055,0.0011925742181227428
ACH-000060,-0.27229285362925176
ACH-000067,-0.17465053512000495
ACH-000070,-0.1135272695766694
ACH-000075,-0.10847942764072928
ACH-000078,-0.2973246528058853
ACH-000082,-0.13928880734526927
ACH-000085,-0.38833761517316456
ACH-000086,-0.09473138586364337
ACH-000087,-0.18750628605211173
ACH-000092,-0.007061746285575267
ACH-000095,-0.4306540697521165
ACH-000097,-0.13313863376679955
ACH-000098,-0.11037017042929524
ACH-000099,-0.18822217406814065
ACH-000108,-0.12314269140175975
ACH-000113,-0.19271260828230188
ACH-000116,0.056687233140951
ACH-000118,-0.027466086031690387
ACH-000120,-0.17967154601139687
ACH-000123,-0.024152508436667875
ACH-000127,-0.003125710062168969
ACH-000128,0.019695417877799163
ACH-000132,-0.09324127370753296
ACH-000133,-0.11214950723858433
ACH-000137,-0.11275815146816145
ACH-000138,0.0007822788220960767
ACH-000142,-0.06360029310043444
ACH-000143,-0.35612507259139153
ACH-000146,-0.13499182645885832
ACH-000148,-0.1020466721805722
ACH-000150,0.010690094008886935
ACH-000152,-0.035557917266712626
ACH-000153,-0.18823384780769045
ACH-000159,-0.11951338564517057
ACH-000160,-0.012415306082527772
ACH-000163,-0.1239858858942907
ACH-000167,-0.19350833309035692
ACH-000168,-0.08299063780844924
ACH-000169,-0.02791931346714215
ACH-000178,-0.12532877361826344
ACH-000183,-0.08464663685705939
ACH-000188,-0.03473234550884522
ACH-000189,-0.20047095593280972
ACH-000190,-0.11849916214565565
ACH-000198,-0.17711342021467605
ACH-000203,-0.2676057328006691
ACH-000204,-0.06790723005811984
ACH-000206,-0.15237137507138696
ACH-000207,-0.2845415706104478
ACH-000208,-0.2424055349634249
ACH-000210,-0.10631720451256756
ACH-000211,-0.034560855281379886
ACH-000215,-0.26358086994370644
ACH-000221,0.01665670788974826
ACH-000222,-0.1964692259213223
ACH-000223,-0.14553268983683906
ACH-000226,-0.142911688849448
ACH-000227,-0.21034441621626604
ACH-000228,-0.05656275836496823
ACH-000231,-0.23656631835919084
ACH-000232,-0.17791833126600035
ACH-000233,-0.1447093113873705
ACH-000234,-0.1814714724459044
ACH-000235,-0.11020648810832376
ACH-000237,-0.1079206568512023
ACH-000238,-0.1844186862293752
ACH-000242,-0.003702619130632385
ACH-000243,-0.027388086179074112
ACH-000244,-0.08240280617765153
ACH-000246,-0.2759390929828349
ACH-000248,-0.13365181892375766
ACH-000250,-0.2126041040027671
ACH-000251,-0.11296697550315345
ACH-000252,-0.06257152914253887
ACH-000253,-0.250266947435957
ACH-000255,-0.11516552672050205
ACH-000256,-0.04591425857219734
ACH-000257,-0.2749699240207197
ACH-000258,0.08643577213095756
ACH-000259,-0.20878203113177035
ACH-000260,-0.1294945012120039
ACH-000261,-0.09546289219382252
ACH-000262,0.14495372072641002
ACH-000263,-0.3359569659625735
ACH-000264,-0.1360445174185691
ACH-000265,0.049755039359348524
ACH-000266,-0.1530489212443992
ACH-000272,-0.16991568484522707
ACH-000274,-0.2386604639470903
ACH-000277,-0.0019348205962667047
ACH-000278,-0.058334587398116984
ACH-000279,-0.22024049844745866
ACH-000280,-0.06946381749399924
ACH-000281,-0.19629942106112566
ACH-000288,-0.07957385836983502
ACH-000291,-0.08978654776170032
ACH-000293,-0.1107114961083218
ACH-000294,-0.1275122304784803
ACH-000295,0.0232336625670382
ACH-000296,-0.21467416606284506
ACH-000302,-0.025759918104355958
ACH-000304,0.05339958234667229
ACH-000307,-0.02098946660315993
ACH-000308,-0.11176939049499966
ACH-000310,-0.4552758696247801
ACH-000311,-0.16688793687075856
ACH-000312,-0.14241681989170527
ACH-000315,-0.1374551857899037
ACH-000316,-0.15696673762168192
