,CDNF (441549)
ACH-000004,0.09495887993226472
ACH-000005,-0.2773195338765379
ACH-000007,0.1273614462101007
ACH-000009,0.02338766333725332
ACH-000011,0.0019904939432763306
ACH-000012,-0.02267642452238136
ACH-000013,0.003953994509783836
ACH-000014,-0.0652945409751211
ACH-000015,0.019717928750731736
ACH-000017,-0.104774028803462
ACH-000018,-0.2505029662848272
ACH-000019,-0.2763137220708329
ACH-000021,-0.10676942784604952
ACH-000022,-0.09175325483433522
ACH-000025,-0.06120829564628645
ACH-000028,-0.01239116999289762
ACH-000030,0.00489592081419391
ACH-000035,-0.07070416223855702
ACH-000036,0.03501427715492686
ACH-000037,0.039943578542020686
ACH-000039,0.031105692107416094
ACH-000040,0.07969089498701498
ACH-000041,-0.10848446035050127
ACH-000042,0.04616429881737711
ACH-000045,-0.031016260527974206
ACH-000047,0.02506071445227242
ACH-000052,0.3421084873907054
ACH-000053,-0.05983645788601829
ACH-000054,0.01895730318804473
ACH-000055,-0.09424078288120202
ACH-000060,-0.07634232578051296
ACH-000067,-0.08066486640245954
ACH-000070,-0.09115098417902512
ACH-000075,-0.2505951301536747
ACH-000078,0.07033717041090119
ACH-000082,-0.023471387925371127
ACH-000085,-0.038877323742129724
ACH-000086,-0.07458837090822197
ACH-000087,0.046153634490027
ACH-000092,-0.031929582713336346
ACH-000095,-0.01660469332565202
ACH-000097,0.08021209751798207
ACH-000098,-0.08966094554665681
ACH-000099,-0.1088526514940182
ACH-000108,-0.009059401274865576
ACH-000113,-0.016200039411891666
ACH-000116,0.04617205401025908
ACH-000118,0.008229988722262986
ACH-000120,0.1132371446370296
ACH-000123,0.090957438146616
ACH-000127,0.012077920277295522
ACH-000128,-0.0957075494127166
ACH-000132,-0.028270719925534326
ACH-000133,0.043728739813862924
ACH-000137,0.08378602984679051
ACH-000138,0.029630718028318962
ACH-000142,0.1592122288580583
ACH-000143,0.01803720260767173
ACH-000146,-0.00940178155487332
ACH-000148,-0.031645887858413414
ACH-000150,-0.09170809035339428
ACH-000152,0.07530487260463409
ACH-000153,0.07427145468574392
ACH-000159,0.035715776590661316
ACH-000160,-0.07828676942968099
ACH-000163,-0.039489388459372984
ACH-000167,-0.7131870555528497
ACH-000168,-0.3139854475954433
ACH-000169,-0.06917620221043481
ACH-000178,-0.16579533463889845
ACH-000183,0.19617905672640676
ACH-000188,-0.12049185733418367
ACH-000189,-0.07569083298049666
ACH-000190,0.0728052100531004
ACH-000198,-0.10121125917967314
ACH-000203,-0.6203014138598367
ACH-000204,0.14697870591165518
ACH-000206,-0.1118123652648701
ACH-000207,0.11243260216114008
ACH-000208,0.17573847065281242
ACH-000210,-0.14849683521739945
ACH-000211,0.016441669572512137
ACH-000215,-0.035379561017980295
ACH-000221,0.1408954067858801
ACH-000222,0.12308567386187612
ACH-000223,0.020167051728428784
ACH-000226,0.03634777531659029
ACH-000227,-0.051156966819306884
ACH-000228,-0.16712843126319013
ACH-000231,-0.022679535195357044
ACH-000232,0.02329414576126693
ACH-000233,0.07370279313994935
ACH-000234,0.058327030098980284
ACH-000235,-0.1218913982207422
ACH-000237,-0.09400237602678148
ACH-000238,0.014227395781262234
ACH-000242,0.2737507246450396
ACH-000243,0.053864977019249534
ACH-000244,0.1261045134955015
ACH-000246,-0.0826123735025859
ACH-000248,0.07970781389261382
ACH-000250,-0.08407193662059323
ACH-000251,-0.36610828977775417
ACH-000252,0.047848354918537166
ACH-000253,0.010878387975714951
ACH-000255,0.03571820030063131
ACH-000256,-0.050106759545765586
ACH-000257,0.12379386410967486
ACH-000258,-0.0009461199895539217
ACH-000259,-0.07188719022368298
ACH-000260,0.06159452761114994
ACH-000261,-0.09769495561584457
ACH-000262,0.0941044373356696
ACH-000263,-0.3288033547857078
ACH-000264,0.0286623438962581
ACH-000265,3.786821084534896e-06
ACH-000266,0.011818886627999105
ACH-000272,-0.04909188968858883
ACH-000274,-0.12006818707435518
ACH-000277,-0.08303502278741222
ACH-000278,-0.037436609150623835
ACH-000279,0.06512968527761319
ACH-000280,0.02720277128742679
ACH-000281,-0.13521354357204998
ACH-000288,-0.04092449256294423
ACH-000291,0.049136493496460085
ACH-000293,0.1637588962835911
ACH-000294,0.10580215005075752
ACH-000295,-0.08359123229588436
ACH-000296,0.15812834582376648
ACH-000302,-0.10443773674353624
ACH-000304,-0.015369936331424684
ACH-000307,-0.07358167027095816
ACH-000308,-0.06819132138891126
ACH-000310,-0.2193227270571284
ACH-000311,-0.09812088804375688
ACH-000312,0.09584964895673766
ACH-000315,0.10622308782333413
ACH-000316,0.009594135577134826
ACH-000317,-0.001955302788411687
ACH-000318,0.010584844159050205
ACH-000319,-0.13332838586374798
ACH-000320,0.016906344924384385
ACH-000322,-0.03062167799380146
ACH-000323,-0.07014303856371865
ACH-000324,0.060337366646367664
ACH-000329,-0.10177860273715232
ACH-000330,-0.3063004847871329
ACH-000331,-0.1527284002281495
ACH-000332,-0.04037939563509625
ACH-000334,-0.023480328212138496
ACH-000335,0.10227168002245858
ACH-000336,0.1862680300678536
ACH-000337,-0.02061653396084688
ACH-000338,-0.13143474046608686
ACH-000339,0.016184888752373228
ACH-000341,0.19784421002524175
ACH-000348,-0.16552991678379955
ACH-000350,0.08377972255956664
ACH-000352,-0.10313948844602472
ACH-000356,-0.14221119501368434
ACH-000361,-0.04284352636611298
ACH-000362,0.01918644728359841
ACH-000363,-0.1190852504282201
