,PPIP5K2 (23262)
ACH-000004,-0.2520676267455461
ACH-000005,-0.3490568251181372
ACH-000007,-0.0958106647473966
ACH-000009,-0.08403303390600685
ACH-000011,-0.20510176382969392
ACH-000012,-0.09927212312345077
ACH-000013,-0.26348271466827355
ACH-000014,-0.3282516803382069
ACH-000015,-0.3118725817258667
ACH-000017,-0.18947395855186705
ACH-000018,-0.3540841427898698
ACH-000019,-0.1810056814421458
ACH-000021,-0.26567339477812785
ACH-000022,-0.1643392750836569
ACH-000025,-0.4193429504993552
ACH-000028,-0.1972256501223052
ACH-000030,-0.1798861822291366
ACH-000035,-0.08206213685022369
ACH-000036,-0.2628973819251415
ACH-000037,-0.30238933692006226
ACH-000039,-0.24399987985546834
ACH-000040,-0.1882953117373068
ACH-000041,-0.18128250877270596
ACH-000042,-0.09155246105342883
ACH-000045,-0.3527858033527484
ACH-000047,-0.1671697678992921
ACH-000052,0.018201626157741648
ACH-000053,-0.3145667476855189
ACH-000054,-0.18827827933021213
ACH-000055,-0.13282431331491287
ACH-000060,-0.2117607465360577
ACH-000067,-0.32771192880980543
ACH-000070,-0.25744342913208473
ACH-000075,-0.17175602187810746
ACH-000078,-0.4720392451834128
ACH-000082,-0.2707880983428963
ACH-000085,-0.16010696017720347
ACH-000086,-0.1748603442567575
ACH-000087,-0.2395801296234263
ACH-000092,-0.3319060969706913
ACH-000095,-0.1713522286300079
ACH-000097,0.1507061769770166
ACH-000098,-0.28671920723158706
ACH-000099,-0.1777191551750473
ACH-000108,-0.16924481630899024
ACH-000113,-0.6395912259496995
ACH-000116,-0.0983931141215091
ACH-000118,-0.03462963614798023
ACH-000120,-0.0843572210373475
ACH-000123,-0.26797423854968183
ACH-000127,-0.07534366466106554
ACH-000128,-0.28483960435706623
ACH-000132,-0.2745340041596895
ACH-000133,-0.2536939038420478
ACH-000137,-0.31733296586262605
ACH-000138,-0.15804181701222153
ACH-000142,-0.19371741572363868
ACH-000143,-0.2974868300412458
ACH-000146,-0.26136306532648945
ACH-000148,-0.2623834710138188
ACH-000150,-0.13925350461940414
ACH-000152,-0.2409533863885741
ACH-000153,-0.4461253204444248
ACH-000159,-0.2395425625524397
ACH-000160,-0.019295409446878388
ACH-000163,-0.19647065425381785
ACH-000167,-0.372015910796719
ACH-000168,-0.17906266750995856
ACH-000169,-0.1435191574377459
ACH-000178,-0.2901101060362501
ACH-000183,-0.20211117029257814
ACH-000188,-0.10130461459315047
ACH-000189,-0.16474918674593814
ACH-000190,-0.15661876322333185
ACH-000198,-0.3564634034767813
ACH-000203,-0.1998151785802372
ACH-000204,-0.0272614231697463
ACH-000206,0.028391994035800092
ACH-000207,-0.10142594034465294
ACH-000208,-0.02090748282318392
ACH-000210,-0.15167843652117768
ACH-000211,-0.1282778095753413
ACH-000215,-0.1649083363707056
ACH-000221,-0.13437018058710135
ACH-000222,-0.14068125817676844
ACH-000223,-0.2360260782917088
ACH-000226,-0.035916893572880984
ACH-000227,-0.07001665647356495
ACH-000228,0.012527328591861177
ACH-000231,-0.0992406023509894
ACH-000232,-0.1331928937644996
