,KDM1A (23028)
ACH-000004,-0.3501069241705139
ACH-000005,-0.4120607425703187
ACH-000007,-0.11624287911016686
ACH-000009,-0.16972254151355726
ACH-000011,-0.4315455807412975
ACH-000012,-0.15920276355225196
ACH-000013,0.037911209144466926
ACH-000014,-0.18171234017817486
ACH-000015,-0.19382243654026127
ACH-000017,-0.3960129931484189
ACH-000018,-0.17254437217900312
ACH-000019,-0.43907200161447374
ACH-000021,-0.18208270776363727
ACH-000022,-0.15821090183320113
ACH-000025,-0.3119526011669713
ACH-000028,-0.23875973597033234
ACH-000030,-0.16295975986486916
ACH-000035,-0.2735116853724398
ACH-000036,-0.2342415773281525
ACH-000037,-0.18147448540624836
ACH-000039,-0.1685721098711761
ACH-000040,-0.08901027407677845
ACH-000041,-0.32465130469826103
ACH-000042,-0.2340778043824065
ACH-000045,-0.3186062764741045
ACH-000047,-0.2344482665566873
ACH-000052,-0.1274351758827257
ACH-000053,-0.16620247758020992
ACH-000054,0.007739733171269209
ACH-000055,-0.5199886220823862
ACH-000060,-0.4250749276356697
ACH-000067,-0.2038494208293697
ACH-000070,-0.11919044782663354
ACH-000075,-0.15082193357046572
ACH-000078,-0.06791464279147927
ACH-000082,-0.07908179117404389
ACH-000085,-0.18193151695349066
ACH-000086,-0.35803031931055423
ACH-000087,-0.06724643853535618
ACH-000092,-0.21966639745862446
ACH-000095,-0.327309027568023
ACH-000097,-0.3191636877235744
ACH-000098,-0.2694546977887071
ACH-000099,-0.2800205554881578
ACH-000108,-0.2857169322760126
ACH-000113,-0.2745214861383036
ACH-000116,-0.2706244185110602
ACH-000118,-0.2332798163505929
ACH-000120,0.16997888515737947
ACH-000123,-0.27159812074254697
ACH-000127,-0.40811303200808896
ACH-000128,-0.34686901151308497
ACH-000132,-0.14664205039431666
ACH-000133,-0.3998271386667261
ACH-000137,-0.32161177678015057
ACH-000138,-0.26102045682414804
ACH-000142,-0.2589788820929466
ACH-000143,-0.3222650340533663
ACH-000146,-0.2937491219773872
