,HBQ1 (3049)
ACH-000004,0.2592466554816842
ACH-000005,-0.015563825892045847
ACH-000007,0.0022827206161252253
ACH-000009,-0.012730123340090157
ACH-000011,0.018753703248494208
ACH-000012,-0.035841204812603694
ACH-000013,-0.04912300269181862
ACH-000014,0.0033351879531077324
ACH-000015,-0.0006364884208649738
ACH-000017,-0.05851285823802424
ACH-000018,-0.0046177467869547425
ACH-000019,0.11135665637718728
ACH-000021,-0.010922648264772484
ACH-000022,-0.0020674102109032107
ACH-000025,-0.009389912210895513
ACH-000028,-0.015601233458138443
ACH-000030,0.08789076430858317
ACH-000035,0.004790437829261426
ACH-000036,-0.0988851127525852
ACH-000037,-0.15925967822004708
ACH-000039,-0.028298275028475425
ACH-000040,-0.15473061925621195
ACH-000041,-0.039561324371525104
ACH-000042,-0.04999057935374926
ACH-000045,0.018170365796092942
ACH-000047,-0.11530709449313513
ACH-000052,-0.1305883507963218
ACH-000053,-0.04880511408899367
ACH-000054,-0.12689718631695526
ACH-000055,-0.0330199948107004
ACH-000060,-0.04685397338793724
ACH-000067,-0.0359485202244644
ACH-000070,0.0372362152622308
ACH-000075,-0.21614996550838605
ACH-000078,-0.16475771193234798
ACH-000082,0.002846957066462609
ACH-000085,0.04270099739270351
ACH-000086,0.15314147869751707
ACH-000087,-0.16424801253140192
ACH-000092,-0.042303573809533236
ACH-000095,-0.09685925552920398
ACH-000097,0.0247869013909566
ACH-000098,-0.014020064303321948
ACH-000099,-0.04217696739697609
ACH-000108,-0.12063324707400523
ACH-000113,0.14396674037628687
ACH-000116,-0.07809793856212886
ACH-000118,-0.014140005509696074
ACH-000120,-0.18641268336428699
ACH-000123,0.09294716419773084
ACH-000127,0.027518020073125676
ACH-000128,-0.06106363196617357
ACH-000132,-0.17495855787691944
ACH-000133,-0.07361244906842945
ACH-000137,0.05315952587338185
ACH-000138,0.05232526765025911
ACH-000142,-0.24947080217247325
ACH-000143,-0.14880235610263173
ACH-000146,-0.05992582043340301
ACH-000148,-0.028083318029229924
ACH-000150,-0.02322679752066673
ACH-000152,0.054760321727191405
ACH-000153,0.14678543337115602
ACH-000159,0.012501809126281644
ACH-000160,0.06608163715463299
ACH-000163,0.1686575240392449
ACH-000167,-0.41099152713577897
