,RRS1 (23212)
ACH-000004,-0.8120267637516434
ACH-000005,-0.70215984906516
ACH-000007,-0.7708973489896207
ACH-000009,-1.2100429700282582
ACH-000011,-1.0516488612133423
ACH-000012,-1.078924067792548
ACH-000013,-0.9203272632175308
ACH-000014,-1.0919894424139485
ACH-000015,-0.9189811304475596
ACH-000017,-0.7601476577715893
ACH-000018,-1.1538765140287808
ACH-000019,-1.0167158454791003
ACH-000021,-0.9571102897105656
ACH-000022,-0.7671409574877739
ACH-000025,-0.8955478145178011
ACH-000028,-0.9583753716519982
ACH-000030,-0.9818796284293376
ACH-000035,-0.9968652302430828
ACH-000036,-0.9566778667831002
ACH-000037,-0.5618840112376045
ACH-000039,-0.655154473890582
ACH-000040,-0.9144763763943377
ACH-000041,-0.908781894551979
ACH-000042,-0.8923466222748134
ACH-000045,-0.8099518405997514
ACH-000047,-0.8018930980468153
ACH-000052,-1.1264231940130702
ACH-000053,-0.8751980429137929
ACH-000054,-0.9079403584133604
ACH-000055,-0.9681499838389492
ACH-000060,-0.9182451937704204
ACH-000067,-0.9697470071364874
ACH-000070,-0.863531513347085
ACH-000075,-1.0517029711910637
ACH-000078,-1.068377659981591
ACH-000082,-0.7075933601529283
ACH-000085,-0.8482420780068513
ACH-000086,-0.7898874786718588
ACH-000087,-1.075622210009085
ACH-000092,-1.058292993122255
ACH-000095,-0.9001920323986929
ACH-000097,-0.7855236262496234
ACH-000098,-0.8622708676846876
ACH-000099,-0.8731849571226858
ACH-000108,-0.9154335858017444
ACH-000113,-0.8433919286501322
ACH-000116,-0.8016887378379421
ACH-000118,-0.920971545423981
ACH-000120,-0.9851232695938148
ACH-000123,-0.9439655356150886
ACH-000127,-1.0696313251346317
ACH-000128,-1.0940646000719658
ACH-000132,-1.0936386876244677
ACH-000133,-1.073834998740531
ACH-000137,-0.842857099572891
ACH-000138,-0.9862555967469748
ACH-000142,-1.095265417859531
ACH-000143,-0.9133809933984888
ACH-000146,-0.7402372304496907
ACH-000148,-0.8364657713235133
ACH-000150,-0.9862885943547186
ACH-000152,-1.102385656206941
ACH-000153,-1.3683483214864618
ACH-000159,-1.0770189899896747
ACH-000160,-0.9529262911507059
ACH-000163,-1.0124025527923035
ACH-000167,-1.4276466135140966
ACH-000168,-0.8980307373363152
ACH-000169,-1.0934197692538945
ACH-000178,-0.9294191117675704
ACH-000183,-0.7978957765375773
ACH-000188,-0.9632141272988824
ACH-000189,-1.229486199109323
ACH-000190,-1.1090394475699543
ACH-000198,-0.8045989590686661
ACH-000203,-1.6787948570938382
ACH-000204,-0.5646006316957121
ACH-000206,-0.963586170985354
ACH-000207,-0.9209145432594056
ACH-000208,-0.7762298299660314
ACH-000210,-0.9549249468207092
ACH-000211,-1.0803102965379594
ACH-000215,-0.7959341408204456
ACH-000221,-1.2441599650147408
ACH-000222,-0.7590762990519058
ACH-000223,-0.7170025574832868
ACH-000226,-0.8758703028510509
ACH-000227,-0.7258182887448579
ACH-000228,-1.018755577363732
ACH-000231,-1.0444582021899058
ACH-000232,-0.8489472018004401
ACH-000233,-0.7975734459582328
ACH-000234,-0.8832863151960634
ACH-000235,-0.8546939243440652
ACH-000237,-1.0142881083356616
ACH-000238,-0.9133543181251093
ACH-000242,-0.8640737038591814
ACH-000243,-0.9537012013624006
ACH-000244,-0.9907375698945914
ACH-000246,-1.095270715786994
ACH-000248,-0.7986874935091166
ACH-000250,-0.8614374321040855
ACH-000251,-1.0754345498921545
ACH-000252,-1.0664828018063206
ACH-000253,-0.9670899691758752
ACH-000255,-1.0686292045796566
ACH-000256,-0.9470711891685796
ACH-000257,-0.8720916370024373
ACH-000258,-0.9691564255508832
ACH-000259,-0.9218477827020256
ACH-000260,-1.0448403900751608
ACH-000261,-0.9042278246707351
ACH-000262,-0.9682124697580156
ACH-000263,-0.7936103888818171
ACH-000264,-0.7508254786259668
ACH-000265,-1.0702127264964296
ACH-000266,-0.9411246931123836
ACH-000272,-1.0227704717716872
ACH-000274,-0.972025551399614
ACH-000277,-0.8001569135515226
ACH-000278,-0.924470885956798
ACH-000279,-0.739066882056458
ACH-000280,-0.9781594861116886
ACH-000281,-0.9304083139561476
ACH-000288,-0.5170466485684427
ACH-000291,-1.148307120965718
ACH-000293,-0.8498159484667623
ACH-000294,-1.3723931799830422
ACH-000295,-0.8516394310827242
ACH-000296,-0.8254062428401585
ACH-000302,-0.9265683490296548
ACH-000304,-1.0580948151354743
ACH-000307,-1.059511840638513
ACH-000308,-1.0685859217644862
ACH-000310,-0.9679162832453154
ACH-000311,-0.8302138198075762
ACH-000312,-0.8030284465690027
ACH-000315,-0.679769747438049
ACH-000316,-1.2147682636984858
ACH-000317,-0.9959412342997636
ACH-000318,-1.1729248398830223
ACH-000319,-0.7622285739615872
ACH-000320,-0.9113469483256016
ACH-000322,-0.8916349506300414
ACH-000323,-0.9074347194651444
ACH-000324,-0.9733822817160708
ACH-000329,-1.1883903247237528
ACH-000330,-1.103843853038208
ACH-000331,-0.9286712648402268
ACH-000332,-0.8953840556333315
ACH-000334,-0.9244393193350412
ACH-000335,-0.8121012384737387
ACH-000336,-0.8317586866248402
ACH-000337,-0.8820564879804755
ACH-000338,-0.5032595883526365
ACH-000339,-1.0534341390599675
ACH-000341,-1.0015976600837309
ACH-000348,-1.0664467964467788
ACH-000350,-1.219237078230642
ACH-000352,-0.976983633595771
ACH-000356,-1.057584752315392
ACH-000361,-1.0301660424702743
ACH-000362,-0.7029590687194357
ACH-000363,-0.6061308265365148
ACH-000364,-0.8774501221341905
ACH-000365,-0.8573344622708703
ACH-000366,-0.9574933896967732
ACH-000368,-1.0980582529576215
ACH-000374,-0.3245707260946122
ACH-000375,-0.9809576361912732
ACH-000376,-0.9699499680052546
ACH-000381,-0.8223769761342737
ACH-000383,-0.998004040844966
ACH-000387,-0.9043363875997632
ACH-000389,-1.080921755517526
ACH-000390,-1.0413449556611822
ACH-000393,-0.7441490240443057
ACH-000395,-0.8758193263131786
ACH-000396,-0.774911003511718
ACH-000397,-0.7013160575941298
ACH-000401,-1.1171775281423555
ACH-000402,-0.07484099600602738
ACH-000403,-0.8408241170933225
