,HELZ2 (85441)
ACH-000004,-0.11163937896045653
ACH-000005,0.1779522693596308
ACH-000007,-0.1917116032166649
ACH-000009,-0.1578426462163917
ACH-000011,-0.07357780308611674
ACH-000012,0.02169291616016962
ACH-000013,0.0543082909896398
ACH-000014,0.04218121652939439
ACH-000015,-0.04953974421026177
ACH-000017,-0.015634013917538908
ACH-000018,0.0523788495103985
ACH-000019,-0.26868048869157285
ACH-000021,-0.0510088054673302
ACH-000022,-0.1667223515856717
ACH-000025,0.028376787001846232
ACH-000028,-0.045924178136869706
ACH-000030,-0.18683439694135087
ACH-000035,0.20153793903327644
ACH-000036,-0.2359365428147473
ACH-000037,-0.07376367219664548
ACH-000039,-0.19386598494229204
ACH-000040,-0.016120139989084768
ACH-000041,0.23203626897859525
ACH-000042,-0.3289956428454718
ACH-000045,-0.17598364389331328
ACH-000047,-0.11205094125067858
ACH-000052,0.030512746339906895
ACH-000053,-0.07099146225647443
ACH-000054,0.12106244291766975
ACH-000055,0.08109568157308465
ACH-000060,0.010917108649701787
ACH-000067,-0.08439444950305287
ACH-000070,-0.0507709612592847
ACH-000075,-0.1226630291765968
ACH-000078,-0.02764767880157107
ACH-000082,0.05781959383395367
ACH-000085,-0.009404598905442846
ACH-000086,-0.05846128930475002
ACH-000087,-0.08321995662550784
ACH-000092,-0.05870709369901765
ACH-000095,-0.1516598783056608
ACH-000097,-0.11196944917815224
ACH-000098,0.044305460330824865
ACH-000099,-0.07580359285537183
ACH-000108,-0.17286619011096688
ACH-000113,-0.014643666202873428
ACH-000116,-0.15704161525337176
ACH-000118,-0.07870785035622024
ACH-000120,-0.1323909609174997
ACH-000123,-0.05758400405141245
ACH-000127,0.00233512501008382
ACH-000128,-0.3461750724898874
ACH-000132,0.06273174837878774
ACH-000133,0.05147593234034647
ACH-000137,0.13115347687853002
ACH-000138,-0.0062692073651329575
ACH-000142,0.08516055762569599
ACH-000143,-0.1842206343211802
ACH-000146,-0.1626999281331829
ACH-000148,-0.1612162108964449
ACH-000150,-0.19744923836859274
ACH-000152,0.0880316988455385
ACH-000153,-0.025345604060594128
ACH-000159,0.02999056038793021
ACH-000160,-0.09662322942191852
ACH-000163,-0.13203262577639066
ACH-000167,0.11547546266131024
ACH-000168,-0.10675265014630557
ACH-000169,-0.07982884943965217
ACH-000178,-0.01155976222470673
ACH-000183,0.05279975405892666
ACH-000188,-0.0481685361580464
ACH-000189,-0.2379647951102942
ACH-000190,0.010277923730491608
ACH-000198,0.005356748587413728
ACH-000203,-0.24783174987237905
ACH-000204,0.13391578860434958
ACH-000206,0.021136330917617567
ACH-000207,-0.025247980386855943
ACH-000208,-0.2987599449322203
ACH-000210,0.0033355929613004282
ACH-000211,-0.07013415035282056
ACH-000215,-0.16009770699112325
