,KCNQ5 (56479)
ACH-000004,-0.12079758908250487
ACH-000005,-0.469162601513034
ACH-000007,0.09029054239412586
ACH-000009,0.07932453248338066
ACH-000011,0.05258760210111258
ACH-000012,-0.04295535774501268
ACH-000013,-0.023278230358386068
ACH-000014,0.017392286177626226
ACH-000015,0.09191206034532244
ACH-000017,-0.12335903086379585
ACH-000018,0.05608918732063579
ACH-000019,0.02760632141723488
ACH-000021,-0.15583384821943644
ACH-000022,0.060963299820619675
ACH-000025,-0.04401775995769746
ACH-000028,0.015781390583810027
ACH-000030,0.006315353655752104
ACH-000035,0.050708486950489004
ACH-000036,0.11190013802454232
ACH-000037,-0.03485292489540258
ACH-000039,-0.1303878188386213
ACH-000040,-0.044995761288915685
ACH-000041,-0.0025722433848542102
ACH-000042,0.010430322434541438
ACH-000045,-0.06313406052582
ACH-000047,-0.017185816214110368
ACH-000052,-0.2172008813870604
ACH-000053,0.009501404312480444
ACH-000054,-0.02812105544646375
ACH-000055,-0.11993147444504455
ACH-000060,-0.051733640423639815
ACH-000067,0.08218432225940295
ACH-000070,-0.11823122352880824
ACH-000075,0.04764816184943725
ACH-000078,-0.0483957221095887
ACH-000082,-0.023636641921918142
ACH-000085,0.10192111151222044
ACH-000086,-0.07377113017718788
ACH-000087,0.0864708909713695
ACH-000092,-0.01578226933898931
ACH-000095,-0.10194842216151943
ACH-000097,0.056906503647392075
ACH-000098,-0.114170830235025
ACH-000099,0.12621180808521945
ACH-000108,0.08038094778959891
ACH-000113,-0.00836712164500419
ACH-000116,-0.15050008764954734
ACH-000118,-0.05341674325559655
ACH-000120,0.05286351370324343
ACH-000123,-0.04692063199278526
ACH-000127,-0.0786977830752887
ACH-000128,-0.0376562655285223
ACH-000132,-0.13627747857577574
ACH-000133,-0.058807682321838216
ACH-000137,-0.024019835896810303
ACH-000138,0.032831778119644744
ACH-000142,0.03035476979916668
ACH-000143,0.07152177756532449
ACH-000146,-0.06598654940545916
ACH-000148,0.009864502956884548
ACH-000150,-0.0671127911911182
ACH-000152,-0.046035986749121294
ACH-000153,-0.04215464076713752
ACH-000159,-0.04867219610183009
ACH-000160,0.008979456080969651
ACH-000163,-0.02639672149987105
ACH-000167,-0.5985350680412732
ACH-000168,-0.029530152795870918
