,KIF15 (56992)
ACH-000004,-0.2048575531807675
ACH-000005,0.050140478529853504
ACH-000007,-0.17543723613142034
ACH-000009,-0.38748773040286055
ACH-000011,-0.2939338117940528
ACH-000012,-0.347515167607067
ACH-000013,-0.12165757878605522
ACH-000014,-0.21526112495302932
ACH-000015,-0.38422854730971934
ACH-000017,-0.12554069578940374
ACH-000018,-0.2623152074702537
ACH-000019,-0.15627184652960424
ACH-000021,-0.12690865422804978
ACH-000022,-0.30619937288856364
ACH-000025,-0.46091895288717893
ACH-000028,-0.17227520723047726
ACH-000030,-0.3578042227778641
ACH-000035,-0.04713860898403729
ACH-000036,-0.27212836819326114
ACH-000037,-0.28090596956788194
ACH-000039,-0.2901336501814198
ACH-000040,-0.7427435775205621
ACH-000041,-0.16047639948245288
ACH-000042,-0.2998040981712194
ACH-000045,-0.08795938208800899
ACH-000047,-0.25886432763243905
ACH-000052,-0.08336095972522928
ACH-000053,-0.1385119607848159
ACH-000054,-0.4352232725707096
ACH-000055,-0.2926220745162292
ACH-000060,-0.18306536923314326
ACH-000067,-0.029842792664455407
ACH-000070,-0.15537730453544946
ACH-000075,-0.3435519612659616
ACH-000078,-0.23419885633549106
ACH-000082,-0.3204632505207138
ACH-000085,-0.23722596021644615
ACH-000086,-0.3620633892213476
ACH-000087,-0.2196020092221216
ACH-000092,-0.17233231452528955
ACH-000095,-0.2237751249413095
ACH-000097,-0.2491662835108308
ACH-000098,-0.1221572245164662
ACH-000099,-0.18798525611023573
ACH-000108,-0.28004109186179715
ACH-000113,-0.1682629620628718
ACH-000116,-0.19804153435034585
ACH-000118,-0.11774740434504305
ACH-000120,-0.3711886202233327
ACH-000123,-0.2808513986035895
ACH-000127,-0.2508472579282099
ACH-000128,-0.33986304229474423
ACH-000132,-0.02634396480155809
ACH-000133,-0.22776127671356566
ACH-000137,-0.014979361744593609
ACH-000138,-0.19886930489698926
ACH-000142,-0.4055098249134869
ACH-000143,-0.02179777655003335
ACH-000146,-0.2677150923911933
ACH-000148,-0.21503222269550207
ACH-000150,-0.2554839581082999
ACH-000152,-0.14859244928049933
ACH-000153,-0.31605834786615633
ACH-000159,-0.3635309657752388
ACH-000160,-0.3339357358768369
ACH-000163,-0.3783970129154495
ACH-000167,-0.10845558161299848
ACH-000168,-0.07489657995134212
ACH-000169,-0.4052275654837688
ACH-000178,-0.10105695021627636
ACH-000183,-0.035013775118058636
ACH-000188,-0.18299758834677451
ACH-000189,-0.2472460219189372
ACH-000190,-0.07622695875217039
ACH-000198,-0.44547472457913895
ACH-000203,-0.4423717242637766
ACH-000204,-0.21263761736813536
ACH-000206,-0.013374012155233506
ACH-000207,-0.1571020193421357
ACH-000208,-0.13712706636604854
ACH-000210,-0.14454520850945374
ACH-000211,-0.3298130782547307
ACH-000215,-0.3272515165979782
ACH-000221,-0.1144802986990076
ACH-000222,-0.21415862497519286
ACH-000223,-0.3021209707592077
ACH-000226,-0.05596825269913098
ACH-000227,-0.26991297795679264
ACH-000228,-0.34776733018966743
ACH-000231,-0.1404787524142921
ACH-000232,-0.2300731425645456
ACH-000233,-0.21850774539198348
ACH-000234,-0.31728729859862
ACH-000235,-0.1493533998359978
ACH-000237,-0.3666230680680545
ACH-000238,-0.4379430248080608
ACH-000242,-0.08106584787869607
ACH-000243,-0.19130749217466425
ACH-000244,-0.7936036003469633
ACH-000246,-0.22712616844469755
ACH-000248,-0.33662177229046625
ACH-000250,-0.4684057976832404
ACH-000251,-0.1929987628866596
ACH-000252,-0.08815865969724447
ACH-000253,-0.20011732357033216
ACH-000255,-0.2523964112436
ACH-000256,-0.17810586384460214
ACH-000257,-0.1915471181007526
ACH-000258,-0.17611907959682424
ACH-000259,-0.22341249248460127
ACH-000260,-0.18586198417810926
ACH-000261,-0.17890063535794354
ACH-000262,-0.3674661181509747
ACH-000263,-0.20682632592587213
ACH-000264,-0.3737849651891354
ACH-000265,-0.2902699918896504
ACH-000266,-0.2000854540484836
ACH-000272,-0.16317873386909554
ACH-000274,-0.1185359653716702
ACH-000277,-0.13957701920466162
ACH-000278,-0.16082929498174814
ACH-000279,-0.4276657693789556
ACH-000280,-0.5971755451565404
ACH-000281,-0.5423323569807157
ACH-000288,-0.2821000709531684
ACH-000291,-0.2567783610018926
ACH-000293,-0.039984568274206135
ACH-000294,-0.3443848759004023
ACH-000295,-0.0598049775229047
ACH-000296,-0.17679125887625166
ACH-000302,-0.1311135903124081
ACH-000304,-0.3702034265332039
ACH-000307,-0.1722961254703679
ACH-000308,-0.11140314636032617
ACH-000310,-0.2781106827003898
ACH-000311,-0.012617380548410908
ACH-000312,-0.02072270598543989
ACH-000315,-0.0585940547792745
ACH-000316,-0.19167511523120476
ACH-000317,-0.15789498468965382
ACH-000318,-0.14340835430888368
ACH-000319,-0.20070164322281425
ACH-000320,-0.14782941706354685
ACH-000322,-0.1507501853095591
ACH-000323,-0.14778308833363232
ACH-000324,-0.22931541244907086
ACH-000329,-0.1269529082818308
ACH-000330,-0.2959527027404907
ACH-000331,-0.1945115527418349
ACH-000332,-0.21900053028627545
ACH-000334,-0.30336179269280344
ACH-000335,-0.642945517227678
ACH-000336,-0.2623710064940448
ACH-000337,-0.12026864440048393
ACH-000338,0.1399263990212854
ACH-000339,-0.1201493819474949
ACH-000341,-0.3229754027020417
ACH-000348,-0.05793654652916149
ACH-000350,-0.1445723649346803
ACH-000352,-0.03258685218613784
ACH-000356,-0.10226199878926988
ACH-000361,-0.2579170617896217
ACH-000362,-0.2213872984237428
ACH-000363,-0.169631863407145
ACH-000364,-0.2263364915133276
ACH-000365,-0.003775356968737883
ACH-000366,-0.25509112532770606
ACH-000368,-0.162498641394856
ACH-000374,-0.4578757765803812
ACH-000375,-0.413690810589497
ACH-000376,-0.12898987375091156
ACH-000381,-0.16419252686811447
ACH-000383,-0.12964848411428118
ACH-000387,-0.27742798038265776
ACH-000389,-0.3306522787682748
ACH-000390,-0.2744318788941601
ACH-000393,-0.31289287228798524
ACH-000395,-0.2098771758531688
ACH-000396,-0.2605696555513315
ACH-000397,-0.32272739377458404
ACH-000401,-0.2585163226755595
ACH-000402,-0.048208867989124105
ACH-000403,-0.19591393995433407
ACH-000404,-0.7533619504968234
ACH-000406,-0.40937060359398697
ACH-000407,-0.24424562771699884
ACH-000408,-0.12791867100130686
ACH-000410,-0.24808745132628476
ACH-000411,-0.17105583777362246
ACH-000414,-0.16832403436234644
ACH-000415,-0.2574208791677932
ACH-000416,0.02287243854155379
ACH-000420,-0.23731120555111135
ACH-000421,-0.10015722550022026
ACH-000424,-0.2088237501163869
ACH-000425,-0.11175779986005699
ACH-000426,-0.03147016767446479
ACH-000427,-0.18311300525908572
ACH-000433,-0.24377771279312302
ACH-000435,-0.2000462085128352
ACH-000436,-0.4656948954908053
ACH-000444,-0.3321378166861132
ACH-000445,-0.6840085208617604
ACH-000448,-0.36013335781420464
ACH-000450,-0.24864466541348665
ACH-000452,-0.2404876283759162
ACH-000454,-0.4465496656243727
ACH-000458,-0.2838611206869186
ACH-000459,-0.1864963083268357
ACH-000460,-0.5344549765738622
ACH-000461,-0.4207573251391487
ACH-000463,-0.19206739547983773
ACH-000464,-0.3698173707989671
ACH-000466,-0.15777471405620874
