,CCDC102A (92922)
ACH-000004,-0.2687796455665532
ACH-000005,-0.16085851888229316
ACH-000007,-0.07256111515550559
ACH-000009,0.034395343588819766
ACH-000011,0.04472459032148122
ACH-000012,-0.2393418709993801
ACH-000013,0.08092215637903152
ACH-000014,0.01285694236550752
ACH-000015,0.1811740541806722
ACH-000017,-0.12216003499448913
ACH-000018,-0.2280057268971893
ACH-000019,-0.08730267278092695
ACH-000021,-0.08305998498587401
ACH-000022,-0.06831630946108455
ACH-000025,-0.1419509945220511
ACH-000028,0.15847895081070054
ACH-000030,-0.0797305547543477
ACH-000035,-0.25412780848376915
ACH-000036,-0.02669460405933136
ACH-000037,-0.17361725048543342
ACH-000039,-0.14658438454288686
ACH-000040,-0.11655129872077295
ACH-000041,-0.11567190946257402
ACH-000042,0.013666258033445835
ACH-000045,0.004144923371609454
ACH-000047,-0.1518411563316819
ACH-000052,-0.19009503680034606
ACH-000053,-0.16619217707521636
ACH-000054,-0.03948720055812518
ACH-000055,0.15623605736177756
ACH-000060,-0.12071860739013268
ACH-000067,-0.21819566565200765
ACH-000070,-0.14105252251843894
ACH-000075,0.07112631689064046
ACH-000078,-0.002072720650763324
ACH-000082,-0.12783150729346976
ACH-000085,-0.15939502904776245
ACH-000086,-0.10671174389761663
ACH-000087,0.02057655127487552
ACH-000092,-0.09693478780319004
ACH-000095,-0.13559023776952808
ACH-000097,-0.14259100509020786
ACH-000098,-0.16396611219649013
ACH-000099,-0.05823210982810969
ACH-000108,-0.16769617714374388
ACH-000113,-0.16968401695733892
ACH-000116,-0.011325998333392592
ACH-000118,-0.2154506028139394
ACH-000120,-0.031500320830265965
ACH-000123,-0.03276518129426167
ACH-000127,0.015112716535083531
ACH-000128,-0.02935897748287517
ACH-000132,-0.194184438040553
ACH-000133,-0.15731873951592934
ACH-000137,-0.2821432092881626
ACH-000138,0.08230682183530384
ACH-000142,-0.1351616773699594
ACH-000143,-0.09104672574634502
ACH-000146,-0.1845183744899681
ACH-000148,-0.20323601022515933
ACH-000150,-0.10809276392939103
ACH-000152,-0.08341760673912793
ACH-000153,-0.16288927807378273
ACH-000159,0.010719705526277816
ACH-000160,-0.11884424837382178
ACH-000163,-0.02815913237115838
ACH-000167,-0.0075885915776588535
ACH-000168,0.030101359228881526
ACH-000169,-0.07047183035499742
ACH-000178,-0.09214663305865678
ACH-000183,-0.037044655053143256
ACH-000188,-0.05318017747341276
ACH-000189,-0.04292487387251654
ACH-000190,0.02422289471818517
ACH-000198,-0.024419098021525837
ACH-000203,-0.2023985460879181
ACH-000204,-0.04647968715456182
ACH-000206,0.01491896631193116
ACH-000207,0.08997397751317032
ACH-000208,-0.4608676023216959
ACH-000210,-0.04868239463539032
ACH-000211,-0.05031013661491855
ACH-000215,-0.12274433412531024
ACH-000221,0.038387318082595816
ACH-000222,-0.0723066292366454
ACH-000223,0.06389660022989399
ACH-000226,-0.15000420781174245
ACH-000227,-0.00990159830340328
ACH-000228,-0.24006272015799685
ACH-000231,-0.11849357783638495
ACH-000232,-0.011514013959348536
ACH-000233,-0.24584758973523166
ACH-000234,-0.09919143992836413
ACH-000235,-0.04484795017363217
ACH-000237,-0.23904292402142244
ACH-000238,-0.04362355036129981
ACH-000242,0.20014524498710487
ACH-000243,0.002370934771819552
ACH-000244,-0.24571573102896055
ACH-000246,-0.13994594555728973
ACH-000248,-0.2386293027107739
ACH-000250,-0.08230854385531045
ACH-000251,-0.1218502844093779
ACH-000252,-0.3866739996977456
ACH-000253,-0.07754182134683023
ACH-000255,-0.14840419361674806
ACH-000256,0.008256411779162184
ACH-000257,-0.0836943301908532
ACH-000258,-0.059344774890526114
ACH-000259,-0.03716794177301899
ACH-000260,-0.13409078151786674
ACH-000261,-0.10366076609321907
ACH-000262,0.00798460344982801
ACH-000263,0.014197442306904859
ACH-000264,0.05186294614969885
ACH-000265,-0.0662955307770982
ACH-000266,-0.016598564989646732
ACH-000272,-0.03463871083965425
ACH-000274,-0.036365081738232566
ACH-000277,-0.08345670958319866
ACH-000278,-0.0785106454211652
ACH-000279,-0.043912589076402435
ACH-000280,-0.08585085907132932
ACH-000281,-0.01867741097530114
ACH-000288,0.016846336423233608
ACH-000291,-0.06091150151320127
ACH-000293,-0.08238345175214608
ACH-000294,0.0499166302532976
ACH-000295,-0.11720809530177782
ACH-000296,0.02261972501158549
ACH-000302,0.07198058555155559
ACH-000304,0.1617491483579647
ACH-000307,-0.09472096018721003
ACH-000308,0.0024673017743653725
ACH-000310,-0.03101898839527137
ACH-000311,-0.19407921910949796
ACH-000312,-0.10309904559257416
ACH-000315,0.03423430642140117
ACH-000316,-0.3212612135801909
ACH-000317,-0.024007083483234118
ACH-000318,0.09031110070600903
ACH-000319,-0.25821838781147743
ACH-000320,-0.04954640069303807
ACH-000322,-0.1881048926038946
ACH-000323,0.01204685414423072
ACH-000324,-0.0521090307928726
ACH-000329,-0.16110373888694024
ACH-000330,-0.019608292512914467
ACH-000331,-0.06067210638965265
ACH-000332,0.014741235905848162
ACH-000334,0.07606816025131996
ACH-000335,-0.4187248911711484
ACH-000336,-0.11557344325446135
ACH-000337,-0.2041817978254362
ACH-000338,-0.054815268459812064
ACH-000339,-0.20244230680281627
ACH-000341,-0.1343327913372854
ACH-000348,-0.11556915728902853
ACH-000350,-0.19334698111706491
ACH-000352,-0.08311599368731086
ACH-000356,-0.13698876038438404
ACH-000361,0.14125307842121146
ACH-000362,-0.022172583598840282
ACH-000363,-0.022003326085908957
ACH-000364,-0.1042716994386322
ACH-000365,0.04527358241294081
ACH-000366,0.0018700746415829773
ACH-000368,-0.09909054655670824
ACH-000374,0.048431144872824114
