,DAGLB (221955)
ACH-000004,-0.08126534001299214
ACH-000005,-0.7123291743890583
ACH-000007,-0.1817416086301519
ACH-000009,-0.11992335233658673
ACH-000011,-0.18469576787749709
ACH-000012,-0.1849036688923552
ACH-000013,-0.09928132595166687
ACH-000014,-0.2116533294822151
ACH-000015,-0.18592688110404976
ACH-000017,-0.016522129099090982
ACH-000018,-0.16570830341999065
ACH-000019,-0.18635476255403904
ACH-000021,-0.14533132182721514
ACH-000022,-0.15312286397314329
ACH-000025,-0.10529593653251804
ACH-000028,-0.0735819532003216
ACH-000030,-0.1390081952346903
ACH-000035,-0.14350644450582567
ACH-000036,-0.3338655777844615
ACH-000037,0.009117529082075226
ACH-000039,0.05641302650775413
ACH-000040,-0.21998953356734405
ACH-000041,0.06044341429815996
ACH-000042,-0.11738101346121525
ACH-000045,-0.05049220599676728
ACH-000047,-0.13554329466152015
ACH-000052,0.029190968703367882
ACH-000053,-0.1585682230893065
ACH-000054,-0.2647950238173823
ACH-000055,-0.08609314178008687
ACH-000060,-0.21391755439705826
ACH-000067,-0.2079859700227176
ACH-000070,-0.16977621551382024
ACH-000075,-0.1031401280547758
ACH-000078,-0.08069802817904666
ACH-000082,-0.2255641860544099
ACH-000085,-0.02922284360434995
ACH-000086,-0.09136924371030034
ACH-000087,-0.2771431169252116
ACH-000092,-0.14524133699685338
ACH-000095,-0.08679189384638447
ACH-000097,-0.11896080355671527
ACH-000098,-0.09744207856894692
ACH-000099,-0.17905934256832595
ACH-000108,-0.18603428367326608
ACH-000113,-0.10371178141348936
ACH-000116,-0.11557728734192968
ACH-000118,-0.05365114504437889
ACH-000120,-0.12458056703847938
ACH-000123,-0.24044674695053506
ACH-000127,-0.14230804116835907
ACH-000128,-0.2561461792339185
ACH-000132,-0.27534079394128325
ACH-000133,-0.13999327642408693
ACH-000137,-0.05179617246697695
ACH-000138,-0.16470556718944065
ACH-000142,-0.15584946383387355
ACH-000143,-0.07269239890378615
ACH-000146,-0.1344330308069677
ACH-000148,-0.19209328578159185
ACH-000150,0.06858591560249369
ACH-000152,-0.22019094683170534
ACH-000153,-0.13773531257057012
ACH-000159,-0.11533784035064668
ACH-000160,-0.18019196390493955
ACH-000163,-0.1937049177981271
ACH-000167,-0.0916157824854067
ACH-000168,-0.2991124516700959
ACH-000169,-0.2777022956760761
ACH-000178,-0.2307587847974459
ACH-000183,-0.13284000509174054
ACH-000188,-0.18377392200773465
ACH-000189,-0.3683935036640635
ACH-000190,0.004139648020926739
ACH-000198,-0.09283571227446724
ACH-000203,0.3005160722228884
ACH-000204,-0.05288080664077914
ACH-000206,-0.3631750351982228
ACH-000207,-0.2921989546215032
ACH-000208,-0.4025986409279072
ACH-000210,0.04598205403749588
ACH-000211,-0.06451044648268603
ACH-000215,-0.025811169124227408
ACH-000221,-0.10335160852306248
ACH-000222,-0.20796724372271286
ACH-000223,-0.1633162278845549
ACH-000226,-0.2461570909654236
ACH-000227,-0.16551771178749478
ACH-000228,-0.2792062347839833
ACH-000231,-0.2207992779783685
ACH-000232,-0.19703044846939213
ACH-000233,-0.14722374019769907
ACH-000234,-0.17987769324453542
ACH-000235,-0.1002052815070668
ACH-000237,-0.2086780916887064
ACH-000238,-0.2584902783591792
ACH-000242,-0.2684809352022555
ACH-000243,-0.1053621968032832
ACH-000244,-0.38565103848648347
ACH-000246,-0.19695456944061845
ACH-000248,-0.11625695202297265
ACH-000250,-0.09911731420286617
ACH-000251,-0.1997727720131829
ACH-000252,-0.141205760827981
ACH-000253,-0.17008488676559494
ACH-000255,-0.0290564315879966
ACH-000256,-0.14943874035180238
ACH-000257,-0.22882534345557815
ACH-000258,0.053226095644359706
ACH-000259,-0.2601348800994193
ACH-000260,-0.052312835991539484
ACH-000261,-0.1303250687274882
ACH-000262,-0.18434374182016575
ACH-000263,-0.3903147109236817
ACH-000264,-0.10121125984026068
ACH-000265,-0.12631162753097314
ACH-000266,-0.2438839156196736
ACH-000272,-0.09972687158388943
ACH-000274,-0.22388074385926898
ACH-000277,-0.17444404750856826
ACH-000278,-0.10525414644884573
ACH-000279,-0.029392604220730763
ACH-000280,-0.09887475238382293
ACH-000281,-0.4602557395286327
ACH-000288,-0.19977460154022805
ACH-000291,-0.011551682339328184
ACH-000293,-0.013782709056005088
ACH-000294,-0.19532304745061374
ACH-000295,-0.08079840363717289
ACH-000296,-0.03372344527828691
ACH-000302,-0.10237431692226684
