,DTX3L (151636)
ACH-000004,0.15595776082281854
ACH-000005,0.15112269661016986
ACH-000007,0.1289209950153331
ACH-000009,-0.0198253257693234
ACH-000011,0.12009061741936568
ACH-000012,0.030922838013420738
ACH-000013,0.08808720097285191
ACH-000014,-0.07692871790031447
ACH-000015,0.1596765141462661
ACH-000017,0.07090988140494549
ACH-000018,0.05587729779987344
ACH-000019,0.057171262607120424
ACH-000021,0.02800222986636154
ACH-000022,0.0494443009489527
ACH-000025,0.027334776955523558
ACH-000028,-0.05151813075051437
ACH-000030,0.0471102895447068
ACH-000035,-0.06107807505834975
ACH-000036,0.17283145760525098
ACH-000037,0.1512812326190261
ACH-000039,-0.0233355958185896
ACH-000040,0.07491837803796086
ACH-000041,0.05908973693073776
ACH-000042,0.11579226861215786
ACH-000045,0.09919315842991283
ACH-000047,0.06396021086168897
ACH-000052,0.07720331252367549
ACH-000053,0.06698996377923906
ACH-000054,-0.03021891753855457
ACH-000055,-0.10826284395998728
ACH-000060,0.06582053383850933
ACH-000067,-0.12002339439036
ACH-000070,0.03810060715674096
ACH-000075,0.07363356427085979
ACH-000078,0.058825892696554236
ACH-000082,0.10577371636937193
ACH-000085,0.15394713950773448
ACH-000086,0.0148374968540111
ACH-000087,0.17641433420254152
ACH-000092,0.04363748039244809
ACH-000095,0.10950091478046924
ACH-000097,-0.0287178677669486
ACH-000098,0.09403006409646954
ACH-000099,0.021381620999704847
ACH-000108,0.1291847633272026
ACH-000113,-0.009902956391997323
ACH-000116,0.1196670222752628
ACH-000118,0.06633987755914643
ACH-000120,-0.06918354800658721
ACH-000123,-0.09178304745155616
ACH-000127,0.08442354341468437
ACH-000128,0.020407100399914908
ACH-000132,0.0335755654836616
ACH-000133,0.02814559892796539
ACH-000137,-0.039937243354613884
ACH-000138,0.05540839645765553
ACH-000142,0.1118550662979432
ACH-000143,-0.22670471275932755
ACH-000146,0.0625228432386877
ACH-000148,0.09656320173071686
ACH-000150,0.17633834944022586
ACH-000152,0.011355038609358721
ACH-000153,-0.09727834240940904
ACH-000159,-0.04099901417500438
ACH-000160,0.19789460339999124
ACH-000163,-0.02754076832386923
ACH-000167,0.3649360672340893
ACH-000168,0.229459241406616
ACH-000169,0.018432160897485672
ACH-000178,0.09725195032810964
ACH-000183,-0.09379260668832264
ACH-000188,-0.00572621833898782
ACH-000189,0.20871727074642799
ACH-000190,0.2712162390833785
ACH-000198,0.001341826972337278
ACH-000203,7.559413107039767e-05
ACH-000204,0.06513754513386333
ACH-000206,-0.0949760590074326
ACH-000207,-0.02270294012808355
ACH-000208,-0.1643577257520053
ACH-000210,-0.05640298636146124
ACH-000211,0.05591499582816042
ACH-000215,0.07869801721933288
ACH-000221,-0.153929141841259
ACH-000222,0.2837655386892161
ACH-000223,0.00885604451106382
ACH-000226,0.009167077945940315
ACH-000227,-0.024035117021779615
ACH-000228,0.07078200320905645
ACH-000231,-0.005274778194312228
