,TMPPE (643853)
ACH-000004,-0.04406068762713645
ACH-000005,-0.1932128846653802
ACH-000007,-0.04833231562471526
ACH-000009,-0.10498139006948322
ACH-000011,-0.08545780179305128
ACH-000012,0.1448748399171106
ACH-000013,0.03451574460531262
ACH-000014,-0.11151317704868018
ACH-000015,-0.03436008614330128
ACH-000017,-0.08416838029719141
ACH-000018,0.0006213045383437306
ACH-000019,0.12029713051014088
ACH-000021,-0.060820223317760075
ACH-000022,-0.04004496958758539
ACH-000025,-0.16540258469827274
ACH-000028,0.021452951703805772
ACH-000030,-0.0010426513987674825
ACH-000035,-0.12105198366781045
ACH-000036,-0.09501125767783328
ACH-000037,-0.07381215873136447
ACH-000039,-0.12190607153445612
ACH-000040,-0.0474082041773336
ACH-000041,0.035431700852587865
ACH-000042,-0.08516496604315348
ACH-000045,-0.16505740186693604
ACH-000047,-0.05526496899317044
ACH-000052,-0.05825200217300412
ACH-000053,-0.08069756868215322
ACH-000054,-0.0912060672369052
ACH-000055,0.06775391569320867
ACH-000060,-0.15658265910713126
ACH-000067,-0.031596139950669413
ACH-000070,0.01457347298479177
ACH-000075,0.0028174461171056003
ACH-000078,0.03620728919931985
ACH-000082,0.01612233229400238
ACH-000085,0.03923213741107452
ACH-000086,0.059494415833159314
ACH-000087,-0.06940050296435607
ACH-000092,-0.042204618999750435
ACH-000095,-0.03135621230132395
ACH-000097,-0.018470434480804862
ACH-000098,-0.03407753347350844
ACH-000099,-0.06579182024000009
ACH-000108,0.041966351474593384
ACH-000113,-0.13367995586761064
ACH-000116,-0.02555355308253594
ACH-000118,0.0427523618762964
ACH-000120,-0.12137037751478745
ACH-000123,0.008399744891225639
ACH-000127,-0.0694180549742932
ACH-000128,-0.0659620940603687
ACH-000132,0.027367327947118943
ACH-000133,0.026599599065319945
ACH-000137,-0.09183737396647863
ACH-000138,0.07656955938399501
ACH-000142,-0.1566217856960182
ACH-000143,-0.03969166690012567
ACH-000146,-0.060383851605870974
ACH-000148,-0.05420700956153245
ACH-000150,-0.2088934203360004
ACH-000152,-0.03889662938186658
ACH-000153,0.16570396692999634
ACH-000159,-0.0652931473480643
ACH-000160,-0.06162967766230476
ACH-000163,-0.17130921096179688
ACH-000167,-0.1720237707861192
ACH-000168,0.2120982317488545
ACH-000169,-0.07135554951836308
ACH-000178,-0.04921508906989452
ACH-000183,-0.009102420303833004
ACH-000188,-0.08042720461714267
ACH-000189,-0.05469746089296616
ACH-000190,-0.05019740729984405
ACH-000198,-0.1004853818331412
ACH-000203,0.3938048006265595
ACH-000204,0.17258990444293318
ACH-000206,-0.062051771519770774
ACH-000207,0.011028602980111851
ACH-000208,0.00839530449501959
ACH-000210,0.02581664339122277
ACH-000211,-0.12852571967571375
ACH-000215,-0.04161978923235922
ACH-000221,0.11025617115840056
ACH-000222,0.06822286694242595
ACH-000223,-0.06550339052510186
ACH-000226,-0.04089710493528875
ACH-000227,-0.1619331520469187
ACH-000228,-0.09053478385368233
ACH-000231,-0.05496342852050772
ACH-000232,-0.11185318537655256
ACH-000233,0.05626946515671799
ACH-000234,-0.113459232570736
ACH-000235,-0.03724432398201713
ACH-000237,-0.036945898235338316
ACH-000238,-0.1224923048814842
ACH-000242,0.16078040720028844
ACH-000243,-0.04746480701942735
ACH-000244,-0.0971282275527397
ACH-000246,-0.12871785043666964
ACH-000248,-0.10758408581407253
ACH-000250,-0.02794980994831226
ACH-000251,-0.0257663367035757
ACH-000252,-0.07778835442184308
ACH-000253,-0.026116194046164054
ACH-000255,-0.08285112631746881
ACH-000256,-0.0007284367088935485
ACH-000257,-0.27800207398878074
ACH-000258,0.0701392669722054
ACH-000259,-0.10905228901105253
ACH-000260,0.008644606681675316
ACH-000261,-0.04871239436344084
ACH-000262,-0.03165459760681855
ACH-000263,-0.25106280601760056
ACH-000264,-0.07850962001382866
ACH-000265,0.004559216069696914
ACH-000266,-0.03688858360680621
ACH-000272,0.026156167311235733
ACH-000274,-0.047359143558414855
ACH-000277,-0.08398510304922517
ACH-000278,0.026385728591490226
