,LRP5L (91355)
ACH-000004,0.02020083111534285
ACH-000005,-0.18114838520707835
ACH-000007,-0.2801820817917866
ACH-000009,-0.2441836006714949
ACH-000011,-0.0029089040049432445
ACH-000012,-0.12055742975362715
ACH-000013,-0.22377662951634028
ACH-000014,-0.1509662315915053
ACH-000015,-0.18968128984662636
ACH-000017,-0.0486868958758057
ACH-000018,-0.3218767347849305
ACH-000019,-0.061985609180325425
ACH-000021,-0.15242952035969584
ACH-000022,-0.1740559934704475
ACH-000025,-0.20565709756493214
ACH-000028,-0.1720768186654446
ACH-000030,-0.10681940075853527
ACH-000035,-0.1388531838654419
ACH-000036,-0.07725095009748277
ACH-000037,-0.13701839048876624
ACH-000039,-0.3387261406672864
ACH-000040,-0.1372384128273854
ACH-000041,-0.2946663384280481
ACH-000042,-0.277357600149243
ACH-000045,0.011624927632174945
ACH-000047,-0.2085854428119572
ACH-000052,-0.06358865049243008
ACH-000053,-0.0751820049831246
ACH-000054,-0.12925153318351362
ACH-000055,-0.05256262523850575
ACH-000060,-0.08168923538721216
ACH-000067,-0.06289992134793526
ACH-000070,-0.052470019590090934
ACH-000075,-0.15775795929775124
ACH-000078,-0.3061597119763292
ACH-000082,-0.2317721755221157
ACH-000085,-0.2649756246083179
ACH-000086,-0.0643351114824688
ACH-000087,-0.2354029016593053
ACH-000092,-0.17129214508992538
ACH-000095,-0.20792365775530286
ACH-000097,-0.2555235108900417
ACH-000098,-0.1343258868943192
ACH-000099,-0.08036568772865396
ACH-000108,-0.03251167442557423
ACH-000113,-0.0948299693932089
ACH-000116,-0.03803709886721024
ACH-000118,-0.13858317322259292
ACH-000120,-0.03955531596011375
ACH-000123,-0.01776484366630036
ACH-000127,-0.20427034535345828
ACH-000128,-0.07061234975969449
ACH-000132,-0.1616218129682112
ACH-000133,-0.14931014679491714
ACH-000137,-0.03962958675086932
ACH-000138,-0.061382975050753075
ACH-000142,-0.032548222012385115
ACH-000143,-0.3529575884027521
ACH-000146,-0.033632092072796875
ACH-000148,-0.11719610722984693
ACH-000150,-0.3399157982721656
ACH-000152,-0.14438261591673626
ACH-000153,-0.08882626853488307
ACH-000159,-0.12434231434949705
ACH-000160,-0.18698840694414207
ACH-000163,-0.2321352377965505
ACH-000167,0.024564651570612942
ACH-000168,-0.1818918434034676
ACH-000169,-0.08182202020773455
ACH-000178,-0.0902529744401009
ACH-000183,-0.2609499334440056
ACH-000188,-0.013093294272626892
ACH-000189,-0.07659581319684874
ACH-000190,-0.05493586948299768
ACH-000198,-0.07248638221972871
ACH-000203,-0.16452215435846068
ACH-000204,-0.014371636619645491
ACH-000206,-0.0919160189730618
ACH-000207,-0.29861058860883355
ACH-000208,-0.3294045322120932
ACH-000210,0.13391462548077648
ACH-000211,-0.2003610707665619
ACH-000215,-0.1517165012847257
ACH-000221,-0.31162989033842103
ACH-000222,-0.20522267670501396
ACH-000223,-0.1498100220771001
ACH-000226,-0.17697353474298258
ACH-000227,-0.2932755098364949
ACH-000228,-0.2155017565799335
ACH-000231,-0.30618296572515025
ACH-000232,-0.0894344071926395
ACH-000233,0.012840304123784398
ACH-000234,-0.0115533538326187
ACH-000235,-0.0501792073417173
ACH-000237,-0.13416656816897182
ACH-000238,0.010938181886642659
ACH-000242,-0.2955967967191704
ACH-000243,-0.12508675213787082
ACH-000244,-0.05609122522924885
ACH-000246,-0.07734455272852146
ACH-000248,0.033003936085294915
ACH-000250,-0.10480084934745057
ACH-000251,-0.12660408276714732
ACH-000252,-0.18218565346779966
ACH-000253,0.004273180825525369
ACH-000255,-0.2556504222322937
ACH-000256,-0.3467550500371819
ACH-000257,-0.09376419442436323
ACH-000258,-0.04364380716862326
ACH-000259,-0.25237517209210897
ACH-000260,-0.12821213342116336
ACH-000261,-0.1779139897004426
ACH-000262,-0.020365326768943755
ACH-000263,-0.17756665892923262
ACH-000264,-0.11992081512461447
ACH-000265,-0.019842010860129492
ACH-000266,-0.169048458248045
ACH-000272,-0.1932886219138168
ACH-000274,-0.07718634169416456
ACH-000277,-0.3056342148429848
ACH-000278,-0.27201504346781796
ACH-000279,-0.02613539613143304
ACH-000280,-0.035439917138283684
ACH-000281,-0.21220262512851
ACH-000288,-0.0581707610418532
ACH-000291,-0.11230688362010402
ACH-000293,-0.17939998561887607
ACH-000294,-0.2423385917311547
ACH-000295,-0.3402381891802085
ACH-000296,-0.3867214329107748
ACH-000302,-0.1570508456638468
ACH-000304,-0.28646733495863475
ACH-000307,-0.11539714832800185
ACH-000308,-0.18309526416000926
ACH-000310,-0.16344433843643136
ACH-000311,-0.16420099569797256
ACH-000312,-0.18957395276695674
ACH-000315,-0.3011595439569846
ACH-000316,-0.05322092913700007
ACH-000317,-0.1342199546155599
ACH-000318,-0.1766653003718544
ACH-000319,-0.19525821538698585
ACH-000320,-0.12627818599330215
ACH-000322,-0.07444609347869383
ACH-000323,-0.2280016089350015
ACH-000324,-0.15035435015823745
ACH-000329,0.04124176212981719
ACH-000330,-0.12236865759918507
ACH-000331,0.0050566735459613345
ACH-000332,-0.2825175756055161
ACH-000334,-0.1339875778290554
ACH-000335,-0.2249916257564244
ACH-000336,0.06412285150859247
ACH-000337,-0.20885524249830414
ACH-000338,-0.03743484956409437
ACH-000339,-0.17470241550539312
ACH-000341,-0.05305134458355233
ACH-000348,0.07185285996352196
ACH-000350,-0.2640751550075219
ACH-000352,-0.07862962691621099
ACH-000356,-0.10693831327385332
ACH-000361,-0.21030750916980215
ACH-000362,-0.100642001742865
ACH-000363,-0.18342975905973466
ACH-000364,-0.016511162452341875
ACH-000365,-0.18110564746628416
ACH-000366,-0.3479893080511648
ACH-000368,-0.19078967266306435
ACH-000374,0.14584925344415128
ACH-000375,-0.2327012014750819
ACH-000376,-0.05714578935190001
ACH-000381,-0.1319022943856085
ACH-000383,-0.15044309624241692
ACH-000387,-0.14772350195275374
ACH-000389,-0.05837921547279103
ACH-000390,-0.10621306532573016
ACH-000393,-0.3793619304178226
ACH-000395,-0.11826719875013605
ACH-000396,-0.1957908057281228
ACH-000397,-0.09043030669743253
ACH-000401,-0.32568111369425057
ACH-000402,-0.01605139850508247
ACH-000403,-0.11642197697721288
ACH-000404,-0.07582078795958402
ACH-000406,-0.16147105824015492
ACH-000407,-0.1780228137509158
ACH-000408,-0.25247582011005826
ACH-000410,-0.17098254678370045
ACH-000411,-0.06564121388779752
ACH-000414,-0.18062059544670386
ACH-000415,-0.16088727279511258
ACH-000416,-0.20841756625577504
ACH-000420,-0.039292924455530995
ACH-000421,-0.1960463767578894
ACH-000424,-0.2819228798176424
ACH-000425,-0.2451745559820245
ACH-000426,-0.09756581458862554
ACH-000427,-0.09386904456147492
ACH-000433,-0.34920598520472096
ACH-000435,-0.6843256626859671
ACH-000436,-0.1962826039329712
ACH-000444,-0.2150056269085587
ACH-000445,-0.05389619622070375
ACH-000448,-0.1642845935198233
ACH-000450,-0.1609346244817261
ACH-000452,-0.2498529378116188
ACH-000454,-0.2527875473452082
ACH-000458,-0.2337939365196198
ACH-000459,-0.2337123841429684
ACH-000460,-0.026259102423491304
ACH-000461,-0.2450839146774581
ACH-000463,-0.1793900521799272
ACH-000464,0.07504845053193941
ACH-000466,-0.131040575651271
ACH-000467,-0.15741294165652658
ACH-000468,-0.1953709668056557
ACH-000469,-0.15548644629106773
ACH-000470,-0.1367000582973411
ACH-000471,-0.2395107299528279
ACH-000472,-0.10126345515941036
ACH-000473,-0.1289017851965578
ACH-000475,-0.12060379541369246
ACH-000476,-0.08218269812749424
ACH-000477,-0.1932550812990584
ACH-000479,-0.17726797525604895
ACH-000480,-0.16398411508377833
ACH-000481,-0.16017379626937742
