,TUBG2 (27175)
ACH-000004,-0.2783414312261193
ACH-000005,-0.06867052134462379
ACH-000007,-0.2045009430290306
ACH-000009,-0.2730870922415426
ACH-000011,-0.3064885525673957
ACH-000012,-0.27013200546935273
ACH-000013,-0.2069630977143552
ACH-000014,-0.20728620354424115
ACH-000015,-0.2575830312013181
ACH-000017,-0.11515024909299787
ACH-000018,-0.13119731761782533
ACH-000019,-0.11603376141346072
ACH-000021,-0.1992434307166459
ACH-000022,-0.18596557664037414
ACH-000025,-0.1766554187415673
ACH-000028,-0.1938444592865992
ACH-000030,-0.1857445936500683
ACH-000035,-0.26150915886618104
ACH-000036,-0.17104151158279707
ACH-000037,-0.2959230545133865
ACH-000039,-0.26820850374367194
ACH-000040,-0.18241061743055867
ACH-000041,-0.4361478369255967
ACH-000042,-0.20449072089528372
ACH-000045,-0.2037767045928636
ACH-000047,-0.1939450291196871
ACH-000052,0.1678240457267114
ACH-000053,-0.2243695611432644
ACH-000054,-0.1030000867397792
ACH-000055,-0.3885046819468839
ACH-000060,-0.26202252440094626
ACH-000067,-0.16850513353073074
ACH-000070,-0.30239038288693715
ACH-000075,-0.3868541509618276
ACH-000078,-0.2174197066723545
ACH-000082,-0.24851322061208744
ACH-000085,-0.1433462017922642
ACH-000086,-0.1305762875514997
ACH-000087,0.03837399075579053
ACH-000092,-0.24131103161763634
ACH-000095,-0.3132281694083926
ACH-000097,-0.2697352768823395
ACH-000098,-0.1788654991550402
ACH-000099,-0.2674747944493344
ACH-000108,-0.21736409576467355
ACH-000113,-0.14817116357132176
ACH-000116,-0.19691327950929616
ACH-000118,-0.19097126606868275
ACH-000120,-0.4248855984659367
ACH-000123,-0.12323137814972787
ACH-000127,-0.15144335842704892
ACH-000128,-0.28169021450072723
ACH-000132,-0.3447830455410678
ACH-000133,-0.12326925767269944
ACH-000137,-0.09970231588235616
ACH-000138,-0.3531880601734731
ACH-000142,-0.26065597472730895
ACH-000143,-0.14593296153252172
ACH-000146,-0.2490008030071275
ACH-000148,-0.2608988713668685
ACH-000150,-0.3052800458303941
ACH-000152,-0.2688053037983792
ACH-000153,-0.36133467072310776
ACH-000159,-0.19261515133474874
ACH-000160,-0.14702848640579594
ACH-000163,-0.18604053489874345
ACH-000167,-0.3167991518799587
