,CAST (831)
ACH-000004,-0.3796757073332912
ACH-000005,-0.09959538834572426
ACH-000007,0.01034531584800755
ACH-000009,-0.18751132456657424
ACH-000011,-0.08216549491911583
ACH-000012,-0.1607922083384676
ACH-000013,-0.2374797373093143
ACH-000014,-0.257038535151116
ACH-000015,-0.3955922649019312
ACH-000017,-0.16116438457906698
ACH-000018,-0.1441427995211656
ACH-000019,-0.14182759539973128
ACH-000021,-0.2435787695136372
ACH-000022,-0.25596305048448953
ACH-000025,-0.17834316536030947
ACH-000028,-0.20465382269038312
ACH-000030,-0.22599602455808065
ACH-000035,-0.2155177371359205
ACH-000036,-0.3484444377018448
ACH-000037,-0.3069054839086629
ACH-000039,-0.4569468090882074
ACH-000040,-0.28612719070299714
ACH-000041,-0.1325818595018602
ACH-000042,-0.19724899712368246
ACH-000045,-0.15943651658962996
ACH-000047,-0.2505646568448377
ACH-000052,-0.2899723014720019
ACH-000053,-0.33426959270153056
ACH-000054,-0.2557726413680966
ACH-000055,-0.2657976667643322
ACH-000060,-0.18417492627331064
ACH-000067,-0.345401747631045
ACH-000070,-0.28328532852086385
ACH-000075,-0.4727012070974331
ACH-000078,-0.3471674249263643
ACH-000082,-0.2658361075632562
ACH-000085,-0.2011123749469512
ACH-000086,-0.3392438930033765
ACH-000087,-0.11413753025415285
ACH-000092,-0.2763225582084425
ACH-000095,-0.17909779416549196
ACH-000097,-0.28745176959099805
ACH-000098,-0.27028633228667004
ACH-000099,-0.2955766741988209
ACH-000108,-0.1725557311263103
ACH-000113,-0.2642710149309013
ACH-000116,-0.3524674394519033
ACH-000118,-0.1620053520461745
ACH-000120,-0.2077827897679405
ACH-000123,-0.16128230394393006
ACH-000127,-0.2598163389320252
ACH-000128,-0.1942555008304176
ACH-000132,-0.2194737911617735
ACH-000133,-0.2041874547622569
ACH-000137,-0.375621117933049
ACH-000138,-0.17944902344850416
ACH-000142,-0.13656525857949772
ACH-000143,-0.15524032671058474
ACH-000146,-0.22917480624223066
ACH-000148,-0.2625239551550761
ACH-000150,-0.030621382288122438
ACH-000152,-0.29326925030006323
ACH-000153,-0.3591213712229698
ACH-000159,-0.2846960955978868
ACH-000160,-0.17671446257469595
ACH-000163,-0.20044480962363628
ACH-000167,-0.7257629945828249
ACH-000168,-0.19955261257863446
ACH-000169,-0.3114697651987601
ACH-000178,-0.26729067838866816
ACH-000183,-0.20220821782122625
ACH-000188,-0.28509816692097834
ACH-000189,-0.221806302851422
ACH-000190,-0.3502095143242461
ACH-000198,-0.2572546671681611
ACH-000203,-0.15243817422919764
ACH-000204,-0.21755082275626408
ACH-000206,-0.17152940741435738
ACH-000207,-0.04788763241966868
ACH-000208,-0.056900555310529725
ACH-000210,-0.12088452195957232
ACH-000211,-0.2280388909180887
ACH-000215,-0.3087593644998024
ACH-000221,-0.1567501410810635
ACH-000222,-0.12258094170382612
ACH-000223,-0.10754407946398406
ACH-000226,-0.2982843257650612
ACH-000227,-0.1566724955835575
ACH-000228,-0.20197417530697934
ACH-000231,-0.2653525995766789
ACH-000232,-0.2478351657040682
ACH-000233,-0.207069542574172
ACH-000234,-0.1272116808994813
ACH-000235,-0.25218407453041264
ACH-000237,-0.2805357706793461
ACH-000238,-0.20149525671415414
ACH-000242,-0.18643423411973384
ACH-000243,-0.1979994478652276
ACH-000244,-0.4109858968142224
