,SUPV3L1 (6832)
ACH-000004,-0.9109039855188528
ACH-000005,-0.9010836255024186
ACH-000007,-0.902716402290778
ACH-000009,-0.6610012395672975
ACH-000011,-0.6297687691207933
ACH-000012,-0.9738894824154868
ACH-000013,-0.7825061439903503
ACH-000014,-0.8861829535190331
ACH-000015,-0.8426495753018372
ACH-000017,-0.8342387047000942
ACH-000018,-0.9695090530141149
ACH-000019,-0.8548145867771202
ACH-000021,-0.9219734258944148
ACH-000022,-0.8445398266365503
ACH-000025,-0.9878732176828584
ACH-000028,-0.9286454783092478
ACH-000030,-0.91595278938101
ACH-000035,-1.1563413017196915
ACH-000036,-0.4924819550963164
ACH-000037,-0.7591858667955237
ACH-000039,-0.9694139253248976
ACH-000040,-0.7047427338993691
ACH-000041,-0.7781190839811418
ACH-000042,-0.970808446468426
ACH-000045,-0.8124438508669046
ACH-000047,-1.0334984321957172
ACH-000052,-0.8449114377934471
ACH-000053,-0.9910385890223208
ACH-000054,-1.0621698258898424
ACH-000055,-0.552845990578447
ACH-000060,-0.7917603668773291
ACH-000067,-0.9809890284917884
ACH-000070,-0.8617677686628716
ACH-000075,-0.7188692443161532
ACH-000078,-0.7333452496044633
ACH-000082,-0.5456985417046188
ACH-000085,-0.9921589355752138
ACH-000086,-1.0637736166427465
ACH-000087,-0.9657675718233988
ACH-000092,-0.5634985248520865
ACH-000095,-0.5902371965245383
ACH-000097,-0.7847046003241149
ACH-000098,-0.88716131377013
ACH-000099,-0.7837481515889009
ACH-000108,-0.6428612986997829
ACH-000113,-0.9106521752289792
ACH-000116,-1.2061885309248797
ACH-000118,-1.1414866638788912
ACH-000120,-0.8030584393235668
ACH-000123,-0.8074736690173433
ACH-000127,-0.9693447663582204
ACH-000128,-1.0157995000308528
ACH-000132,-0.7541781651082765
ACH-000133,-0.8778170494779841
ACH-000137,-0.8656347343691656
ACH-000138,-0.9472684177909768
ACH-000142,-0.7903504455062074
ACH-000143,-0.8588208260621609
ACH-000146,-0.8272901887603159
ACH-000148,-0.9087688557592632
ACH-000150,-0.8071744411401989
ACH-000152,-0.8808036869036623
ACH-000153,-0.666710473054963
ACH-000159,-0.7153138650965093
ACH-000160,-1.238134398840737
ACH-000163,-0.8531951333190534
ACH-000167,-0.6069299184641976
ACH-000168,-0.6273997832342552
ACH-000169,-0.7801488089038568
ACH-000178,-0.8558763464195088
ACH-000183,-0.920535267489793
ACH-000188,-0.938555041017215
ACH-000189,-1.1375295752615942
ACH-000190,-1.2210025418728851
ACH-000198,-0.8897904133020584
ACH-000203,-0.7186283578786873
ACH-000204,-1.0193855816676871
ACH-000206,-0.7049142728145346
ACH-000207,-1.213847012502015
ACH-000208,-1.167562363094201
ACH-000210,-1.1218782988876177
ACH-000211,-1.0362234357083613
ACH-000215,-1.0799885809731524
ACH-000221,-0.9668372509806896
ACH-000222,-0.7326027474695102
ACH-000223,-1.1278040549010022
ACH-000226,-0.8882729672722202
ACH-000227,-0.7868100730023782
ACH-000228,-1.0047116310492534
ACH-000231,-0.8839672007735214
ACH-000232,-1.1048645689281644
ACH-000233,-0.8134207458318835
ACH-000234,-0.6573094580793727
ACH-000235,-0.6979748162963066
ACH-000237,-0.4808363099521301
ACH-000238,-1.0299620143167438
ACH-000242,-0.6701671189995728
ACH-000243,-0.7984093938071878
ACH-000244,-0.7657559631287002
ACH-000246,-0.9491637565042204
ACH-000248,-1.1163945931301862
ACH-000250,-0.5526723580110172
ACH-000251,-1.0031325635046378
ACH-000252,-1.142578326655301
ACH-000253,-0.9650805026273288
ACH-000255,-0.9548825768476612
ACH-000256,-0.8729355889780023
ACH-000257,-1.1576463339170868
ACH-000258,-1.0730567866823268
ACH-000259,-0.9906650654247882
ACH-000260,-0.6740116698887256
ACH-000261,-0.7393173465674203
ACH-000262,-0.9378916653422814
ACH-000263,-0.9994009446926976
ACH-000264,-0.7121507410054599
ACH-000265,-1.0200764692832167
ACH-000266,-1.129071150019065
ACH-000272,-0.5198512062947035
ACH-000274,-0.6991444453684454
ACH-000277,-0.8564332121257315
ACH-000278,-0.5370218858891822
ACH-000279,-0.9279462890982642
ACH-000280,-0.8911109553914499
ACH-000281,-1.0492737978072402
ACH-000288,-1.0723243853794189
ACH-000291,-0.9442292773015948
ACH-000293,-0.9417699281173432
ACH-000294,-0.3811270844775296
ACH-000295,-0.9894187990396704
ACH-000296,-0.985277740873556
ACH-000302,-0.9730157257497128
ACH-000304,-1.1796922225000557
ACH-000307,-0.7825289700875606
ACH-000308,-0.8372129035507796
ACH-000310,-0.6431624524820322
ACH-000311,-0.8030714444415862
ACH-000312,-0.9369356877745216
ACH-000315,-0.912578293749138
ACH-000316,-0.8262331030723096
ACH-000317,-1.2282231073367835
ACH-000318,-0.7702588888239971
ACH-000319,-0.7264784782991227
ACH-000320,-0.8265730443591188
ACH-000322,-0.8260467767937455
ACH-000323,-0.94360868921225
ACH-000324,-0.7303858193166036
ACH-000329,-1.0090627892113997
ACH-000330,-0.9750560836373934
ACH-000331,-1.0028207187938267
ACH-000332,-0.4658248761016779
ACH-000334,-0.7674474781146187
ACH-000335,-0.8074444858879671
ACH-000336,-0.939524100845046
ACH-000337,-1.0061777395106315
ACH-000338,-0.7419824968457696
ACH-000339,-1.0024411356098941
ACH-000341,-0.7170275587719079
ACH-000348,-0.8467013122034093
ACH-000350,-0.7417710426241327
ACH-000352,-0.9648400232885532
ACH-000356,-0.7942563452169275
ACH-000361,-0.9140046499412796
ACH-000362,-0.6204438297587884
ACH-000363,-0.6499035847825205
ACH-000364,-0.9266790178216464
ACH-000365,-0.9371242375505427
ACH-000366,-0.6648786824079607
ACH-000368,-0.9518211956202978
ACH-000374,-1.233268241006647
ACH-000375,-0.8813440616125894
ACH-000376,-1.2440796983590228
ACH-000381,-0.7843268007367461
ACH-000383,-0.8479600525569556
ACH-000387,-0.8642998833507719
ACH-000389,-0.9380368590396267
ACH-000390,-0.9278821613597388
ACH-000393,-0.5630114882754095
ACH-000395,-0.9230000104524618
ACH-000396,-1.3767556660924831
ACH-000397,-0.5584090752592331
ACH-000401,-0.941975331937554
ACH-000402,-0.9176898679460967
ACH-000403,-0.8047806250025688
ACH-000404,-1.3100097349944078
ACH-000406,-1.0173438308252387
ACH-000407,-0.9338915070992746
ACH-000408,-1.2642376291567945
ACH-000410,-1.0199432746963537
ACH-000411,-0.5074088232841101
ACH-000414,-0.8035250028997688
ACH-000415,-0.9905689279697232
ACH-000416,-0.8552222184497632
ACH-000420,-0.774690981825525
ACH-000421,-0.9931288577430792
ACH-000424,-0.8785130356923624
ACH-000425,-0.9993245720553036
ACH-000426,-0.7476479292588581
ACH-000427,-0.8897513898921511
ACH-000433,-0.8279627937469306
ACH-000435,-0.8915323545503042
ACH-000436,-1.0372354258016507
ACH-000444,-0.8291396796937134
ACH-000445,-0.7779866782008463
ACH-000448,-0.7498636682789355
ACH-000450,-1.0307291470871365
ACH-000452,-0.7795726621675402
ACH-000454,-1.1849215574667495
ACH-000458,-1.0440513798569164
ACH-000459,-1.110524624147499
ACH-000460,-0.9174368725556782
ACH-000461,-1.1636858400213268
ACH-000463,-0.6221322148289763
ACH-000464,-0.911820397840242
ACH-000466,-1.137850561827886
ACH-000467,-1.0350887214312745
ACH-000468,-0.7740115829336963
ACH-000469,-1.060101804403371
ACH-000470,-0.8308199192152889
ACH-000471,-0.5795093103134279
ACH-000472,-0.8216067410017314
ACH-000473,-0.8888974030575745
ACH-000475,-0.7509126191446813
ACH-000476,-1.2405103145646428
ACH-000477,-0.7206275641517292
ACH-000479,-1.1068904757856362
ACH-000480,-0.9967880049614682
ACH-000481,-0.7755302478990386
ACH-000483,-0.8932518776646454
ACH-000484,-0.6525802462676835
ACH-000485,-0.7239120075894344
ACH-000486,-0.7506948683638202
ACH-000487,-0.9415334108288368
ACH-000488,-0.9446990003684648
ACH-000490,-0.9831962676595591
ACH-000491,-1.0130291633175286
ACH-000495,-0.6105691084767895
ACH-000496,-0.7579528460515541
ACH-000499,-0.9947237608969304
ACH-000500,-1.3173539890812538
ACH-000502,-0.8704547488773491
ACH-000503,-1.0697722429746859
ACH-000505,-0.6878096148753027
ACH-000507,-1.0132171085472117
ACH-000510,-1.0902036939971682
ACH-000511,-0.9718637565923184
ACH-000512,-1.094610417660001
ACH-000516,-0.7202048200841162
ACH-000517,-0.8150820268919575
ACH-000518,-0.8963280130242566
ACH-000520,-0.4952478094359999
ACH-000521,-1.0060685429560103
ACH-000522,-0.7735142450055331
ACH-000524,-1.0595815389699694
ACH-000527,-0.8307243436018314
ACH-000528,-1.0148829819321934
ACH-000537,-1.1606921101760987
ACH-000541,-0.5417869210076841
ACH-000542,-0.7735729364289322
ACH-000544,-0.9090223564243092
ACH-000545,-1.106671577954107
ACH-000547,-0.9782637194340073
ACH-000548,-0.8630351934171502
ACH-000549,-1.2093909927180675
ACH-000550,-0.7550058582654269
ACH-000552,-1.0575468435701796
ACH-000556,-0.8732578390517043
ACH-000557,-0.5316701686496051
ACH-000569,-0.8482669259323581
ACH-000570,-1.027452167250112
ACH-000571,-1.0919452452871221
ACH-000573,-0.7238923333772147
ACH-000576,-0.7238477545641946
ACH-000579,-1.48103588069368
ACH-000580,-1.0001722123053078
ACH-000584,-0.8682138910043041
ACH-000585,-0.8330307252436457
ACH-000588,-1.0595997564015416
ACH-000589,-1.1280206344223538
ACH-000591,-1.0162160490448535
ACH-000593,-1.0273012899906182
ACH-000600,-0.8789335114879351
ACH-000601,-0.9477860450877568
ACH-000605,-1.1397482995582051
ACH-000606,-1.0469788965918765
ACH-000608,-0.5444117189399982
ACH-000614,-1.4071667543179678
ACH-000616,-0.7180303596234562
ACH-000618,-1.0303593824396329
ACH-000619,-1.0599796926768528
ACH-000620,-0.9999057230138514
ACH-000621,-0.7097041829542544
ACH-000622,-0.6789978155812559
ACH-000623,-0.7845134435143458
ACH-000624,-0.655400227966999
ACH-000627,-0.8474147963660056
ACH-000630,-1.0637259754631136
