,OLFML2A (169611)
ACH-000004,-0.4989862829736249
ACH-000005,-0.4343336169135252
ACH-000007,-0.3251984066263347
ACH-000009,-0.2439443444262689
ACH-000011,-0.10730226178630972
ACH-000012,-0.05807680008409712
ACH-000013,-0.1934620650602982
ACH-000014,-0.17371332615557608
ACH-000015,-0.1010923639473484
ACH-000017,-0.0810524298984419
ACH-000018,0.03664919920582331
ACH-000019,-0.21426563965417653
ACH-000021,-0.2801977940610603
ACH-000022,-0.16636020995430068
ACH-000025,-0.1507515422252684
ACH-000028,-0.1275581530458257
ACH-000030,-0.14984438755699614
ACH-000035,-0.059307917613236776
ACH-000036,-0.1640826840208983
ACH-000037,-0.15321653175252767
ACH-000039,-0.15382797940264184
ACH-000040,-0.32117124451259565
ACH-000041,-0.15765594498534938
ACH-000042,-0.14764114233120815
ACH-000045,-0.4358046975992269
ACH-000047,-0.09965014123463828
ACH-000052,0.0029563892413303765
ACH-000053,-0.07894119803891654
ACH-000054,-0.2447793384403027
ACH-000055,-0.14565384350392088
ACH-000060,-0.1985141584474564
ACH-000067,-0.20490476502087354
ACH-000070,0.05318333609655087
ACH-000075,-0.3827041641288082
ACH-000078,-0.17093787580210634
ACH-000082,-0.11604913210622557
ACH-000085,-0.2097559588430526
ACH-000086,-0.1305620082895398
ACH-000087,-0.5031828937862576
ACH-000092,-0.1628742399312313
ACH-000095,-0.2957463993259912
ACH-000097,-0.20466575027258024
ACH-000098,-0.01361001279382381
ACH-000099,-0.15031418448736528
ACH-000108,-0.1781834442176492
ACH-000113,-0.07335806328785589
ACH-000116,-0.2257771535735557
ACH-000118,-0.2660528065581788
ACH-000120,0.030578679189508618
ACH-000123,-0.12422694649583388
ACH-000127,-0.2586998658238594
ACH-000128,-0.3100936042224827
ACH-000132,-0.1938050121764543
ACH-000133,-0.3101484862648785
ACH-000137,-0.1896359103001168
ACH-000138,-0.1724461184252969
ACH-000142,-0.01796022080185232
ACH-000143,-0.3584871426591267
ACH-000146,-0.158314610092971
ACH-000148,-0.1837730083009372
ACH-000150,-0.19787524555336125
ACH-000152,-0.17224037415339236
ACH-000153,-0.1885273829187349
ACH-000159,-0.15998622498186182
ACH-000160,-0.19789742987095316
ACH-000163,-0.32836477696414695
ACH-000167,-0.1953093178654134
ACH-000168,-0.22945531196385524
ACH-000169,-0.1741329791334919
ACH-000178,-0.25440648824444106
ACH-000183,-0.14077038489397276
ACH-000188,-0.14532332955673044
ACH-000189,-0.09335951325334528
ACH-000190,-0.03351095394478363
ACH-000198,-0.1128577428445789
ACH-000203,-0.2840967537565173
ACH-000204,-0.2876920054584534
ACH-000206,0.01202632090317158
ACH-000207,-0.02749864728977398
ACH-000208,-0.4135143697956984
ACH-000210,-0.2834127545280836
ACH-000211,-0.2765374581402689
ACH-000215,-0.18829056705655
ACH-000221,0.008041416585580725
ACH-000222,-0.3394062653527702
ACH-000223,-0.11950105264709443
ACH-000226,-0.2545449910958463
ACH-000227,-0.1531840337157601
ACH-000228,-0.14167621113431278
ACH-000231,-0.07735546659905425
ACH-000232,-0.25171992088206385
ACH-000233,0.014765007140926078
ACH-000234,-0.19433116607420894
ACH-000235,-0.20350246345169004
ACH-000237,-0.09387090908597837
ACH-000238,-0.29637496400684665
ACH-000242,-0.477740371866499
ACH-000243,-0.12577258929192925
ACH-000244,-0.1092373529491777
ACH-000246,-0.2459836364270921
ACH-000248,-0.08261360669129639
ACH-000250,-0.13111476506473205
ACH-000251,0.007439230803665526
ACH-000252,-0.08778206653832224
ACH-000253,-0.17885494704436095
ACH-000255,-0.3042305847398537
ACH-000256,-0.1448485883340696
ACH-000257,-0.337623329674709
