,CNP (1267)
ACH-000004,-0.3885815080324497
ACH-000005,-0.411314766852699
ACH-000007,-0.049882519756132435
ACH-000009,-0.3223103238156225
ACH-000011,-0.14224412233270453
ACH-000012,-0.4278414646121577
ACH-000013,-0.3486526203939487
ACH-000014,-0.37424539685029057
ACH-000015,-0.3028199761864636
ACH-000017,-0.3875487613722872
ACH-000018,-0.20328828267165336
ACH-000019,-0.10148292208954147
ACH-000021,-0.25989083952686703
ACH-000022,-0.3314859521490922
ACH-000025,-0.1104981571459964
ACH-000028,-0.3286864975881626
ACH-000030,-0.3055449607164611
ACH-000035,-0.3365319670101969
ACH-000036,-0.22182740772758489
ACH-000037,-0.2887330401362725
ACH-000039,-0.13222330936301718
ACH-000040,-0.3614485588205992
ACH-000041,-0.265105063330154
ACH-000042,-0.15413340149331198
ACH-000045,-0.09035976811479997
ACH-000047,-0.369293629981746
ACH-000052,-0.17122681166320267
ACH-000053,-0.2389349711241475
ACH-000054,-0.13542147705656804
ACH-000055,-0.30991240096606315
ACH-000060,-0.32199549890521284
ACH-000067,-0.21312256847507
ACH-000070,-0.3569675586806263
ACH-000075,-0.23276236392842375
ACH-000078,-0.3149780446631143
ACH-000082,-0.20915709751595932
ACH-000085,-0.3050797045481487
ACH-000086,-0.33587884772913945
ACH-000087,-0.4455739952895258
ACH-000092,-0.2847022115295376
ACH-000095,-0.36649641814081535
ACH-000097,-0.30329222569042186
ACH-000098,-0.38638254129680977
ACH-000099,-0.22687694835105396
ACH-000108,-0.2687540632148818
ACH-000113,-0.19599740621731626
ACH-000116,-0.20634405141664286
ACH-000118,-0.24687993745426864
ACH-000120,-0.3688471999385141
ACH-000123,-0.15676347852877615
ACH-000127,-0.3223378555929876
ACH-000128,-0.322232141814331
ACH-000132,-0.2282623946191504
ACH-000133,-0.20762460909008995
ACH-000137,-0.16356384419269912
ACH-000138,-0.3601533503949943
ACH-000142,-0.3729502869997208
ACH-000143,-0.19862181092107176
ACH-000146,-0.2307372694922325
ACH-000148,-0.3347815708652665
