,ANKFN1 (162282)
ACH-000004,0.0330663014235478
ACH-000005,-0.22516478943662432
ACH-000007,0.033615657194526166
ACH-000009,-0.0978337413333964
ACH-000011,0.033406511551535005
ACH-000012,-0.02060859431910301
ACH-000013,0.05412207047791544
ACH-000014,0.05832790667330701
ACH-000015,0.004451874171128249
ACH-000017,0.0250087045194716
ACH-000018,0.10157546935453468
ACH-000019,-0.34600862103350555
ACH-000021,0.033018514225429174
ACH-000022,-0.011072428636946408
ACH-000025,0.007984553848831595
ACH-000028,-0.11527544234318016
ACH-000030,-0.04193558474235154
ACH-000035,-0.07184681757580473
ACH-000036,0.0013701382323311046
ACH-000037,-0.002349256526714472
ACH-000039,0.05556308560407902
ACH-000040,-0.08162126004009851
ACH-000041,0.00024798496239814515
ACH-000042,-0.015657603707803492
ACH-000045,-0.03092194659873118
ACH-000047,-0.04378261884665435
ACH-000052,0.0431365718571825
ACH-000053,-0.013015565184941508
ACH-000054,-0.09160757185694944
ACH-000055,-0.08570059792440878
ACH-000060,-0.2602876847959019
ACH-000067,-0.17567929073963667
ACH-000070,-0.1448505439714226
ACH-000075,0.11582783619701123
ACH-000078,-0.20601647163744408
ACH-000082,-0.03104559076007523
ACH-000085,0.2236230164185827
ACH-000086,0.04561095204217337
ACH-000087,0.004415873992823645
ACH-000092,0.014841914239129443
ACH-000095,0.04116632257082933
ACH-000097,-0.06852296434657723
ACH-000098,-0.03278499065572736
ACH-000099,0.0248550715027283
ACH-000108,-0.03998110609539776
ACH-000113,0.1894035242278176
ACH-000116,-0.028903368958025626
ACH-000118,0.061561384553520525
ACH-000120,-0.15209200954267846
ACH-000123,-0.02510500490342581
ACH-000127,-0.00269367215205993
ACH-000128,0.08305104870651503
ACH-000132,0.040825568737573946
ACH-000133,0.03293336092336559
ACH-000137,0.0991648795285829
ACH-000138,-0.13344695758909286
ACH-000142,-0.002043838890201509
ACH-000143,-0.02779420420543986
ACH-000146,0.02902424963954395
ACH-000148,-0.08375161718576278
ACH-000150,-0.1935392297419228
ACH-000152,-0.0821877275004915
ACH-000153,-0.1068440717514431
ACH-000159,-0.0363149814741075
ACH-000160,-0.008652484924676266
ACH-000163,-0.11350015124359206
ACH-000167,0.20173263876077888
ACH-000168,-0.1021278019598929
ACH-000169,-0.11171981335069683
ACH-000178,0.028527179477234488
