,CLPB (81570)
ACH-000004,-0.13005356892736908
ACH-000005,-0.2685696214540647
ACH-000007,-0.08103611453749826
ACH-000009,-0.15291333565911353
ACH-000011,-0.12204350585218356
ACH-000012,-0.15503882883469894
ACH-000013,-0.08197392105483653
ACH-000014,-0.014624978192015463
ACH-000015,-0.2308677989553816
ACH-000017,-0.4740268521534771
ACH-000018,-0.03468957302966371
ACH-000019,-0.20444281301444667
ACH-000021,-0.2027103369237224
ACH-000022,-0.4025558728542057
ACH-000025,0.05000388235932395
ACH-000028,-0.3622464512983739
ACH-000030,-0.3369785202668905
ACH-000035,-0.02178454307418267
ACH-000036,-0.019080003980443117
ACH-000037,-0.1865101847290125
ACH-000039,-0.2263844896617208
ACH-000040,-0.32149250744263125
ACH-000041,-0.039176145525833775
ACH-000042,-0.210761741667765
ACH-000045,-0.5145071785779249
ACH-000047,-0.020328327772278915
ACH-000052,-0.3453826972496976
ACH-000053,-0.5193577853052023
ACH-000054,-0.035026924576489545
ACH-000055,-0.09273224673906848
ACH-000060,-0.2452523324759212
ACH-000067,0.11654829612686785
ACH-000070,-0.04780967788872738
ACH-000075,0.04579798982369091
ACH-000078,-0.122717754265687
ACH-000082,-0.1349916445093327
ACH-000085,-0.034682425660743664
ACH-000086,-0.1544046749794372
ACH-000087,-0.2079957576654821
ACH-000092,-0.09104445404631917
ACH-000095,-0.06788743481391525
ACH-000097,-0.2622871380263161
ACH-000098,-0.14465851491365092
ACH-000099,-0.08205384679219219
ACH-000108,-0.1201155505693586
ACH-000113,-0.5644236694137355
ACH-000116,-0.4482462368986748
ACH-000118,-0.3873340150219005
ACH-000120,-0.12614131238555315
ACH-000123,-0.5946586195602173
ACH-000127,-0.020033844142042755
ACH-000128,-0.5309775517817095
ACH-000132,-0.21880873584686036
ACH-000133,-0.1577241521959618
ACH-000137,-0.33371263467980544
ACH-000138,-0.2699270213248865
ACH-000142,-0.2739111275461073
ACH-000143,-0.07004310885024438
ACH-000146,-0.4768897424983218
ACH-000148,-0.2747357137051793
ACH-000150,-0.13356119340932074
ACH-000152,-0.20390650987027567
ACH-000153,-0.2945436753113755
ACH-000159,-0.11624949602713618
ACH-000160,-0.3256597790021191
ACH-000163,-0.06619667115070435
ACH-000167,-0.011880613848154087
ACH-000168,-0.16916943830735626
ACH-000169,-0.4045311804673875
ACH-000178,-0.2946976044211526
ACH-000183,-0.004798385576954336
ACH-000188,-0.3206438895126127
ACH-000189,-0.33554235770338137
ACH-000190,-0.1876640300526096
ACH-000198,-0.2742334677625628
ACH-000203,-0.6900342155965389
ACH-000204,-0.12422519606442092
ACH-000206,-0.261159178103102
ACH-000207,-0.4256693225877515
ACH-000208,-0.4842809649514268
ACH-000210,-0.6644789400974405
ACH-000211,-0.1648406272903995
ACH-000215,-0.11720410946060655
ACH-000221,-0.37598612626515576
ACH-000222,-0.29435497149399714
ACH-000223,-0.21204902105568754
ACH-000226,-0.6984025254475247
ACH-000227,-0.047385656516591435
ACH-000228,-0.5310766562185079
ACH-000231,-0.31254490951403024
ACH-000232,-0.4222716426041659
ACH-000233,-0.36464274773668415
ACH-000234,-0.08926321778288053
ACH-000235,-0.14448966810855166
ACH-000237,-0.11702795595811134
ACH-000238,-0.30091146257529505
ACH-000242,-0.10197667712978514
ACH-000243,-0.19078976955986066
ACH-000244,0.0033883656737841612
ACH-000246,-0.10833667110074502
ACH-000248,-0.546050259937248
ACH-000250,-0.18403271975856436
ACH-000251,-0.0045489521083680925
ACH-000252,-0.1918426169973461
ACH-000253,-0.26528144410431176
ACH-000255,-0.5094282950753184
ACH-000256,-0.29966163413862845
ACH-000257,-0.5575841766479221
ACH-000258,-0.07049630539403108
ACH-000259,-0.4292788654891765
ACH-000260,-0.0560981086852994
ACH-000261,-0.1636528447954915
ACH-000262,-0.3509298120115818
ACH-000263,-0.25341674818037235
ACH-000264,-0.19202399546159987
ACH-000265,-0.021832080740335127
ACH-000266,-0.2481467820543923
ACH-000272,-0.08766987667764169
ACH-000274,-0.2942348455218072
ACH-000277,-0.5370371549527646
ACH-000278,-0.15279066921009551
ACH-000279,-0.2491311657355818
ACH-000280,-0.032581390606612845
ACH-000281,-0.3848601126395311
ACH-000288,-0.11302508757033848
ACH-000291,-0.4752945591408018
ACH-000293,-0.24244601580938685
ACH-000294,-0.1097951448143485
ACH-000295,-0.3640927265822084
ACH-000296,-0.2598580018886817
ACH-000302,-0.12700313952758027
ACH-000304,0.061051960409789226
ACH-000307,-0.11753879627254805
ACH-000308,-0.4438625094375091
ACH-000310,-0.10661990952956836
ACH-000311,-0.14877465317143335
