,UGP2 (7360)
ACH-000004,-0.24861391973429695
ACH-000005,-0.27248613676213285
ACH-000007,-0.27628331048222204
ACH-000009,-0.22327792511010894
ACH-000011,-0.3042866829437974
ACH-000012,-0.18369955135822102
ACH-000013,-0.16460602671308736
ACH-000014,-0.24760594474487985
ACH-000015,-0.3926575143900189
ACH-000017,-0.16322240903184426
ACH-000018,-0.3772998620116936
ACH-000019,-0.27543798459103946
ACH-000021,-0.26821249190169705
ACH-000022,-0.15321466392698402
ACH-000025,-0.2083058980093627
ACH-000028,-0.3622059779451208
ACH-000030,-0.5242159908278942
ACH-000035,-0.3216947021505698
ACH-000036,-0.1647059625193893
ACH-000037,-0.2997305279754421
ACH-000039,-0.2866563959924574
ACH-000040,-0.3448621305936035
ACH-000041,-0.1628651994458963
ACH-000042,-0.3930611239457613
ACH-000045,-0.1958253275861995
ACH-000047,-0.6256924278967708
ACH-000052,-0.3279747718053896
ACH-000053,-0.1895465993249458
ACH-000054,-0.3154130694821397
ACH-000055,-0.504876158824025
ACH-000060,-0.16308617226209435
ACH-000067,-0.28023905526043763
ACH-000070,-0.4344301723623107
ACH-000075,-0.08919655942476458
ACH-000078,-0.232827276523325
ACH-000082,-0.2000071725393922
ACH-000085,-0.1720040421414394
ACH-000086,-0.13655935300748864
ACH-000087,-0.20116464333348186
ACH-000092,-0.4218314878320778
ACH-000095,-0.1625574134941022
ACH-000097,-0.3235437410090901
ACH-000098,-0.25165615147747783
ACH-000099,-0.2230071555938312
ACH-000108,-0.3327556042596013
ACH-000113,-0.28943738967595195
ACH-000116,-0.24357562627887144
ACH-000118,-0.6239031236400656
ACH-000120,-0.15130064443536778
ACH-000123,-0.11625814709865848
ACH-000127,-0.25709110592481593
ACH-000128,-0.379712278728648
ACH-000132,-0.5119064035809407
ACH-000133,-0.2441505668825667
ACH-000137,-0.2612452712749534
ACH-000138,-0.3367794785448657
ACH-000142,-0.6410919460205883
ACH-000143,-0.11906914456217373
ACH-000146,-0.15980528162788385
ACH-000148,-0.30428685527157384
ACH-000150,-0.03626757157799723
ACH-000152,-0.2921871397286591
ACH-000153,-0.3733116411513123
ACH-000159,-0.3603093025221662
ACH-000160,-0.1908287910949535
ACH-000163,-0.3043901398298979
ACH-000167,-0.3718650565672801
ACH-000168,-0.2091100910121643
ACH-000169,-0.21700707022864293
ACH-000178,-0.2903403951222677
ACH-000183,-0.6583420617853396
ACH-000188,-0.4028003192748529
ACH-000189,-0.4448501615957241
ACH-000190,-0.11798857153104375
ACH-000198,-0.22122088271682944
ACH-000203,-0.4295937843415976
ACH-000204,-0.2929232053765112
ACH-000206,-0.6703430154096894
ACH-000207,-0.3709499363039529
ACH-000208,-0.24137926522466666
ACH-000210,-0.3016221070122957
ACH-000211,-0.1887745527193906
ACH-000215,-0.14601566366518734
ACH-000221,-0.12429978326827755
ACH-000222,-0.5407779222949212
ACH-000223,-0.4149009414655373
ACH-000226,-0.1815847381216074
ACH-000227,-0.2115990748877488
ACH-000228,-0.2655347226793347
ACH-000231,-0.2373786160970699
ACH-000232,0.03226174000181544
ACH-000233,-0.3949574003241161
ACH-000234,-0.3225636537227055
ACH-000235,-0.3473214502113674
ACH-000237,-0.24053620101513665
ACH-000238,-0.2428121972162037
ACH-000242,-0.14157247106694704
ACH-000243,-0.3846452686644374
ACH-000244,-0.0119785038261065
ACH-000246,-0.3385171380669277
ACH-000248,-0.3547177317206073
ACH-000250,-0.5893196561854828
ACH-000251,-0.40891173461452
ACH-000252,-0.1301160400459527
ACH-000253,-0.3594152507625549
ACH-000255,-0.1463207051400613
ACH-000256,-0.24538104354209286
ACH-000257,-0.3850011510169804
ACH-000258,-0.2921256023003328
