,ZAR1L (646799)
ACH-000004,-0.08085172087171166
ACH-000005,0.2006215856888076
ACH-000007,-0.007842921704854646
ACH-000009,0.0656791402586675
ACH-000011,-0.05619274824145897
ACH-000012,0.03296620848732743
ACH-000013,-0.17728518284224848
ACH-000014,-0.12362123192049893
ACH-000015,-0.09997939134534202
ACH-000017,-0.11889897756305183
ACH-000018,0.17619703799882158
ACH-000019,0.03375115482883948
ACH-000021,-0.11625411565496645
ACH-000022,-0.06691861646606335
ACH-000025,-0.08419273721891103
ACH-000028,-0.059343215021971624
ACH-000030,-0.08982663541156234
ACH-000035,-0.08725740900240657
ACH-000036,-0.06990954633218875
ACH-000037,-0.08238447855774286
ACH-000039,-0.2543443806784368
ACH-000040,0.008216738294014474
ACH-000041,0.07502920679616885
ACH-000042,-0.10106298410644267
ACH-000045,0.08950383197827966
ACH-000047,-0.0713683339649183
ACH-000052,-0.19230399925115446
ACH-000053,-0.06712811848024616
ACH-000054,-0.033650720877938016
ACH-000055,0.039594976467601364
ACH-000060,-0.2136058815987819
ACH-000067,-0.13109047676862284
ACH-000070,-0.08998082581408204
ACH-000075,0.07080786038229912
ACH-000078,-0.19514702009785825
ACH-000082,-0.06929781982845884
ACH-000085,-0.082909535833802
ACH-000086,-0.16496534503483254
ACH-000087,0.14542519294348705
ACH-000092,-0.08085673036888465
ACH-000095,-0.08191041838181866
ACH-000097,-0.03686692170533426
ACH-000098,-0.17057370207451855
ACH-000099,-0.14781628467626795
ACH-000108,-0.15758392109309913
ACH-000113,-0.10658565510367203
ACH-000116,0.016365688648448583
ACH-000118,-0.08456435383403968
ACH-000120,0.11400021679520518
ACH-000123,-0.22154586281105004
ACH-000127,-0.041342315189510974
ACH-000128,-0.1280835359816926
ACH-000132,-0.27021723555527905
ACH-000133,-0.06008360763715517
ACH-000137,0.01617414085848989
ACH-000138,-0.028032548230285944
ACH-000142,-0.2046137520560516
ACH-000143,0.07554644599208016
ACH-000146,-0.010284103319229687
ACH-000148,0.07777558614319716
ACH-000150,-0.17776561872108812
ACH-000152,-0.10266425993684128
ACH-000153,-0.001012145926081135
