,APOM (55937)
ACH-000004,-0.08641807483281871
ACH-000005,-0.264807932165059
ACH-000007,-0.08335033892542207
ACH-000009,-0.1067770476584639
ACH-000011,0.0614142062695763
ACH-000012,-0.08698871337517063
ACH-000013,-0.093757696385033
ACH-000014,-0.08137533919502146
ACH-000015,-0.06142360752070523
ACH-000017,0.012618225747399531
ACH-000018,-0.01477962041347338
ACH-000019,-0.2278249838851671
ACH-000021,-0.06812904431696548
ACH-000022,-0.08845167339441644
ACH-000025,-0.13309140881711126
ACH-000028,-0.003740698799727578
ACH-000030,-0.012204220798161459
ACH-000035,-0.21955740175042188
ACH-000036,-0.18503539845572897
ACH-000037,-0.0713120995176521
ACH-000039,-0.13628762188658392
ACH-000040,0.051061157488564414
ACH-000041,0.005275687900714325
ACH-000042,0.009503817358187502
ACH-000045,-0.019120507595394614
ACH-000047,0.05181983729894782
ACH-000052,-0.17405509545817058
ACH-000053,-0.1370023805233912
ACH-000054,-0.15907786520991582
ACH-000055,-0.005460899375220819
ACH-000060,-0.0023947562784981265
ACH-000067,-0.25206991657425426
ACH-000070,-0.0933369323942198
ACH-000075,0.0846161850028644
ACH-000078,-0.17871168859880807
ACH-000082,-0.10521795155134718
ACH-000085,-0.17835065715259998
ACH-000086,-0.08079690457293305
ACH-000087,0.08421885575701486
ACH-000092,-0.12483158140072467
ACH-000095,-0.026651163479902127
ACH-000097,0.007830630671200213
ACH-000098,-0.1215049474466231
ACH-000099,-0.005828633445012268
ACH-000108,-0.02943635333233632
ACH-000113,-0.05756299079493125
ACH-000116,0.028154872758820424
ACH-000118,0.10900589278443236
ACH-000120,-0.007792271792986995
ACH-000123,0.04326816111246808
ACH-000127,-0.1007519662191944
ACH-000128,-0.16064927132360093
ACH-000132,-0.07392183547203393
ACH-000133,-0.1532450606375588
ACH-000137,-0.1246733164926169
ACH-000138,-0.06246487326312435
ACH-000142,-0.12385015226704278
ACH-000143,-0.14249759148803853
ACH-000146,-0.10123135953363506
ACH-000148,-0.002708986648611722
ACH-000150,0.02903345642721835
ACH-000152,-0.14793017560657135
ACH-000153,-0.015013642353607071
ACH-000159,-0.06341267692406763
ACH-000160,-0.10549896425496888
ACH-000163,-0.12290963117781745
ACH-000167,-0.14086744100776116
ACH-000168,-0.21592209508282034
ACH-000169,-0.16917806922285647
ACH-000178,-0.007807418108412388
ACH-000183,-0.12107571785833735
ACH-000188,-0.05066475321496879
ACH-000189,0.019917762588988187
ACH-000190,-0.1149821534939216
ACH-000198,-0.012972007271666402
ACH-000203,0.07753740080229414
ACH-000204,-0.07598611036551521
ACH-000206,-0.11239852608799718
ACH-000207,-0.15584596157582353
ACH-000208,0.08443130414174117
ACH-000210,-0.17827049475084464
ACH-000211,-0.10166779411004724
ACH-000215,-0.11522618755868813
ACH-000221,0.05159081691768518
ACH-000222,-0.058257283103795625
ACH-000223,-0.12463104440534202
ACH-000226,-0.10812488728411122
ACH-000227,0.012365460568824696
ACH-000228,-0.12086884046732575
ACH-000231,-0.11131250931865187
ACH-000232,-0.012481859744434678
ACH-000233,-0.05411675695810204
ACH-000234,0.025946647782352276
ACH-000235,-0.047118841741872385
ACH-000237,-0.04134304734281713
ACH-000238,-0.08648525756568498
ACH-000242,0.20549745643934986
ACH-000243,-0.0967043647963756
ACH-000244,-0.03098623562029092
ACH-000246,-0.03726232457999823
ACH-000248,-0.13815612608533134
ACH-000250,-0.1780987869585392
ACH-000251,0.17398808083042427
ACH-000252,-0.2099362096075804
ACH-000253,-0.15510612271389154
ACH-000255,-0.13064501879350826
ACH-000256,-0.13322768943812133
ACH-000257,-0.005194178836158681
ACH-000258,0.021143362450692992
ACH-000259,-0.08579241762160715
ACH-000260,-0.09607758714370772
ACH-000261,-0.10093507353203794
ACH-000262,0.06106153782013881
ACH-000263,-0.18296149486207294
ACH-000264,-0.1443295287052091
ACH-000265,-0.08272672431977708
ACH-000266,-0.11751478700597423
ACH-000272,-0.0858783877969692
ACH-000274,-0.025689579190143225
ACH-000277,-0.10783112560130292
ACH-000278,-0.013509498413014735
ACH-000279,-0.13531619226824818
ACH-000280,-0.1148270682445186
ACH-000281,-0.23189329187230295
ACH-000288,-0.08361182720167212
ACH-000291,-0.16693622733038535
ACH-000293,-0.20187105417088294
ACH-000294,-0.06819258138685176
ACH-000295,0.027129477126743892
ACH-000296,-0.03756615895376701
ACH-000302,-0.0424264327760487
ACH-000304,0.08969328302226562
ACH-000307,-0.07634818646665799
ACH-000308,-0.04989322803174305
ACH-000310,-0.02286304445803245
ACH-000311,-0.1264179429764197
ACH-000312,-0.1555796529474994
ACH-000315,-0.18153715606285933
ACH-000316,-0.07554749817278622
ACH-000317,-0.038992136817365325
ACH-000318,-0.14810251197828198
ACH-000319,-0.05722735002214815
ACH-000320,-0.03278839701704225
ACH-000322,-0.19375958620767705
ACH-000323,-0.11571433180015485
ACH-000324,-0.10656776720623484
ACH-000329,-0.14779853333871534
ACH-000330,-0.2994678724079975
ACH-000331,-0.10655158662297272
ACH-000332,-0.10071310804430332
ACH-000334,-0.17223907939239816
ACH-000335,0.1232279813318128
ACH-000336,-0.2197639308826845
ACH-000337,-0.1913313340561809
ACH-000338,-0.3645048979351039
ACH-000339,-0.1478741986870061
ACH-000341,-0.1728046097562644
ACH-000348,-0.10916184781758474
ACH-000350,0.026321629149260808
ACH-000352,-0.08622353784804418
ACH-000356,-0.0151404251784975
ACH-000361,-0.1844088649998747
ACH-000362,-0.1711302172153543
ACH-000363,-0.17429137153433036
ACH-000364,-0.057571998882701425
ACH-000365,-0.15084671777179426
ACH-000366,-0.10570249763174644
ACH-000368,0.049255864690462316
ACH-000374,-0.3852496020126411
ACH-000375,-0.0986184848681601
ACH-000376,-0.07113235632010059
ACH-000381,-0.1458323792505176
ACH-000383,-0.12381549761620594
ACH-000387,-0.1632235281976482
ACH-000389,-0.07431876484419789
ACH-000390,-0.09604328962139594
ACH-000393,-0.21793474398417856
ACH-000395,-0.3519461500326904
ACH-000396,-0.3959458566778649
ACH-000397,-0.02666922152034616
ACH-000401,-0.18921757519712212
ACH-000402,-0.10823364377749413
ACH-000403,-0.1800318183175708
ACH-000404,0.13036553687290578
ACH-000406,-0.1477577294084013
ACH-000407,-0.14521179237229073
ACH-000408,-0.20625999991023514
ACH-000410,-0.003635955337932215
ACH-000411,-0.04998386369214577
ACH-000414,-0.15385177666107913
ACH-000415,-0.09705306794967553
ACH-000416,-0.05796135445007972
ACH-000420,-0.09720983756263282
ACH-000421,-0.07691740740385462
