,GUCA2A (2980)
ACH-000004,-0.31193830711800163
ACH-000005,-0.3646165409107019
ACH-000007,-0.14656643873702732
ACH-000009,-0.24820460589374174
ACH-000011,-0.3414170261304645
ACH-000012,-0.12354893084625525
ACH-000013,-0.3408283956370924
ACH-000014,-0.09361895018432273
ACH-000015,-0.3112011406907221
ACH-000017,-0.1873827740406393
ACH-000018,-0.3092072980675231
ACH-000019,-0.2728396385412296
ACH-000021,-0.2451055926722759
ACH-000022,-0.1898438806989293
ACH-000025,-0.24452837202252686
ACH-000028,-0.07138828528007576
ACH-000030,-0.20050794492670185
ACH-000035,-0.3613914887118815
ACH-000036,-0.14174639271336706
ACH-000037,-0.1987966260638367
ACH-000039,-0.22742356223816884
ACH-000040,-0.2037136007219189
ACH-000041,-0.08176079439602353
ACH-000042,-0.2805746563717573
ACH-000045,-0.14595197893184472
ACH-000047,-0.1785368774846184
ACH-000052,-0.3427929664351809
ACH-000053,-0.3069663208314453
ACH-000054,-0.41578589848002745
ACH-000055,-0.20670461758255376
ACH-000060,-0.3902381382715148
ACH-000067,-0.2201515625449462
ACH-000070,-0.07934168310338878
ACH-000075,-0.2541262322668124
ACH-000078,-0.08843836662801248
ACH-000082,-0.1866988795768389
ACH-000085,-0.40833132672979416
ACH-000086,-0.2846473745570812
ACH-000087,-0.3167995976295884
ACH-000092,-0.313826708306685
ACH-000095,-0.2411414867685822
ACH-000097,-0.2602929682910963
ACH-000098,-0.32285506413193793
ACH-000099,-0.2922662021463053
ACH-000108,-0.2698403631400049
ACH-000113,-0.09082743938494264
ACH-000116,-0.2893620847562691
ACH-000118,-0.29998912199738004
ACH-000120,-0.17020454011809116
ACH-000123,-0.2322760413583656
ACH-000127,-0.08830342051374353
ACH-000128,-0.2137122898806039
ACH-000132,-0.2164152618955529
ACH-000133,-0.4293650641489461
ACH-000137,-0.4744104171395568
ACH-000138,-0.2587769870735795
ACH-000142,-0.4204663569657476
ACH-000143,-0.26487264160165513
ACH-000146,-0.30018914497277555
ACH-000148,-0.2389476236408375
ACH-000150,-0.3669626289498747
ACH-000152,-0.23258591972998435
ACH-000153,-0.2654453223629155
ACH-000159,-0.1863083288989741
ACH-000160,-0.3437051618034982
ACH-000163,-0.16840720554683142
ACH-000167,-0.3898027440728039
ACH-000168,0.03546804187584208
ACH-000169,-0.3125138655340689
ACH-000178,-0.2581416270284399
ACH-000183,-0.2318418253198874
ACH-000188,-0.4015504687891152
ACH-000189,0.07004742240900258
ACH-000190,-0.4477875979329148
ACH-000198,-0.12113323330859314
ACH-000203,0.3580113890400332
ACH-000204,-0.3676540324521907
ACH-000206,-0.10360056253959277
ACH-000207,-0.2187373137937296
ACH-000208,-0.4971009974018828
ACH-000210,-0.11526469637702025
ACH-000211,-0.2411498539211712
ACH-000215,-0.2036338217307561
ACH-000221,-0.2095535650596893
ACH-000222,-0.3753548204997836
ACH-000223,-0.2899262199873615
ACH-000226,-0.3127409132750582
ACH-000227,-0.2497061613294913
ACH-000228,-0.12532754704185387
ACH-000231,-0.2505944893765665
ACH-000232,-0.22149876091190696
ACH-000233,-0.3320022854589318
ACH-000234,-0.17249592282205276
ACH-000235,-0.1900978055142582
ACH-000237,-0.22132708578166133
ACH-000238,-0.5732565339812524
ACH-000242,-0.21819781033650024
ACH-000243,-0.32022521359552336
ACH-000244,-0.19202673321922245
ACH-000246,-0.23012602099316856
ACH-000248,-0.16671606443282075
ACH-000250,-0.31768520859053423
ACH-000251,-0.5182367576190006
ACH-000252,-0.2907435166346379
ACH-000253,-0.4079459034339893
ACH-000255,-0.26214581699985817
ACH-000256,-0.275604165546339
ACH-000257,-0.3582690966813864
ACH-000258,-0.31898335594638666
ACH-000259,-0.3794293380148007
ACH-000260,-0.17384974512977636
ACH-000261,-0.3534941379032809
ACH-000262,-0.06691936697987337
ACH-000263,-0.3074047065334926
ACH-000264,-0.3669873700746247
ACH-000265,-0.03043074008629097
ACH-000266,-0.2066868995407813
ACH-000272,-0.3441566252217544
ACH-000274,-0.4103815693188991
ACH-000277,-0.05711039165362986
ACH-000278,-0.31527698967365186
ACH-000279,-0.20404957291000972
ACH-000280,-0.17878910415451124
ACH-000281,0.017795012897033627
ACH-000288,-0.17123590179436238
ACH-000291,-0.25966262799218515
ACH-000293,-0.2995383053590161
ACH-000294,-0.20684022107340308
ACH-000295,-0.07266884250108871
ACH-000296,-0.31078121568721384
ACH-000302,-0.3135068007199254
ACH-000304,-0.2956538023243284
ACH-000307,-0.1862330237806281
ACH-000308,-0.19588071578731409
ACH-000310,-0.2967593439486138
ACH-000311,-0.4247478307299945
ACH-000312,-0.3973929422864693
ACH-000315,-0.1849145196347718
ACH-000316,-0.4061733847871039
ACH-000317,-0.3218256051624856
ACH-000318,-0.3502698175354603
ACH-000319,-0.14618570143897466
ACH-000320,-0.5569326982371465
ACH-000322,-0.40018578763717294
ACH-000323,-0.22116266463099127
ACH-000324,-0.15743416842635238
ACH-000329,-0.15621096860724615
ACH-000330,-0.3487443200438273
ACH-000331,-0.4782751776715032
ACH-000332,-0.3151840013940118
ACH-000334,-0.09630724017726124
ACH-000335,-0.22056166062062973
ACH-000336,-0.0016026150976412564
ACH-000337,-0.26792548794668897
ACH-000338,0.39257296253396
ACH-000339,-0.20844047091117124
ACH-000341,-0.3971018897331545
ACH-000348,-0.3476125471871749
ACH-000350,-0.14640162537135326
ACH-000352,-0.1030512522760766
ACH-000356,-0.532345571983383
ACH-000361,-0.07498137333366252
ACH-000362,-0.08371481757903232
ACH-000363,-0.1746041893089796
ACH-000364,-0.4392344804500304
ACH-000365,-0.2087304212964536
ACH-000366,-0.42533109274707304
ACH-000368,-0.4198760594527776
ACH-000374,-0.2652117673598333
ACH-000375,-0.16965207726733253
ACH-000376,-0.1301606547445548
ACH-000381,-0.3400533075570997
ACH-000383,-0.192678326846714
ACH-000387,-0.29475279554054123
ACH-000389,-0.3504270425684085
ACH-000390,-0.3901221320040008
ACH-000393,-0.21802052778427386
ACH-000395,-0.25459276786879104
ACH-000396,-0.11088706884736037
ACH-000397,-0.28298602816597884
ACH-000401,-0.6435366417104189
ACH-000402,-0.3944787520315711
ACH-000403,-0.274241401790183
ACH-000404,-0.3403564534507103
ACH-000406,-0.1861061935838756
ACH-000407,-0.3289158719353286
ACH-000408,-0.07241262069397097
ACH-000410,-0.17874112437281733
ACH-000411,-0.2979565157206094
ACH-000414,-0.3110166910930013
ACH-000415,-0.3247471432569345
ACH-000416,-0.08971204220386281
ACH-000420,-0.08899135726068727
ACH-000421,-0.2299608357317475
ACH-000424,-0.4703332167970133
ACH-000425,-0.2089820998186926
ACH-000426,-0.03640856014826626
ACH-000427,-0.32805007555858146
ACH-000433,-0.16934915891047486
ACH-000435,-0.3853608925671001
ACH-000436,-0.19323681434836384
ACH-000444,-0.3301612352486375
ACH-000445,-0.3714408844365964
ACH-000448,-0.1398462020118384
ACH-000450,-0.2830676159011873
ACH-000452,-0.35319146339023816
ACH-000454,-0.4223552880483433
ACH-000458,-0.19744988620530027
ACH-000459,-0.2238872305636094
ACH-000460,-0.15732122369822713
ACH-000461,-0.09477458044270858
ACH-000463,-0.2956128368264627
ACH-000464,-0.2142861559183648
ACH-000466,-0.24813844874326466
ACH-000467,-0.4106780257766092
ACH-000468,-0.15948604715957418
ACH-000469,-0.3569333394827881
ACH-000470,-0.16249155513454375
ACH-000471,-0.1417331235955343
ACH-000472,-0.2201900772552825
ACH-000473,-0.482261233686964
ACH-000475,-0.2280312286974323
ACH-000476,-0.2755124759881378
ACH-000477,-0.32775461547269524
ACH-000479,-0.4596650582078973
ACH-000480,-0.4303388385666671
ACH-000481,-0.3070829904163343
ACH-000483,-0.2277853187217428
ACH-000484,-0.4540936282537788
ACH-000485,-0.3488689715064651
ACH-000486,-0.2973857058690538
ACH-000487,-0.1888715810984037
ACH-000488,-0.407935947498929
