,S100B (6285)
ACH-000004,0.0027497146765584203
ACH-000005,0.3627944574387487
ACH-000007,-0.06433946426623141
ACH-000009,0.14663851605776884
ACH-000011,0.06458079148330602
ACH-000012,0.1092429705447978
ACH-000013,0.2042689077354715
ACH-000014,0.19431949611918944
ACH-000015,0.27454425864415394
ACH-000017,0.15656977820985166
ACH-000018,0.22018485865196716
ACH-000019,0.07181130476533261
ACH-000021,0.16695922603537314
ACH-000022,0.19112962333965167
ACH-000025,0.1979663903665349
ACH-000028,0.0576851929105145
ACH-000030,0.13684581748421745
ACH-000035,0.1942621931587077
ACH-000036,-0.04303469926447552
ACH-000037,0.16071725114695004
ACH-000039,0.1852929103990261
ACH-000040,0.22061035980735014
ACH-000041,0.16423323152628302
ACH-000042,0.11691483092753033
ACH-000045,0.1770308922791958
ACH-000047,0.2588711425527052
ACH-000052,0.1904978269024456
ACH-000053,0.17507538796907424
ACH-000054,0.10954560997783673
ACH-000055,0.2811821539904317
ACH-000060,0.2368272348469544
ACH-000067,0.21975863424834785
ACH-000070,0.3067930550218036
ACH-000075,0.25476952938059405
ACH-000078,0.06732909924014145
ACH-000082,0.1419495150810542
ACH-000085,0.24106339334774635
ACH-000086,0.2555365903043733
ACH-000087,0.30442984873900125
ACH-000092,0.12085991680964545
ACH-000095,0.1633249466860669
ACH-000097,0.11773320329783288
ACH-000098,0.20975576163521728
ACH-000099,0.09478826086997803
ACH-000108,0.08631489783436043
ACH-000113,0.1600397194815273
ACH-000116,0.13018750521747552
ACH-000118,0.20392241129148345
ACH-000120,0.2259504049474397
ACH-000123,-0.07573292577520756
ACH-000127,0.18512714194499166
ACH-000128,0.12108393219898513
ACH-000132,0.16099046731817196
ACH-000133,0.2957582763390912
ACH-000137,0.15971279236175595
ACH-000138,0.2225460155506132
ACH-000142,0.002301767409583617
ACH-000143,0.05894276507580405
ACH-000146,0.13386774404329446
ACH-000148,0.12726216902326318
ACH-000150,-0.13615939444185493
ACH-000152,0.16924721588242597
ACH-000153,0.05372357253145425
ACH-000159,0.11471658053280605
ACH-000160,0.20128710820420245
ACH-000163,0.14981286266478194
ACH-000167,0.15907372077189766
ACH-000168,0.09108914346032304
ACH-000169,0.11942648429946985
ACH-000178,0.15247633030517238
ACH-000183,0.13172329000808378
ACH-000188,0.2408904958504436
ACH-000189,0.14909412445827466
ACH-000190,0.3378298731467491
ACH-000198,0.17994265801267173
ACH-000203,0.034897973185873184
ACH-000204,0.19945881367202314
ACH-000206,0.21946369413545586
ACH-000207,0.11044711089600767
ACH-000208,0.16202924250423628
ACH-000210,-0.006545190682940336
ACH-000211,0.202087304276468
ACH-000215,0.11712580812458676
ACH-000221,0.15934788149290927
ACH-000222,0.12040319421157734
ACH-000223,0.12721232294927
ACH-000226,0.20313095113078775
ACH-000227,0.1148114788389889
ACH-000228,0.2503038985040604
ACH-000231,0.04771545830757866
ACH-000232,0.23123366453777824
ACH-000233,0.2676404762175233
ACH-000234,0.2211612704630392
ACH-000235,0.14213435781160375
ACH-000237,0.15922890097916498
ACH-000238,0.0665633474332472
ACH-000242,0.36168626913357216
ACH-000243,0.20493734957443674
ACH-000244,0.14597954188675571
ACH-000246,0.14859065080109146
ACH-000248,0.1866780520572373
ACH-000250,0.017738419450356032
ACH-000251,0.243107537327084
ACH-000252,-0.047714629206514016
ACH-000253,0.11854672844636475
ACH-000255,0.2788820064516007
ACH-000256,0.10409602906812493
ACH-000257,0.20292177151795995
ACH-000258,0.22224505348950596
ACH-000259,0.11174585110659926
ACH-000260,0.1882630570960121
ACH-000261,0.12747669424659244
ACH-000262,0.27528531515174715
ACH-000263,0.1896879738700061
ACH-000264,0.09787100220610767
ACH-000265,0.19540074713437236
ACH-000266,0.07864702222108508
ACH-000272,0.10924301041665396
ACH-000274,0.11300879156077095
ACH-000277,0.09741287611004604
ACH-000278,0.1502269473674003
ACH-000279,0.14563826448541353
ACH-000280,0.1969363956572314
ACH-000281,0.23750861903963624
ACH-000288,0.09787443685696984
ACH-000291,0.24991589916754506
ACH-000293,0.20633389713278555
ACH-000294,0.058587393476612015
ACH-000295,0.1095496663627409
ACH-000296,0.20223627214406315
ACH-000302,0.18443535373030906
ACH-000304,0.19931112861569603
ACH-000307,0.17925181958345476
ACH-000308,0.1604196613142664
ACH-000310,-0.010133700474470759
ACH-000311,0.09073810675694144
ACH-000312,0.1238243569910524
ACH-000315,0.27658376117530004
ACH-000316,0.08060332755254339
ACH-000317,0.2181455173626451
ACH-000318,0.1424806904246811
ACH-000319,0.13908292348168882
ACH-000320,0.07674847282315744
ACH-000322,0.021212370432334197
ACH-000323,0.2500572893686112
ACH-000324,0.13001425218431387
ACH-000329,0.07391995257721473
