,CD5 (921)
ACH-000004,-0.3927979643310944
ACH-000005,-0.1837227566437472
ACH-000007,-0.1873316937661121
ACH-000009,-0.12958332385139565
ACH-000011,-0.2961269947913925
ACH-000012,-0.2454180906732623
ACH-000013,-0.19064355157878576
ACH-000014,-0.0041794158090675436
ACH-000015,-0.24370112110199316
ACH-000017,-0.3039244160371414
ACH-000018,-0.2096570629938684
ACH-000019,-0.18942464183067267
ACH-000021,-0.2354151699280104
ACH-000022,-0.209960179583436
ACH-000025,-0.10479913219276717
ACH-000028,-0.4433146158782384
ACH-000030,-0.23622561845983095
ACH-000035,-0.07436969724829652
ACH-000036,-0.2422288362291232
ACH-000037,-0.2140201834081264
ACH-000039,-0.5016093951600612
ACH-000040,-0.4745693031362002
ACH-000041,-0.09607979362405733
ACH-000042,-0.27809353766624645
ACH-000045,-0.25764608965442554
ACH-000047,-0.14737965629804567
ACH-000052,-0.08429006807906995
ACH-000053,-0.17141711862659245
ACH-000054,-0.19445107531968225
ACH-000055,-0.2797764820333973
ACH-000060,-0.18281357712866286
ACH-000067,-0.27859380876667866
ACH-000070,-0.2825501794389667
ACH-000075,-0.4303741685070997
ACH-000078,-0.20706163450148374
ACH-000082,-0.3174249205371386
ACH-000085,-0.17235828916325738
ACH-000086,-0.3711760909342335
ACH-000087,-0.18675189504160536
ACH-000092,-0.2932670605235118
ACH-000095,-0.19111586198735447
ACH-000097,-0.32538438973343203
ACH-000098,-0.12561527125925245
ACH-000099,-0.2734296236543011
ACH-000108,-0.3177434870386077
ACH-000113,-0.2476617213920277
ACH-000116,-0.278761887538061
ACH-000118,-0.4200382100254886
ACH-000120,-0.1970770805161921
ACH-000123,-0.3234748248117863
ACH-000127,-0.26265001242664554
ACH-000128,-0.2493049306967684
ACH-000132,-0.15385656802083272
ACH-000133,-0.26964433712842845
ACH-000137,-0.24117252692297314
ACH-000138,-0.12565208565989247
ACH-000142,-0.2768658150559333
ACH-000143,-0.35330103984828765
ACH-000146,-0.21948879990737266
ACH-000148,-0.11586279527360142
ACH-000150,-0.4829888454285486
ACH-000152,-0.2986920097840056
ACH-000153,-0.19820908110228305
ACH-000159,-0.21974019069780207
ACH-000160,-0.18526420855962605
ACH-000163,-0.25464491047829674
ACH-000167,-0.006873482565336528
ACH-000168,-0.1367469371622838
ACH-000169,-0.3595420470728053
ACH-000178,-0.16930985296426435
ACH-000183,-0.18337179293301545
ACH-000188,-0.3858559068992592
ACH-000189,-0.31093217548246466
ACH-000190,-0.2796486524554101
ACH-000198,-0.27963304690638946
ACH-000203,-0.5455926177386593
ACH-000204,-0.4723523825737237
ACH-000206,-0.35038421145365706
ACH-000207,-0.38211714842748107
ACH-000208,-0.354184162205922
ACH-000210,-0.1587858294754163
ACH-000211,-0.14039769888550982
ACH-000215,-0.2664678530064637
ACH-000221,-0.21128023043623487
ACH-000222,-0.267696299389648
ACH-000223,-0.3523531901867851
ACH-000226,-0.4322269228393543
ACH-000227,-0.16758872898544344
ACH-000228,-0.24358124964742325
ACH-000231,-0.22208356912324134
ACH-000232,-0.2672785285512714
ACH-000233,-0.33791667036287937
ACH-000234,-0.20416842428818616
ACH-000235,-0.2034160489881822
ACH-000237,-0.2637779454346925
ACH-000238,-0.2698828115434398
ACH-000242,-0.1062755141467762
ACH-000243,-0.2252404004373234
ACH-000244,-0.3436759679031701
ACH-000246,-0.23765493234324306
ACH-000248,-0.2291732905612274
ACH-000250,-0.23974596699895365
ACH-000251,-0.1742686066820555
ACH-000252,-0.013742342745874693
ACH-000253,-0.2211502636195844
ACH-000255,-0.19911516663041814
ACH-000256,-0.1666589613439564
ACH-000257,-0.35153865222862
ACH-000258,-0.17665352820884553
ACH-000259,-0.17536877824496874
ACH-000260,-0.22611111007651544
ACH-000261,-0.259449019213446
ACH-000262,-0.304370807549274
ACH-000263,-0.2052844816069381
ACH-000264,-0.30529232963801434
ACH-000265,-0.3101490123199729
ACH-000266,-0.26654291976460714
ACH-000272,-0.19187555416082108
ACH-000274,-0.2593665270078513
ACH-000277,-0.18529224789301585
