,OR4S2 (219431)
ACH-000004,-0.0750667477419718
ACH-000005,-0.35478446544985764
ACH-000007,0.12142864806044247
ACH-000009,-0.04554526310741318
ACH-000011,0.09639904511238398
ACH-000012,-0.015625291012661482
ACH-000013,0.04393027304593055
ACH-000014,0.14043086564243207
ACH-000015,0.12864135206011926
ACH-000017,-0.12632326826432627
ACH-000018,0.09959289816234564
ACH-000019,0.01853076401606607
ACH-000021,-0.07433845750341604
ACH-000022,-0.029794654470840176
ACH-000025,-0.16688655128358204
ACH-000028,-0.15714255306645605
ACH-000030,0.09554548827385992
ACH-000035,-0.12416945489637644
ACH-000036,-0.042627247096481975
ACH-000037,-0.05847233283419277
ACH-000039,0.14051778915417173
ACH-000040,-0.010138520316274206
ACH-000041,-0.008966550115660157
ACH-000042,0.11085077931040783
ACH-000045,-0.005840824794358719
ACH-000047,-0.07294695398537347
ACH-000052,0.019891321891184217
ACH-000053,0.02611587313165841
ACH-000054,0.014579893655516298
ACH-000055,-0.03355778396857458
ACH-000060,0.13992694121864874
ACH-000067,0.15116380035542162
ACH-000070,-0.1590689795943134
ACH-000075,-0.2536996403037129
ACH-000078,0.11273429363344993
ACH-000082,0.062007800157350065
ACH-000085,-0.06143949795057085
ACH-000086,-0.2315662876620173
ACH-000087,-0.02400574440418498
ACH-000092,0.10321168398407772
ACH-000095,0.023100149459724013
ACH-000097,-0.06710184483934697
ACH-000098,-0.013371575833425657
ACH-000099,-0.0677097705238218
ACH-000108,-0.13390866458586473
ACH-000113,-0.09107431213392687
ACH-000116,-0.07611762587996604
ACH-000118,-0.0004248881579289632
ACH-000120,0.0027530603103395877
ACH-000123,-0.09296344375280384
ACH-000127,-0.01969939625463072
ACH-000128,0.007972046021884305
ACH-000132,0.020981243592155776
ACH-000133,-0.04213339971815483
ACH-000137,-0.0007267983886466845
ACH-000138,-0.047213951887725085
ACH-000142,0.01713617866488304
ACH-000143,0.038596938253154564
ACH-000146,-0.030079934565870887
ACH-000148,-0.051615409987256985
ACH-000150,-0.1972624532088192
ACH-000152,0.007742836640914449
ACH-000153,0.21872924516014114
ACH-000159,-0.0351778246049552
ACH-000160,-0.026572853869296854
ACH-000163,0.007252876871144778
ACH-000167,-0.009217508562094
ACH-000168,-0.05270443278503517
ACH-000169,-0.0511075254624738
ACH-000178,-0.05780257040975209
ACH-000183,0.13133236948940466
ACH-000188,-0.0115073329998949
ACH-000189,0.03620277971894144
ACH-000190,-0.14100618791970634
ACH-000198,-0.0608482569852339
ACH-000203,-0.08732841850426634
ACH-000204,0.008103793839104114
ACH-000206,0.04765785399896645
ACH-000207,0.02315036361389557
ACH-000208,-0.1558593138611248
ACH-000210,0.028755582654566576
ACH-000211,-0.13725231806621516
