,PPP1R14D (54866)
ACH-000004,-0.19063367643809764
ACH-000005,-0.31388323549721064
ACH-000007,0.07049766874592861
ACH-000009,-0.18240828379675625
ACH-000011,-0.01616392548580864
ACH-000012,-0.17211149877108328
ACH-000013,-0.01599843558369421
ACH-000014,-0.153921790941255
ACH-000015,-0.026107267038023213
ACH-000017,-0.033626546352299565
ACH-000018,-0.007767212641900866
ACH-000019,-0.09812422594540947
ACH-000021,0.02155353345235228
ACH-000022,-0.19435305549081125
ACH-000025,-0.05260603160593104
ACH-000028,0.14383305111981146
ACH-000030,-0.0586039833663126
ACH-000035,-0.04580837342691412
ACH-000036,-0.03838801284120879
ACH-000037,-0.18216027035766724
ACH-000039,-0.07208287950789014
ACH-000040,-0.008025213346082844
ACH-000041,-0.12414003761878335
ACH-000042,0.02251122876137324
ACH-000045,-0.05317856228556006
ACH-000047,0.015294118210802041
ACH-000052,0.058481494288538424
ACH-000053,-0.0905521748665913
ACH-000054,0.027904794729008482
ACH-000055,0.24073531879225135
ACH-000060,-0.04989957173604484
ACH-000067,-0.07678421992129658
ACH-000070,-0.053423309800512415
ACH-000075,0.054631611517630685
ACH-000078,-0.07907122278806282
ACH-000082,-0.0002817775197174777
ACH-000085,-0.004713552351674448
ACH-000086,-0.060072138570883934
ACH-000087,0.009730302796417432
ACH-000092,-0.0665062446354962
ACH-000095,-0.06900567261347379
ACH-000097,-0.12789672625900636
ACH-000098,0.10481632478611536
ACH-000099,-0.08414682735161877
ACH-000108,-0.06176803231869014
ACH-000113,-0.10972714840645573
ACH-000116,-0.0661265888230808
ACH-000118,-0.009126048707654969
ACH-000120,-0.21155724534674145
ACH-000123,-0.05092939894521308
ACH-000127,-0.03328853424095201
ACH-000128,-0.1217137205730192
ACH-000132,-0.15599189755997575
ACH-000133,-0.025494296048183856
ACH-000137,-0.03191354496853338
ACH-000138,0.07503544256656931
ACH-000142,0.06193748388057055
ACH-000143,-0.2253347118686115
ACH-000146,-0.11082892669817404
ACH-000148,-0.0022281882593125123
ACH-000150,-0.06933785075515861
ACH-000152,-0.050398416964268326
ACH-000153,-0.27960422842458205
ACH-000159,-0.12272255592894665
ACH-000160,-0.3167194627680705
ACH-000163,-0.17441428148587176
ACH-000167,-0.21361399249367408
ACH-000168,-0.22738365409086655
ACH-000169,-0.23981976618073225
ACH-000178,-0.034174157164933584
ACH-000183,-0.0838356214797805
ACH-000188,-0.16654212660852696
ACH-000189,-0.1547529577902897
ACH-000190,-0.1330457038523805
ACH-000198,-0.104659407748804
ACH-000203,-0.3606274775174339
ACH-000204,-0.10437088126466952
ACH-000206,-0.09521299962847833
ACH-000207,-0.09573636446280613
ACH-000208,-0.1869057351435928
ACH-000210,-0.14928971539896785
ACH-000211,-0.03492112209343945
ACH-000215,-0.009852686600544187
ACH-000221,-0.19004461542353931
ACH-000222,-0.07807006247588978
ACH-000223,-0.18115098819829736
ACH-000226,-0.044198833999401166
ACH-000227,-0.1955125957590792
ACH-000228,-0.015857890750361002
ACH-000231,-0.119933063359976
ACH-000232,-0.12436548103734875
ACH-000233,-0.17621543116266405
ACH-000234,0.10954305559224266
ACH-000235,-0.19792025160398552
ACH-000237,-0.094594866099496
ACH-000238,-0.10219059562999933
ACH-000242,-0.23996886357081065
ACH-000243,-0.1823622041784513
ACH-000244,-0.08015767367068233
ACH-000246,-0.021567684569971327
ACH-000248,-0.17930887514604896
ACH-000250,-0.037231310487935376
ACH-000251,0.04099282177002327
ACH-000252,-0.03498254863651929
ACH-000253,-0.09055838404014864
ACH-000255,-0.10569434300897224
ACH-000256,-0.0742418177960442
ACH-000257,-0.22245158630894474
ACH-000258,-0.14635345001369207
ACH-000259,-0.10789545811649852
ACH-000260,-0.13927431123702452
ACH-000261,-0.15469571452754252
ACH-000262,-0.10506349681770308
ACH-000263,-0.18327666960479952
ACH-000264,-0.12250466548583687
ACH-000265,-0.18659659831708428
ACH-000266,-0.1694824422380324
ACH-000272,-0.14901905680565594
ACH-000274,-0.08367917894020444
ACH-000277,-0.06535956902519817
ACH-000278,0.010843466284678159
ACH-000279,-0.19012968805116529
ACH-000280,-0.07469270076752171
ACH-000281,0.0049215818716451315
ACH-000288,0.004030043925574827
ACH-000291,-0.011911185421260772
ACH-000293,0.09945250395666846
ACH-000294,-0.10659147657632463
ACH-000295,-0.08122114291996993
ACH-000296,-0.05367039479361396
ACH-000302,-0.1796790689659649
