,CKAP2L (150468)
ACH-000004,-0.289145777842204
ACH-000005,-0.07634459674069399
ACH-000007,-0.10204758233946302
ACH-000009,-0.061639354376110025
ACH-000011,-0.09428867208012053
ACH-000012,-0.2724492022751829
ACH-000013,-0.5101484664678907
ACH-000014,-0.32235568248172186
ACH-000015,-0.1232114970316578
ACH-000017,-0.052458400083823166
ACH-000018,-0.2238990336958732
ACH-000019,-0.07228636952178788
ACH-000021,-0.06783294192529128
ACH-000022,-0.08395015246972737
ACH-000025,-0.2370698624443143
ACH-000028,-0.3280594511667155
ACH-000030,-0.16722749375412885
ACH-000035,-0.3520908860625804
ACH-000036,-0.14120467748609974
ACH-000037,-0.18317723864807667
ACH-000039,-0.04753085468859517
ACH-000040,-0.07699984057634744
ACH-000041,-0.09029846709721824
ACH-000042,-0.27658157997022603
ACH-000045,-0.27934999207052297
ACH-000047,-0.018912039996978804
ACH-000052,-0.13056641843124306
ACH-000053,-0.4346141224781386
ACH-000054,-0.09754486241686676
ACH-000055,-0.17078871463007375
ACH-000060,-0.1852450641520876
ACH-000067,-0.22884551033818426
ACH-000070,-0.002981882852734323
ACH-000075,0.014096422456206513
ACH-000078,0.12324416335766035
ACH-000082,-0.15261365108109873
ACH-000085,-0.1606463001558104
ACH-000086,-0.044707233237948514
ACH-000087,-0.3069865907908064
ACH-000092,-0.2411892841525299
ACH-000095,0.010398005588621195
ACH-000097,-0.0680690727151653
ACH-000098,-0.205084625233168
ACH-000099,0.02561265288868943
ACH-000108,-0.04189443516352378
ACH-000113,-0.15148071255116966
ACH-000116,-0.22347089607057927
ACH-000118,-0.12065897126462155
ACH-000120,-0.09244513278868564
ACH-000123,-0.18864831034573926
ACH-000127,-0.1399365747448871
ACH-000128,-0.21280209138656453
ACH-000132,-0.2542130343629497
ACH-000133,-0.1305331233461029
ACH-000137,-0.182654404573296
ACH-000138,-0.2319530834741441
ACH-000142,-0.3652749138309414
ACH-000143,-0.17436391070958127
ACH-000146,-0.05914781084784461
ACH-000148,-0.03755552414350497
ACH-000150,-0.015730950794137118
ACH-000152,-0.07428319345227596
ACH-000153,-0.36721084859850905
ACH-000159,-0.15042085828319288
ACH-000160,-0.3269462194248055
ACH-000163,-0.4743163952267994
ACH-000167,-0.18905909945724972
ACH-000168,-0.04519625377183025
ACH-000169,-0.11749766421645574
ACH-000178,-0.025795992350979683
ACH-000183,-0.09118876751018294
ACH-000188,-0.21379211409929927
ACH-000189,-0.0850914901941191
ACH-000190,0.008385781519994688
ACH-000198,-0.0987574681540212
ACH-000203,-0.6396998218256478
ACH-000204,-0.14600821183574966
ACH-000206,-0.1235404546575013
ACH-000207,-0.2171129907353647
ACH-000208,-0.14809624313370184
ACH-000210,0.08591379242563542
ACH-000211,0.017700588271019255
ACH-000215,-0.14577433785845192
ACH-000221,-0.07865590062672201
ACH-000222,-0.08640178797582551
ACH-000223,-0.2816929881072464
ACH-000226,-0.3529232040296956
ACH-000227,0.03174551224092983
ACH-000228,-0.4406778966949836
ACH-000231,-0.199681537935934
ACH-000232,-0.194448771682668
ACH-000233,-0.07112098782783582
ACH-000234,-0.2153332900156552
ACH-000235,-0.1415642774385306
ACH-000237,-0.15548077434259835
