,KIF21B (23046)
ACH-000004,-0.17265629081571993
ACH-000005,-0.06265114644002136
ACH-000007,-0.003176319590434821
ACH-000009,-0.2657467248575902
ACH-000011,-0.11268803456493932
ACH-000012,-0.24724921300273703
ACH-000013,-0.2105570117875531
ACH-000014,0.00935685020043544
ACH-000015,-0.2701902658992623
ACH-000017,-0.1792081289465485
ACH-000018,-0.20726819492547333
ACH-000019,-0.1176180074379832
ACH-000021,-0.28222351829378833
ACH-000022,-0.25190688467784383
ACH-000025,-0.23433778345709375
ACH-000028,-0.2316256962638873
ACH-000030,-0.12450175730299265
ACH-000035,-0.21300213069870444
ACH-000036,-0.1405419558957602
ACH-000037,-0.20543270968916
ACH-000039,-0.2163794145521081
ACH-000040,-0.19574910407793475
ACH-000041,-0.2345121128435635
ACH-000042,-0.13368038579617236
ACH-000045,-0.2429495395975191
ACH-000047,-0.057896351880575535
ACH-000052,-0.11028651061693072
ACH-000053,-0.19517110226474665
ACH-000054,-0.18626788399955688
ACH-000055,-0.1827430174253532
ACH-000060,-0.24418690138039495
ACH-000067,-0.1897940500046256
ACH-000070,-0.23535526266905224
ACH-000075,-0.0015168436820643821
ACH-000078,-0.19532812493126345
ACH-000082,-0.18708027169962624
ACH-000085,-0.15435861955925034
ACH-000086,-0.2992267783668196
ACH-000087,-0.05342170415422562
ACH-000092,-0.22442269095726036
ACH-000095,-0.1775664010956279
ACH-000097,-0.18257819703591646
ACH-000098,-0.08322902037838001
ACH-000099,-0.06994155220073647
ACH-000108,-0.2839864572513105
ACH-000113,-0.18433499777551665
ACH-000116,-0.1227184802219617
ACH-000118,-0.16775243907407306
ACH-000120,-0.3258841231156192
ACH-000123,-0.18438939403823812
ACH-000127,-0.11493407800333888
ACH-000128,-0.13111929496645422
ACH-000132,-0.19242235592460175
ACH-000133,-0.241109095467296
ACH-000137,-0.20377629030867264
ACH-000138,-0.2688352237321509
ACH-000142,-0.2522958289155052
ACH-000143,-0.2311749143011568
ACH-000146,-0.12827642299349826
ACH-000148,-0.2416031469018545
ACH-000150,-0.09250271424734878
ACH-000152,-0.19401638631164228
ACH-000153,-0.2810538044431645
ACH-000159,-0.1097602705807042
ACH-000160,-0.2904502473895056
ACH-000163,-0.17150563024652662
ACH-000167,-0.08724452838092349
ACH-000168,-0.2452404130978592
ACH-000169,-0.1069739459158569
ACH-000178,-0.1575351462368777
ACH-000183,-0.10799531798700963
ACH-000188,-0.2330025971114445
ACH-000189,-0.1424698775339211
ACH-000190,-0.12711939053052726
ACH-000198,-0.1577998146223024
ACH-000203,-0.2771485745897352
ACH-000204,-0.3811301112812519
ACH-000206,-0.15263737856884846
ACH-000207,-0.4098511154729792
ACH-000208,-0.30995277600577625
ACH-000210,-0.2325016640996329
ACH-000211,0.005925656717126832
ACH-000215,-0.21392398765531012
ACH-000221,-0.10301437097743127
ACH-000222,-0.12542350011527542
ACH-000223,-0.1884586861026728
