,DIAPH1 (1729)
ACH-000004,-0.0942781960714369
ACH-000005,0.16927688227291354
ACH-000007,-0.4111070518692819
ACH-000009,-0.2961494582274373
ACH-000011,-0.08273870931191568
ACH-000012,-0.002699260109319129
ACH-000013,-0.05534770080602504
ACH-000014,0.024338340202858404
ACH-000015,-0.41793494834503503
ACH-000017,-0.0585055249634949
ACH-000018,0.014098971742769275
ACH-000019,-0.0254165132253918
ACH-000021,-0.07273037131332176
ACH-000022,-0.18789514545952507
ACH-000025,0.02865212278136088
ACH-000028,-0.1325247398000417
ACH-000030,-0.11124175239221924
ACH-000035,-0.3784530348789955
ACH-000036,-0.08319790780722434
ACH-000037,-0.3151725914293841
ACH-000039,-0.1537467761907862
ACH-000040,-0.10032443353403817
ACH-000041,-0.024204857183018583
ACH-000042,-0.19992314184821744
ACH-000045,-0.1247492872900591
ACH-000047,-0.18591096837820512
ACH-000052,-0.19517388048543266
ACH-000053,-0.2685812261970867
ACH-000054,-0.0572057987248658
ACH-000055,-0.07438901504317998
ACH-000060,-0.13829017388216233
ACH-000067,-0.21545890853901786
ACH-000070,-0.02659135521818676
ACH-000075,-0.4154166624669845
ACH-000078,0.11664286102103323
ACH-000082,-0.12183942364337083
ACH-000085,-0.3851647184136571
ACH-000086,-0.13971217440474545
ACH-000087,-0.06568400059480936
ACH-000092,-0.14464309620375576
ACH-000095,0.0033900348241084066
ACH-000097,-0.07125830772837033
ACH-000098,-0.1829533612204534
ACH-000099,-0.18576973688589335
ACH-000108,0.11145913694095584
ACH-000113,-0.01926908442457024
ACH-000116,-0.059141498261906025
ACH-000118,-0.14249015702983228
ACH-000120,-0.055016248912109135
ACH-000123,-0.21561349736844032
ACH-000127,-0.09959743413160856
ACH-000128,-0.01914151751862009
ACH-000132,-0.06978965811553774
ACH-000133,-0.1293008254971767
ACH-000137,0.13103142902449758
ACH-000138,-0.1605862982585346
ACH-000142,-0.08723691837826761
ACH-000143,-0.14811857788000587
ACH-000146,-0.09357294220684144
ACH-000148,0.025524823473991345
ACH-000150,-0.08598499528667332
ACH-000152,-0.3536703842139291
ACH-000153,0.05062363867784647
ACH-000159,-0.02290379476594615
ACH-000160,-0.16387454388984884
ACH-000163,-0.22395807648164304
ACH-000167,-0.17221167824044106
ACH-000168,0.06306505733018873
ACH-000169,-0.3037310506785593
ACH-000178,-0.11475533406443725
ACH-000183,-0.2600624371770011
ACH-000188,-0.08912435654363031
ACH-000189,-0.14612409740580434
ACH-000190,-0.27729144609203155
ACH-000198,0.028736014948877783
ACH-000203,-0.3612900327433927
ACH-000204,-0.21140616509425972
ACH-000206,-0.3318400713581806
ACH-000207,-0.08366646919086228
ACH-000208,0.1662780318129037
ACH-000210,0.1270254012462992
ACH-000211,-0.08229998563915568
ACH-000215,-0.10582417059964952
ACH-000221,0.06260436816914194
ACH-000222,-0.07812909752468426
ACH-000223,-0.20257213230159585
ACH-000226,-0.11476586329729975
ACH-000227,0.003695616098596297
ACH-000228,-0.047199655749466815
ACH-000231,-0.19298295024811415
ACH-000232,-0.16361169523339758
ACH-000233,-0.03567547395101758
ACH-000234,-0.20606790545301534
ACH-000235,-0.21288614022764424
ACH-000237,-0.05783298700052347
ACH-000238,-0.10400450206086877
ACH-000242,-0.6335589086201411
ACH-000243,-0.1158963557072664
ACH-000244,0.20168918919242754
ACH-000246,0.06687388311875757
ACH-000248,-0.1955338262647641
ACH-000250,-0.14544493152536964
ACH-000251,-0.3429979305046543
ACH-000252,-0.5359815745948143
ACH-000253,-0.22160106856951975
ACH-000255,-0.4074802869400373
ACH-000256,-0.10095608897746644
ACH-000257,-0.21654822990479766
ACH-000258,0.0987674778355984
ACH-000259,-0.11835593194956208
ACH-000260,-0.0598602146638245
ACH-000261,-0.14048193139847506
ACH-000262,-0.13247293657060374
ACH-000263,-0.01890013414329762
ACH-000264,-0.2309782464343217
ACH-000265,-0.1854090043081872
ACH-000266,-0.1821772188904299
ACH-000272,-0.04900489156069307
ACH-000274,-0.09776019199544272
ACH-000277,-0.02783554203556535
ACH-000278,-0.05645183262803007
ACH-000279,-0.02706041219166384
ACH-000280,-0.05704637820599321
ACH-000281,0.0020046830651157346
ACH-000288,-0.09749499215709563
ACH-000291,-0.21827848315571127
ACH-000293,-0.03164682402531975
ACH-000294,-0.3823895931035308
ACH-000295,-0.08638717111073305
ACH-000296,-0.15039095233929214
ACH-000302,-0.06815529736582637
ACH-000304,0.14115218377100575
ACH-000307,-0.08405019239984718
ACH-000308,-0.06484826373034587
ACH-000310,-0.11040741211232934
ACH-000311,-0.1137178292436803
ACH-000312,-0.06976455326928288
ACH-000315,-0.4764386241892067
ACH-000316,-0.2456605730980601
ACH-000317,-0.18259113058937704
ACH-000318,0.09726578698382224
ACH-000319,-0.1380923075690292
ACH-000320,-0.041099527671354434
ACH-000322,-0.05871484854184246
ACH-000323,-0.34363971463433296
ACH-000324,-0.1059559318792342
ACH-000329,-0.1962348195997497
ACH-000330,-0.2748072292914647
ACH-000331,-0.0020736061586096627
ACH-000332,-0.08727631091380544
ACH-000334,-0.19669982434537925
ACH-000335,-0.2896699953356009
ACH-000336,0.01429069659748039
ACH-000337,-0.2040443809901966
ACH-000338,-0.5109227168213046
ACH-000339,-0.08138983765760786
ACH-000341,-0.3290461466927382
ACH-000348,-0.14338191433339353
ACH-000350,-0.026981390487011585
ACH-000352,-0.08369393771036003
ACH-000356,0.038888968880938415
ACH-000361,-0.14609771307541172
ACH-000362,-0.09776794752866633
ACH-000363,-0.13671500560669347
ACH-000364,-0.1419177096191445
ACH-000365,-0.020289591847922582
ACH-000366,-0.0829741535756928
ACH-000368,-0.12561995900806894
ACH-000374,-0.07960991733144761
ACH-000375,-0.16524102351734687
ACH-000376,-0.10582494590109412
ACH-000381,-0.30386784248276577
ACH-000383,-0.259399677551894
ACH-000387,-0.027023435182040048
ACH-000389,-0.07381344934077498
ACH-000390,-0.019632283332606824
ACH-000393,-0.17941853732346366
ACH-000395,0.0043628036483302005
ACH-000396,-0.17324551061897414
ACH-000397,-0.1633472214203654
ACH-000401,-0.30033842690713297
ACH-000402,-0.3898691097942542
ACH-000403,-0.12151682148703395
ACH-000404,-0.1068946524161539
ACH-000406,-0.11869557976369725
ACH-000407,-0.2769417800305816
ACH-000408,-0.12928374050675415
ACH-000410,-0.035847628259987316
ACH-000411,-0.032800616717710215
ACH-000414,-0.15306540601357824
ACH-000415,-0.12220742384116895
ACH-000416,-0.16195070375334944
ACH-000420,-0.026200091900190143
ACH-000421,-0.09806161725351616
ACH-000424,-0.05409883123949888
ACH-000425,-0.20683463654429676
ACH-000426,0.1799845207573915
ACH-000427,-0.36101601579520815
ACH-000433,-0.1289369013699358
ACH-000435,0.2640977821181472
ACH-000436,-0.10061437976568376
ACH-000444,-0.34655911320994914
ACH-000445,-0.1237778167951464
ACH-000448,-0.15141479176703762
ACH-000450,-0.1758797573896277
ACH-000452,-0.029669046255676682
