,CHKA (1119)
ACH-000004,-0.3975802251348736
ACH-000005,-0.4725723389464901
ACH-000007,0.0040705387260732105
ACH-000009,-0.2257456742355908
ACH-000011,-0.317895661961048
ACH-000012,-0.2640812100035825
ACH-000013,-0.24442159551366344
ACH-000014,-0.06542858093330345
ACH-000015,-0.1296853600401793
ACH-000017,-0.3945891028922813
ACH-000018,-0.39793624756868334
ACH-000019,-0.7006492248142331
ACH-000021,-0.25935213374944105
ACH-000022,-0.2083547714678221
ACH-000025,-0.16628782021958008
ACH-000028,-0.4859383975184293
ACH-000030,-0.20488046454605496
ACH-000035,-0.17370099051648774
ACH-000036,-0.3594986367695257
ACH-000037,-0.3152748151428874
ACH-000039,-0.1736536496305094
ACH-000040,-0.14251494261446554
ACH-000041,-0.3872301229220438
ACH-000042,-0.3513608506314705
ACH-000045,-0.39225021934590737
ACH-000047,-0.42626762360344106
ACH-000052,-0.20929000164930664
ACH-000053,-0.5448555934435689
ACH-000054,-0.25153194946563223
ACH-000055,-0.2744738077923916
ACH-000060,-0.33687971869589595
ACH-000067,-0.13681791241800534
ACH-000070,-0.08587387024805936
ACH-000075,-0.3755586728770271
ACH-000078,-0.19472467274269506
ACH-000082,-0.5909970259972505
ACH-000085,-0.4810992176259357
ACH-000086,-0.2736442428002421
ACH-000087,-0.27314837916226176
ACH-000092,-0.4294365882725249
ACH-000095,-0.2421130272520791
ACH-000097,-0.4808927552818722
ACH-000098,-0.2590004039944277
ACH-000099,-0.23125944489647646
ACH-000108,-0.5598612473468522
ACH-000113,-0.4035043421617848
ACH-000116,-0.3297163175291567
ACH-000118,-0.6281548632678574
ACH-000120,-0.19806621465280805
ACH-000123,-0.08170898013211397
ACH-000127,-0.3213024324627829
ACH-000128,-0.213779961276549
ACH-000132,-0.4329455050916616
ACH-000133,-0.4149680086747278
ACH-000137,-0.2910938460393008
ACH-000138,-0.3899362477646506
ACH-000142,-0.5547983270995115
ACH-000143,-0.19975205531676712
ACH-000146,-0.20706811964815344
ACH-000148,-0.2986892583681989
ACH-000150,-0.3900463550596149
ACH-000152,-0.20691778250544074
ACH-000153,-0.3344620221518919
ACH-000159,-0.2268562459709234
ACH-000160,-0.6670396047139846
ACH-000163,-0.3581623349538938
ACH-000167,-0.5735479126236201
ACH-000168,-0.7085984315515655
ACH-000169,-0.3553196601720833
ACH-000178,-0.3237577534241547
ACH-000183,-0.4820640768249743
ACH-000188,-0.43994819064566415
ACH-000189,-0.6382480539730538
ACH-000190,-0.4494709612179924
ACH-000198,-0.7034224535481279
ACH-000203,0.0318662791566567
ACH-000204,-0.011645984597135612
ACH-000206,-0.13099694857131236
ACH-000207,-0.4744816545694466
ACH-000208,-0.032666275858387134
ACH-000210,-0.2824785707510898
