,CLCC1 (23155)
ACH-000004,-0.3098895519814735
ACH-000005,-0.04292030496477811
ACH-000007,-0.45725805037282
ACH-000009,-0.350837117723724
ACH-000011,-0.08618809863056644
ACH-000012,-0.16834317023399445
ACH-000013,-0.2278855041729041
ACH-000014,-0.4722903682102134
ACH-000015,-0.33687714522836315
ACH-000017,-0.3228253010951722
ACH-000018,-0.5034726955347387
ACH-000019,-0.4615645147462233
ACH-000021,-0.4493584441029372
ACH-000022,-0.1568146089883373
ACH-000025,-0.4097126012059976
ACH-000028,-0.4491908277770464
ACH-000030,-0.2620086024308973
ACH-000035,-0.4724734044140785
ACH-000036,-0.3152265159634711
ACH-000037,-0.2199116450425017
ACH-000039,-0.09104006163506936
ACH-000040,-0.3197684054533817
ACH-000041,-0.1935835544526613
ACH-000042,-0.2947070783758359
ACH-000045,-0.2567829299557926
ACH-000047,-0.297825094722984
ACH-000052,-0.2550379481331947
ACH-000053,-0.287088474875458
ACH-000054,-0.34781975473604804
ACH-000055,-0.2322539339159404
ACH-000060,-0.4176134232752972
ACH-000067,-0.6284002693025867
ACH-000070,-0.20990655658001647
ACH-000075,-0.3192477044079973
ACH-000078,-0.10840357187671952
ACH-000082,-0.3029529744688211
ACH-000085,-0.26281873902778546
ACH-000086,-0.32367737951591996
ACH-000087,-0.1266559863694758
ACH-000092,-0.3878716990898292
ACH-000095,-0.264912583865736
ACH-000097,-0.43448265361794397
ACH-000098,-0.4549214973061184
ACH-000099,-0.20696499586580824
ACH-000108,-0.38459553767645616
ACH-000113,-0.19733645358201987
ACH-000116,-0.44661828231423495
ACH-000118,-0.4050060751687045
ACH-000120,-0.346399395096478
ACH-000123,-0.3046826527073619
ACH-000127,-0.22127851731946305
ACH-000128,-0.3003489277287312
ACH-000132,-0.32084260896370786
ACH-000133,-0.3893434159782314
ACH-000137,-0.36484633728365296
ACH-000138,-0.2109177344505679
ACH-000142,-0.4140263070976543
ACH-000143,-0.27473683026385565
ACH-000146,-0.2637518909597176
ACH-000148,-0.34379008765269103
ACH-000150,-0.19463482135287608
ACH-000152,-0.4079726622392598
ACH-000153,-0.9295338465283745
ACH-000159,-0.2582536153997404
ACH-000160,-0.3237356471350448
ACH-000163,-0.3504664776347441
ACH-000167,-0.6654548551048489
ACH-000168,-0.21538212696710227
ACH-000169,-0.11191670026489857
ACH-000178,-0.3209689354304247
ACH-000183,-0.2408207835544337
ACH-000188,-0.15084222673914938
ACH-000189,-0.3351663097095493
ACH-000190,-0.14193051252074607
ACH-000198,-0.38081411500369533
ACH-000203,-0.4261198669928417
ACH-000204,-0.4458763072675912
ACH-000206,-0.5214510567859337
ACH-000207,-0.4071920327833391
ACH-000208,-0.4427047503360439
ACH-000210,-0.09002079166260693
ACH-000211,-0.3245213544627706
ACH-000215,-0.33971889943946665
ACH-000221,-0.4222252365130241
ACH-000222,-0.4888055726803792
ACH-000223,-0.2997231429643685
ACH-000226,-0.3540876548106446
ACH-000227,-0.37054252237492813
ACH-000228,-0.4883541664753781
ACH-000231,-0.4430428218096401
ACH-000232,-0.2549584934532625
ACH-000233,-0.15673138388098393
ACH-000234,-0.22401473400694366
ACH-000235,-0.2987285913812713
ACH-000237,-0.1916904305096463
ACH-000238,-0.251525657718453
ACH-000242,-0.6176986297898303
ACH-000243,-0.3546500147018002
ACH-000244,-0.3384882899901578
ACH-000246,-0.2594326981679884
ACH-000248,-0.4922776794024381
ACH-000250,-0.3332346658166811
ACH-000251,-0.14816583560020516
ACH-000252,-0.6071461087028363
ACH-000253,-0.5007035106178108
ACH-000255,-0.4973786888616114
ACH-000256,-0.2097815454148313
ACH-000257,-0.3175812991113886
ACH-000258,-0.1191148303117886
ACH-000259,-0.13729788226771056
ACH-000260,-0.14482935351691212
ACH-000261,-0.3675496027236484
ACH-000262,-0.6458422156790579
ACH-000263,-0.4224322070665314
ACH-000264,-0.5087483783342304
ACH-000265,-0.28791183425714484
ACH-000266,-0.298552812471406
ACH-000272,-0.3044235269195439
ACH-000274,-0.2597476358927873
ACH-000277,-0.2152425296927212
ACH-000278,-0.04643949076208823
ACH-000279,-0.1939043698322222
ACH-000280,-0.25954311570433664
ACH-000281,-0.24936307388118184
ACH-000288,-0.2280354494429029
ACH-000291,-0.3689469146815375
ACH-000293,-0.06786288383556466
ACH-000294,-0.21820382215024406
ACH-000295,-0.259432305243261
ACH-000296,-0.6202222446038427
ACH-000302,-0.2909398790310961
ACH-000304,-0.430902696358748
ACH-000307,-0.3726012580515589
ACH-000308,-0.3601107773603449
ACH-000310,-0.2996538340188404
ACH-000311,-0.3853756913981513
ACH-000312,-0.20892610299211545
ACH-000315,-0.22668007446231456
ACH-000316,-0.433229321447866
ACH-000317,-0.4508634439948632
ACH-000318,-0.2042677738954429
ACH-000319,-0.37457950348962704
ACH-000320,-0.3823901608309832
ACH-000322,-0.5830707841477795
ACH-000323,-0.3048583767131803
ACH-000324,-0.1980285472631815
ACH-000329,-0.2226509711428653
ACH-000330,-0.4644200814105653
