,TRMT10C (54931)
ACH-000004,-0.3603677092959448
ACH-000005,-0.190565454115251
ACH-000007,-0.4283167579607383
ACH-000009,-0.2597333038321536
ACH-000011,-0.2254959877519409
ACH-000012,-0.4756702628268899
ACH-000013,-0.3222298359550699
ACH-000014,-0.3179009333945555
ACH-000015,-0.32346676787776163
ACH-000017,-0.35221560090151155
ACH-000018,-0.4800090271898543
ACH-000019,-0.416048860969364
ACH-000021,-0.4595871525583138
ACH-000022,-0.2987953654693851
ACH-000025,-0.382529371583728
ACH-000028,-0.40071212986082216
ACH-000030,-0.2368804435703131
ACH-000035,-0.5419562278305825
ACH-000036,-0.221988814278869
ACH-000037,-0.18328575261729774
ACH-000039,-0.564948484533413
ACH-000040,-0.2680898965178684
ACH-000041,-0.4107948383950404
ACH-000042,-0.28533913193487825
ACH-000045,-0.4834898524559073
ACH-000047,-0.6035492560356488
ACH-000052,-0.2363845758404037
ACH-000053,-0.34776733081665595
ACH-000054,-0.4172605389815968
ACH-000055,-0.2600974866154697
ACH-000060,-0.4967298505479976
ACH-000067,-0.5557200898820591
ACH-000070,-0.28771720127798817
ACH-000075,-0.3008284884929244
ACH-000078,-0.2547694055587437
ACH-000082,-0.21580307492496645
ACH-000085,-0.3987640742922937
ACH-000086,-0.5012195849927449
ACH-000087,-0.2300471290254219
ACH-000092,-0.3027018320117125
ACH-000095,-0.1384004492885041
ACH-000097,-0.4694377624152055
ACH-000098,-0.2694800110426808
ACH-000099,-0.3670413176825373
ACH-000108,-0.3515536274996189
ACH-000113,-0.4746070676581721
ACH-000116,-0.4127604029650056
ACH-000118,-0.4632529298177122
ACH-000120,-0.3135288329555079
ACH-000123,-0.4301086003856236
ACH-000127,-0.4388497307423324
ACH-000128,-0.5288706047709413
ACH-000132,-0.3593926890940674
ACH-000133,-0.4373070830229607
ACH-000137,-0.3328213338574205
ACH-000138,-0.3068606381452331
ACH-000142,-0.1917142490090448
ACH-000143,-0.4817331082226158
ACH-000146,-0.4821730696659566
ACH-000148,-0.28259212210139056
ACH-000150,-0.3708628556697629
ACH-000152,-0.4381456465163268
ACH-000153,-0.6448356082333317
ACH-000159,-0.3558383525489063
ACH-000160,-0.5453379390873909
ACH-000163,-0.4048497449585837
ACH-000167,-0.2648138189396643
