,SET (6418)
ACH-000004,-0.5132893352269349
ACH-000005,-0.5831488006390939
ACH-000007,-0.377521184355726
ACH-000009,-0.3021159196480226
ACH-000011,-0.4156796822378904
ACH-000012,-0.5112036637410584
ACH-000013,-0.3427414429016617
ACH-000014,-0.20616021920738867
ACH-000015,-0.2598837567194949
ACH-000017,-0.36373702024397797
ACH-000018,-0.14769915724864316
ACH-000019,-0.6229798974743537
ACH-000021,-0.3480079885907004
ACH-000022,-0.2705153520455951
ACH-000025,-0.42672457698556426
ACH-000028,-0.4445980739885119
ACH-000030,-0.2902166994750644
ACH-000035,-0.1795329096230253
ACH-000036,-0.4604514234227643
ACH-000037,-0.5783977431467408
ACH-000039,-0.4399877581569925
ACH-000040,-0.5440558786500165
ACH-000041,-0.3457458592577068
ACH-000042,-0.4250126924079475
ACH-000045,-0.2469619357184472
ACH-000047,-0.29986877336263323
ACH-000052,-0.4831372106426856
ACH-000053,-0.2770305094927209
ACH-000054,-0.4057549902350909
ACH-000055,-0.2231800772542972
ACH-000060,-0.4909948623930429
ACH-000067,-0.4175090700062773
ACH-000070,-0.4213385797700184
ACH-000075,-0.2626317507745129
ACH-000078,-0.4164760816619433
ACH-000082,-0.43498146291266
ACH-000085,-0.14942830542660085
ACH-000086,-0.4409888549219962
ACH-000087,-0.4575877088700563
ACH-000092,-0.4704733548461199
ACH-000095,-0.4458084725464557
ACH-000097,-0.4769035022503414
ACH-000098,-0.4001379225493122
ACH-000099,-0.4637316798483789
ACH-000108,-0.3977665653189806
ACH-000113,-0.2716281413800655
ACH-000116,-0.3852799574602092
ACH-000118,-0.3178884510136016
ACH-000120,-0.32660031149508106
ACH-000123,-0.3528474551004057
ACH-000127,-0.3075869085274165
ACH-000128,-0.3219005250264445
ACH-000132,-0.2767809732132434
ACH-000133,-0.3236723027190453
ACH-000137,-0.33560894411299314
ACH-000138,-0.3663360987789153
ACH-000142,-0.3197158423137682
ACH-000143,-0.22865419587131336
ACH-000146,-0.10310439683036024
ACH-000148,-0.4531203383048941
ACH-000150,-0.4931831821246467
ACH-000152,-0.3017944747076789
ACH-000153,-0.2150365329891813
ACH-000159,-0.4630579315711523
