,UBE2I (7329)
ACH-000004,-0.7092525909723953
ACH-000005,-0.4162934858795372
ACH-000007,-0.8902671269450937
ACH-000009,-0.8738667650399159
ACH-000011,-0.566319896521272
ACH-000012,-0.7921327475339344
ACH-000013,-0.7446857757871167
ACH-000014,-0.6602821475812426
ACH-000015,-0.9598726835081479
ACH-000017,-0.4741411816343486
ACH-000018,-1.0818960013550636
ACH-000019,-0.7304755029745411
ACH-000021,-0.8762262320014115
ACH-000022,-0.6923222869251446
ACH-000025,-0.8037446219705933
ACH-000028,-0.7729394719821094
ACH-000030,-0.6677845719064792
ACH-000035,-0.7822050257812849
ACH-000036,-0.5550551274406672
ACH-000037,-0.6107721403395725
ACH-000039,-0.9201244078722532
ACH-000040,-0.6851098119505971
ACH-000041,-0.8810220080591435
ACH-000042,-0.7562654822810857
ACH-000045,-0.6641763392232979
ACH-000047,-0.7546222438389506
ACH-000052,-0.8443114880593383
ACH-000053,-0.4302410473925471
ACH-000054,-0.9674939421458992
ACH-000055,-0.7357132481995766
ACH-000060,-0.8413563512470665
ACH-000067,-1.1232526784579573
ACH-000070,-0.4311283797463509
ACH-000075,-0.6528173598236612
ACH-000078,-0.8269104957506829
ACH-000082,-0.8269396469989887
ACH-000085,-0.9644168794746744
ACH-000086,-0.9438431542558532
ACH-000087,-0.904183325958196
ACH-000092,-0.9546677828969408
ACH-000095,-0.8648053288185643
ACH-000097,-0.4761532584211713
ACH-000098,-0.9140133666227004
ACH-000099,-0.88917632922307
ACH-000108,-0.7685017823275617
ACH-000113,-0.7957166872165431
ACH-000116,-0.7835851165887487
ACH-000118,-0.665980450114569
ACH-000120,-0.7871573034903381
ACH-000123,-0.8880037340480509
ACH-000127,-0.8996566697635024
ACH-000128,-0.7980162642073482
ACH-000132,-0.7800358127030049
ACH-000133,-0.8733387714799709
ACH-000137,-0.7112212701965765
ACH-000138,-0.7965125009692565
ACH-000142,-0.7251919615597175
ACH-000143,-1.0783161751283623
ACH-000146,-0.6673874143413235
ACH-000148,-0.9585595725525684
ACH-000150,-0.7158006834762802
ACH-000152,-0.8432651831135894
ACH-000153,-0.9355667048059674
ACH-000159,-0.8465150100059631
ACH-000160,-0.3654213296879703
ACH-000163,-0.658081786155049
ACH-000167,-0.4745079374789776
ACH-000168,-0.7112967206666608
ACH-000169,-0.9178479723753796
ACH-000178,-0.7315878240528813
ACH-000183,-0.7272404390645056
ACH-000188,-0.8362133867411128
ACH-000189,-0.8262385977378408
ACH-000190,-0.2948459352166046
ACH-000198,-0.6093007059025156
ACH-000203,-0.6755837952065926
ACH-000204,-0.6006026008605381
ACH-000206,-0.5573433379282398
ACH-000207,-0.5257688390146167
ACH-000208,-0.6826352494782236
ACH-000210,-0.9785982806776916
ACH-000211,-1.0061920607762576
