,ARHGAP11A (9824)
ACH-000004,-0.461878181310055
ACH-000005,-0.27067470723197073
ACH-000007,-0.1264001440157219
ACH-000009,-0.2531986886908436
ACH-000011,-0.1880196773034613
ACH-000012,-0.26843143954375376
ACH-000013,-0.08717069107586609
ACH-000014,-0.4186658009424004
ACH-000015,-0.2283799137850185
ACH-000017,-0.2316690388512135
ACH-000018,-0.02515503966271437
ACH-000019,-0.2064924436879998
ACH-000021,-0.17663970742134574
ACH-000022,-0.1482659147710447
ACH-000025,-0.3722347400656961
ACH-000028,-0.05494777287771889
ACH-000030,-0.21191912302357965
ACH-000035,-0.06132849638266564
ACH-000036,-0.25030251761633554
ACH-000037,-0.15721347829544904
ACH-000039,0.032113239978598065
ACH-000040,-0.21542393252077585
ACH-000041,-0.07055462182311675
ACH-000042,-0.16830794305795968
ACH-000045,-0.20058418130530284
ACH-000047,-0.29975114780537665
ACH-000052,0.003545680059332633
ACH-000053,-0.2342570522491821
ACH-000054,-0.4113054016558882
ACH-000055,-0.2651222693330517
ACH-000060,-0.10389077582033797
ACH-000067,-0.2803801182309854
ACH-000070,-0.23751089769229106
ACH-000075,-0.3405641655036021
ACH-000078,-0.1479120147756977
ACH-000082,-0.2310974206363708
ACH-000085,-0.38339083716987865
ACH-000086,-0.2411063416763927
ACH-000087,-0.011781295378811427
ACH-000092,-0.2333915264230747
ACH-000095,-0.08491350059756686
ACH-000097,-0.7111273625501792
ACH-000098,-0.2157100078647382
ACH-000099,-0.03881828180899489
ACH-000108,-0.1793043477318999
ACH-000113,-0.22494976203109696
ACH-000116,-0.1835662891523692
ACH-000118,-0.15592886690510396
ACH-000120,-0.4069991657555842
ACH-000123,-0.13240703250429736
ACH-000127,-0.19494364046774929
ACH-000128,-0.2813580623902127
ACH-000132,-0.2310697615942692
ACH-000133,-0.3477452989311287
ACH-000137,-0.11263746957650315
ACH-000138,-0.019889214118223718
ACH-000142,-0.15723711460977335
ACH-000143,-0.26187362502912503
ACH-000146,-0.5637507058719645
ACH-000148,-0.2703702593561437
ACH-000150,-0.28524598705287235
ACH-000152,-0.2538792293206562
ACH-000153,-0.5924397142484122
ACH-000159,-0.26184035614901685
ACH-000160,-0.2613454636620453
ACH-000163,-0.15324450677015927
ACH-000167,-0.40326510248995545
ACH-000168,-0.1771907940105887
ACH-000169,-0.1635620813824479
ACH-000178,-0.2983458320343899
ACH-000183,-0.3177746657720578
ACH-000188,-0.11101339730377566
ACH-000189,-0.15895901136880727
ACH-000190,-0.2130475770638792
ACH-000198,-0.1336040336042679
ACH-000203,-0.03566724922154257
ACH-000204,-0.2632720658660346
ACH-000206,-0.1989524761480896
ACH-000207,-0.058840746790258976
