,PTPRM (5797)
ACH-000004,0.04604118518972549
ACH-000005,-0.1321025929845281
ACH-000007,-0.10781037644962266
ACH-000009,-0.13135716360501967
ACH-000011,-0.08728212244456714
ACH-000012,-0.08241212549458794
ACH-000013,-0.000790022060204593
ACH-000014,-0.11662841260082557
ACH-000015,-0.008371612447981118
ACH-000017,-0.11477495893539645
ACH-000018,0.1101527626841053
ACH-000019,-0.11946282042310545
ACH-000021,-0.06355926931713049
ACH-000022,-0.11420327399183845
ACH-000025,0.11245082614948954
ACH-000028,-0.15715759720326414
ACH-000030,-0.02666883726691773
ACH-000035,-0.1054387287473502
ACH-000036,-0.07159390002153537
ACH-000037,-0.15845150087194068
ACH-000039,-0.07971489967448332
ACH-000040,-0.0830016162906087
ACH-000041,-0.08968315121267081
ACH-000042,-0.11392134131331498
ACH-000045,-0.1272163972136967
ACH-000047,0.004743822668795489
ACH-000052,-0.14122877791056376
ACH-000053,0.0007283985431503433
ACH-000054,-0.055408057911706776
ACH-000055,-0.05005090386556784
ACH-000060,0.00458874661554036
ACH-000067,-0.06328031190536458
ACH-000070,-0.15365900285032824
ACH-000075,0.03279908571774131
ACH-000078,-0.080120196655179
ACH-000082,-0.01890874343538401
ACH-000085,0.05820780182189263
ACH-000086,-0.02616267323317205
ACH-000087,0.031407518092051466
ACH-000092,-0.045307859835062685
ACH-000095,-0.07820870125987442
ACH-000097,-0.11063843323455773
ACH-000098,-0.019283208479155847
ACH-000099,-0.11804582240709766
ACH-000108,-0.13072906589671993
ACH-000113,-0.0948079392695996
ACH-000116,-0.07147701472300794
ACH-000118,-0.02370380517669365
ACH-000120,-0.04487342837285705
ACH-000123,-0.016222806504551414
ACH-000127,-0.11330422828546127
ACH-000128,-0.10338265111118372
ACH-000132,-0.07928106976111672
ACH-000133,-0.014560047592808332
ACH-000137,-0.09942304567054357
ACH-000138,-0.17531640639674367
ACH-000142,-0.12511650646983852
ACH-000143,-0.0683197747624164
ACH-000146,-0.03391279922103148
ACH-000148,-0.08462898336560026
ACH-000150,-0.23870016153013696
ACH-000152,-0.056579713241240025
ACH-000153,0.05218664802598081
ACH-000159,-0.11660143114318397
ACH-000160,-0.06026869465053285
ACH-000163,-0.014047962952224031
ACH-000167,-0.0077842907514535375
ACH-000168,0.011532747457834856
ACH-000169,-0.010149163702267013
ACH-000178,-0.11508269445779658
ACH-000183,0.05407676747686596
ACH-000188,-0.033636431848469144
ACH-000189,-0.1939647547038288
ACH-000190,-0.052880614291474816
ACH-000198,-0.07712257341025736
ACH-000203,0.24021238432355224
ACH-000204,0.07976085127008749
ACH-000206,0.05916428850561641
ACH-000207,-0.1122523110328341
ACH-000208,0.1123966081406694
ACH-000210,-0.191606340079134
ACH-000211,-0.10409818856722833
ACH-000215,-0.16082711141926126
ACH-000221,-0.05208945183722827
ACH-000222,-0.09042514209204353
ACH-000223,-0.10728186902068243
ACH-000226,-0.058743893921756725
ACH-000227,-0.2117491585240713
ACH-000228,-0.07065965262698481
ACH-000231,-0.05198295286710191
ACH-000232,-0.19108474352137012
ACH-000233,-0.15505494661917987
ACH-000234,-0.04922263907239418
ACH-000235,-0.13578397102685175
ACH-000237,-0.10256113038531058
ACH-000238,-0.0745300345972973
ACH-000242,-0.13045544691546182
ACH-000243,-0.06365460130512955
ACH-000244,-0.18341905200020825
ACH-000246,-0.20284507598014315
ACH-000248,-0.09319780993212427
