,TUFM (7284)
ACH-000004,-0.15466163156625726
ACH-000005,-0.1832075297359375
ACH-000007,-0.465669640243889
ACH-000009,-0.1995754209845889
ACH-000011,-0.042755168286986986
ACH-000012,-0.4196121084869684
ACH-000013,-0.4051108961714254
ACH-000014,-0.12770513948243978
ACH-000015,-0.4462850633766316
ACH-000017,-0.19366892957830512
ACH-000018,-0.3149077015093719
ACH-000019,-0.29467402505811896
ACH-000021,-0.2069347094364604
ACH-000022,-0.34933047814676865
ACH-000025,-0.2573966124971318
ACH-000028,-0.4833311066035093
ACH-000030,-0.004489541865223917
ACH-000035,-0.39778925271856735
ACH-000036,-0.19741524497538807
ACH-000037,-0.030423562171738232
ACH-000039,-0.5117898088405669
ACH-000040,-0.13190449744388522
ACH-000041,-0.14306835229958542
ACH-000042,-0.0743190716289203
ACH-000045,-0.4162492117846829
ACH-000047,-0.15207824833166228
ACH-000052,-0.2915416134919909
ACH-000053,-0.16402813670987382
ACH-000054,-0.2379059749279059
ACH-000055,-0.009900469810323515
ACH-000060,-0.0159747386650066
ACH-000067,-0.2800020559396035
ACH-000070,-0.209183422325721
ACH-000075,-0.4399374823905641
ACH-000078,0.011726130548244843
ACH-000082,-0.2831195919239285
ACH-000085,-0.2517960230394916
ACH-000086,-0.34812076191505703
ACH-000087,-0.4143964702152354
ACH-000092,-0.13996080023863788
ACH-000095,-0.12994541499398324
ACH-000097,-0.2678488596135121
ACH-000098,-0.3389137890385268
ACH-000099,-0.2464820878703799
ACH-000108,-0.08517471864569118
ACH-000113,-0.34729832150777823
ACH-000116,-0.3056508699324336
ACH-000118,-0.2366002394889574
ACH-000120,-0.15290567495873605
ACH-000123,-0.18053849655450285
ACH-000127,-0.3231345367394671
ACH-000128,-0.2099282832662283
ACH-000132,-0.41580180393121696
ACH-000133,-0.19651563304466585
ACH-000137,-0.4342360662854676
ACH-000138,-0.1892005503017467
ACH-000142,-0.10400697610740844
ACH-000143,-0.23970847060326164
ACH-000146,-0.1958939690838812
ACH-000148,-0.4526230905897431
ACH-000150,-0.4507144366401541
ACH-000152,-0.19508427773813064
ACH-000153,-0.4327802228553945
ACH-000159,-0.17397928503625487
ACH-000160,-0.30289588741496914
ACH-000163,-0.1809047830467212
ACH-000167,-0.5373592152221728
ACH-000168,0.0827681787993734
ACH-000169,-0.16998254959133788
ACH-000178,-0.20979405865595152
ACH-000183,-0.22226319912865286
ACH-000188,-0.16743872091931267
ACH-000189,-0.26470748536633965
ACH-000190,-0.2666516488136404
ACH-000198,-0.25503734246786497
ACH-000203,0.12818277462269456
ACH-000204,-0.4833296353691937
ACH-000206,0.034403326773019625
ACH-000207,-0.3134642174419006
ACH-000208,-0.11931829915290025
ACH-000210,-0.14091608535710354
ACH-000211,-0.2036788782954272
ACH-000215,-0.24024449312169094
ACH-000221,-0.3030556331885066
ACH-000222,-0.0495095239907194
ACH-000223,-0.367466527191673
ACH-000226,-0.2001167962303443
ACH-000227,-0.275224084652892
ACH-000228,-0.3406704249678565
ACH-000231,-0.2935446045226163
ACH-000232,-0.275267854816957
ACH-000233,-0.3467413349102265
ACH-000234,-0.334380349090081
ACH-000235,-0.21449858479569275
ACH-000237,-0.0660373284807615
ACH-000238,-0.23570475492199
ACH-000242,-0.3350411729382177
ACH-000243,-0.2983197732683732
ACH-000244,-0.15793623696080075
ACH-000246,-0.23765313459536955
ACH-000248,-0.5099498488399564
ACH-000250,-0.08361399133953723
ACH-000251,-0.22979072641997975
ACH-000252,-0.5124901997446064
ACH-000253,-0.11960122979606005
ACH-000255,-0.39501171749142416
ACH-000256,-0.14473470809009273
ACH-000257,-0.15177699305119138
ACH-000258,-0.14918427987700014
ACH-000259,-0.3298054550831093
ACH-000260,-0.3072502473769733
