,CCDC144NL (339184)
ACH-000004,-0.13773287335026926
ACH-000005,0.033919387742317536
ACH-000007,-0.3018766367306517
ACH-000009,-0.5512252182084085
ACH-000011,-0.34890753407276376
ACH-000012,-0.4382636613582857
ACH-000013,-0.4887972936217093
ACH-000014,-0.2388136024671341
ACH-000015,-0.4329892747225741
ACH-000017,-0.2999472564898857
ACH-000018,-0.4367153606743989
ACH-000019,-0.5175796211975288
ACH-000021,-0.454236131315016
ACH-000022,-0.5408806564062008
ACH-000025,-0.3308350269927949
ACH-000028,-0.4219184734848713
ACH-000030,-0.33389688705771353
ACH-000035,-0.14865845935510974
ACH-000036,-0.3331426294208928
ACH-000037,-0.4549929896340758
ACH-000039,-0.31122830367108617
ACH-000040,-0.43527820278215706
ACH-000041,-0.379316285449085
ACH-000042,-0.5206023597621435
ACH-000045,-0.24827996212017164
ACH-000047,-0.2491193014426677
ACH-000052,-0.2907181878055277
ACH-000053,-0.2279499034781863
ACH-000054,-0.35447262309943506
ACH-000055,-0.09441975145572552
ACH-000060,-0.5210851256682472
ACH-000067,-0.5910415355206329
ACH-000070,-0.3102603839334375
ACH-000075,-0.4974791748298646
ACH-000078,-0.4617366302793197
ACH-000082,-0.6906333214042242
ACH-000085,-0.38214471510627374
ACH-000086,-0.512262480241585
ACH-000087,-0.6882192273504203
ACH-000092,-0.3160253211519896
ACH-000095,-0.4666870927121722
ACH-000097,-0.5194951701525503
ACH-000098,-0.3221940258740206
ACH-000099,-0.5109190937651914
ACH-000108,-0.3970410825473675
ACH-000113,-0.4109109822935321
ACH-000116,-0.23602165571764144
ACH-000118,-0.2744136400327617
ACH-000120,-0.4310156463091817
ACH-000123,-0.4813386247863053
ACH-000127,-0.3055393843783641
ACH-000128,-0.2300475555680701
ACH-000132,-0.3895965887300188
ACH-000133,-0.4227526140728723
ACH-000137,-0.2236873531523272
ACH-000138,-0.30625739136045393
ACH-000142,-0.425135048706118
ACH-000143,-0.3788077397077719
ACH-000146,-0.2638905831463771
ACH-000148,-0.4599854316026668
ACH-000150,-0.6707817247532072
ACH-000152,-0.616254385087743
ACH-000153,-0.8816946621698624
ACH-000159,-0.24287544878159026
ACH-000160,-0.26819376111627496
ACH-000163,-0.35577856579453226
ACH-000167,-0.6692831668889528
ACH-000168,-0.3190648466349381
ACH-000169,-0.2389713514873127
ACH-000178,-0.2531003503082972
ACH-000183,-0.09832008022229613
ACH-000188,-0.5542214708995844
ACH-000189,-0.21537544275277432
ACH-000190,-0.2679718467691078
ACH-000198,-0.3171248033756409
ACH-000203,-0.19665392772232607
ACH-000204,-0.2851315657895175
ACH-000206,-0.08429948603896707
ACH-000207,-0.4481337908817201
ACH-000208,-0.19364705576007246
ACH-000210,-0.1713454218737601
ACH-000211,-0.43035483098354815
ACH-000215,-0.2372201767380107
ACH-000221,-0.3876868556978833
ACH-000222,-0.2241460315691847
ACH-000223,-0.3878192219806978
ACH-000226,-0.3130286660742527
ACH-000227,-0.33927625950340273
ACH-000228,-0.2980517406480356
ACH-000231,-0.3549275145522032
ACH-000232,-0.3445316461521872
ACH-000233,-0.264770455449003
ACH-000234,-0.18366260811833626
ACH-000235,-0.36969048692024203
ACH-000237,-0.2350450853811268
ACH-000238,-0.6038353328983134
ACH-000242,-0.3831443741017031
ACH-000243,-0.3787617001058092
ACH-000244,-0.6674382719205864
ACH-000246,-0.3450202148700408
ACH-000248,-0.5119800734545534
ACH-000250,-0.3924044547760913
ACH-000251,-0.6329658489766234
ACH-000252,-0.20136667867423536
ACH-000253,-0.3901271845001157
ACH-000255,-0.3562308492112661
ACH-000256,-0.5420758063923335
ACH-000257,-0.35571330445335986
ACH-000258,-0.2920737050457821
ACH-000259,-0.35007039298571546
ACH-000260,-0.31019205652167403
ACH-000261,-0.2290904019275728
ACH-000262,-0.3001036479140442
ACH-000263,-0.2989747256993415
ACH-000264,-0.3520352927311155
ACH-000265,-0.2101368527796429
ACH-000266,-0.3833895599363746
ACH-000272,-0.33700013740609364
ACH-000274,-0.41267780211637
ACH-000277,-0.553518864351245
ACH-000278,-0.3601156990620043
ACH-000279,-0.3297868828450106
ACH-000280,-0.3340829615140873
