,SHMT2 (6472)
ACH-000004,-0.364651845622146
ACH-000005,-0.12076011358348845
ACH-000007,-0.25273239927563185
ACH-000009,-0.14178673016418256
ACH-000011,-0.3625855952316291
ACH-000012,-0.17927769673369806
ACH-000013,-0.26217091060973874
ACH-000014,-0.1478635235799604
ACH-000015,-0.21931522010004548
ACH-000017,-0.15274348071531954
ACH-000018,-0.28768981097865376
ACH-000019,-0.2100918876648073
ACH-000021,-0.25138521012743786
ACH-000022,-0.13105279135943365
ACH-000025,-0.16409284904877974
ACH-000028,-0.13750804688594154
ACH-000030,-0.17373193526124944
ACH-000035,-0.2489611212208529
ACH-000036,-0.12205624209495075
ACH-000037,-0.3527426092132825
ACH-000039,-0.24073169390199214
ACH-000040,-0.2594615213439905
ACH-000041,-0.4332108383293797
ACH-000042,-0.2142184113296568
ACH-000045,0.04497966201100001
ACH-000047,-0.15377054541438792
ACH-000052,-0.15781547911836122
ACH-000053,-0.2920898255232664
ACH-000054,-0.018027472453466833
ACH-000055,0.03731870432751857
ACH-000060,0.0614868816258668
ACH-000067,-0.2576938073070237
ACH-000070,-0.2036438597793928
ACH-000075,-0.10029425747452707
ACH-000078,-0.13601198092689365
ACH-000082,-0.2306679192517106
ACH-000085,-0.1763700656413167
ACH-000086,-0.27436325356331426
ACH-000087,-0.3847056732803371
ACH-000092,-0.1830940218324808
ACH-000095,-0.056913125921384186
ACH-000097,-0.24081775083775686
ACH-000098,-0.07433286035737399
ACH-000099,-0.054811597088392734
ACH-000108,-0.038385214546888584
ACH-000113,-0.20183814973393951
ACH-000116,-0.07420029724237857
ACH-000118,-0.1969832164326807
ACH-000120,-0.035121780918284426
ACH-000123,-0.13378096965948946
ACH-000127,-0.19087798410979767
ACH-000128,-0.21864343981979475
ACH-000132,0.032762294261832345
ACH-000133,-0.2912897784071883
ACH-000137,-0.3066861044943845
ACH-000138,-0.2422609638290237
ACH-000142,-0.11814374178876925
ACH-000143,-0.1136136536640347
ACH-000146,-0.23332837296935374
