,HMGA1 (3159)
ACH-000004,-0.7399743490750713
ACH-000005,-0.2221620975321424
ACH-000007,-0.5794057256619387
ACH-000009,-0.44138250199538775
ACH-000011,-0.3120457566692456
ACH-000012,-0.4505450220423342
ACH-000013,-0.4623870811429274
ACH-000014,-0.6452339209686069
ACH-000015,-0.3939034839209814
ACH-000017,-0.391502889734162
ACH-000018,-0.4568818687714554
ACH-000019,-0.1298224065600497
ACH-000021,-0.5466324173115037
ACH-000022,-0.4230689088637644
ACH-000025,-0.7657578526271259
ACH-000028,-0.3087923118923979
ACH-000030,-0.3334345235210765
ACH-000035,-0.6308488341036999
ACH-000036,-0.37339794546360855
ACH-000037,-0.5506474465588341
ACH-000039,-0.5734470904525849
ACH-000040,-0.5047042316117386
ACH-000041,-0.38684840765915696
ACH-000042,-0.5243286722598175
ACH-000045,-0.4338831964211545
ACH-000047,-0.4331304481175961
ACH-000052,-0.5028152313040849
ACH-000053,-0.25802364504273995
ACH-000054,-0.42513615860032056
ACH-000055,-0.5709615829761834
ACH-000060,-0.5930685621026314
ACH-000067,-0.5506206128923964
ACH-000070,-0.4873522726254793
ACH-000075,-0.3329243598013749
ACH-000078,-0.6396085057073913
ACH-000082,-0.3533407364005663
ACH-000085,-0.4665500698679571
ACH-000086,-0.6376667734486254
ACH-000087,-0.6446295459193649
ACH-000092,-0.5156433346666182
ACH-000095,-0.5210471725931871
ACH-000097,-0.3227912063798356
ACH-000098,-0.3822695982232858
ACH-000099,-0.44647860601499934
ACH-000108,-0.4233223507679529
ACH-000113,-0.458927408311338
ACH-000116,-0.3470538252483085
ACH-000118,-0.5256265954387346
ACH-000120,-0.5936961304271936
ACH-000123,-0.4602099170323264
ACH-000127,-0.5285361099672229
ACH-000128,-0.5139291577448007
ACH-000132,-0.6142438292531147
ACH-000133,-0.5121054071139827
ACH-000137,-0.3575683185705007
ACH-000138,-0.4733780793299292
ACH-000142,-0.5073855009080509
ACH-000143,-0.7029863502857896
ACH-000146,-0.3752877908186351
ACH-000148,-0.4994564448020194
ACH-000150,-0.5176489599163879
ACH-000152,-0.5099993177117657
ACH-000153,-0.5212628296716438
ACH-000159,-0.5851318096966146
ACH-000160,-0.28153105598544825
ACH-000163,-0.41293574231386604
ACH-000167,0.020735503997553795
ACH-000168,-0.5170605136029774
ACH-000169,-0.5645356392273817
ACH-000178,-0.4569804418181883
ACH-000183,-0.7234368354248062
ACH-000188,-0.4280006686475488
ACH-000189,-0.411071537065693
ACH-000190,-0.17861969619864693
ACH-000198,-0.4272937671857757
ACH-000203,-1.0604056959087829
ACH-000204,-0.4144074729284796
ACH-000206,-0.31241330899130204
ACH-000207,-0.4010617747626289
ACH-000208,-0.5197246417471045
ACH-000210,-0.4255592453234325
ACH-000211,-0.4795729267335148
ACH-000215,-0.4829140759268083
ACH-000221,-0.4101763589792876
ACH-000222,-0.5107091057065098
ACH-000223,-0.5639618219286111
ACH-000226,-0.46164239266591206
ACH-000227,-0.5733633815479438
ACH-000228,-0.7109731337612809
ACH-000231,-0.4098985682276057
ACH-000232,-0.5264724108372321
ACH-000233,-0.508327395372514
ACH-000234,-0.4226565094135198
ACH-000235,-0.4775348764734275
ACH-000237,-0.450310611528368
ACH-000238,-0.3957006901005193
ACH-000242,-0.19370854262393514
ACH-000243,-0.217582079212746
ACH-000244,-0.3513222502548101
ACH-000246,-0.5451316046272752
ACH-000248,-0.4514651251174262
ACH-000250,-0.4453226244982011
ACH-000251,-0.21790603546807952
ACH-000252,-0.35922627154895315
ACH-000253,-0.5791389422159507
ACH-000255,-0.5089823338870152
ACH-000256,-0.3852278229531282
ACH-000257,-0.4598077178650282
ACH-000258,-0.3394402119188453
ACH-000259,-0.3996036147173304
ACH-000260,-0.5865364761935582
ACH-000261,-0.4201420253502394
ACH-000262,-0.3811385755615037
ACH-000263,-0.680893670943783
ACH-000264,-0.6053701907500788
ACH-000265,-0.3945450889253989
ACH-000266,-0.50454342488671
ACH-000272,-0.4128800586192768
ACH-000274,-0.5727118215990693
ACH-000277,-0.3803321348481419
ACH-000278,-0.4992886084295735
ACH-000279,-0.5109651155189994
ACH-000280,-0.6163533148187992
ACH-000281,-0.4125990279062242
ACH-000288,-0.4564013939546232
ACH-000291,-0.42373742729749386
ACH-000293,-0.3951669357339873
ACH-000294,-0.4713110692712708
ACH-000295,-0.3905216627623317
ACH-000296,-0.6183024482428591
ACH-000302,-0.3939007442145825
ACH-000304,-0.3683754791993259
ACH-000307,-0.4726995658816207
ACH-000308,-0.4378387840299179
ACH-000310,-0.5168705487387726
ACH-000311,-0.5567318687803879
ACH-000312,-0.3399044230687893
ACH-000315,-0.5906003785485745
ACH-000316,-0.5446431494310997
ACH-000317,-0.640522131465763
ACH-000318,-0.6970187874324264
ACH-000319,-0.41874015666072695
ACH-000320,-0.19412305296228385
ACH-000322,-0.6566933332396058
ACH-000323,-0.4085526691226258
ACH-000324,-0.34029763025921983
ACH-000329,-0.5051725845708926
ACH-000330,-0.4764096018857607
ACH-000331,-0.6304628512378856
ACH-000332,-0.4277301381890593
ACH-000334,-0.6374983640300587
ACH-000335,-0.661492074586021
ACH-000336,-0.3415311479096878
ACH-000337,-0.548653680301761
ACH-000338,-0.033663734034425234
ACH-000339,-0.4412712940974875
ACH-000341,-0.3608430666353861
ACH-000348,-0.5100481987811281
ACH-000350,-0.5280488687396386
ACH-000352,-0.4770520311993065
ACH-000356,-0.4301169802364885
