,EIF4ENIF1 (56478)
ACH-000004,0.02254753206730881
ACH-000005,0.019505710784203892
ACH-000007,-0.17071238652201695
ACH-000009,-0.06963346714585318
ACH-000011,-0.025628612966877268
ACH-000012,-0.3430335473137319
ACH-000013,-0.08948523185988644
ACH-000014,-0.1777433903040183
ACH-000015,-0.08189991671456022
ACH-000017,0.04983592072730092
ACH-000018,-0.16645357133870606
ACH-000019,-0.21077956773021012
ACH-000021,-0.10440565314709062
ACH-000022,-0.06900329573501261
ACH-000025,-0.18529859415282884
ACH-000028,-0.16063389438727627
ACH-000030,-0.17451918686857434
ACH-000035,-0.041787925818645495
ACH-000036,-0.3104372700942968
ACH-000037,-0.17018673338627915
ACH-000039,-0.1624404544183777
ACH-000040,-0.2754951680925407
ACH-000041,-0.14648717660741953
ACH-000042,-0.22719534005433364
ACH-000045,-0.012826971796631642
ACH-000047,-0.2524835701074535
ACH-000052,0.051853794713320765
ACH-000053,-0.08948333785674566
ACH-000054,-0.045221079464467205
ACH-000055,-0.23561541996749236
ACH-000060,-0.4306210114240697
ACH-000067,-0.12088923531449294
ACH-000070,-0.035175310698648064
ACH-000075,-0.3901063126509107
ACH-000078,-0.2806075297147401
ACH-000082,0.022073427599401955
ACH-000085,-0.32695978785445234
ACH-000086,0.04954393623648333
ACH-000087,-0.008128359312399127
ACH-000092,-0.2458040632170349
ACH-000095,-0.038684660955476666
ACH-000097,-0.10187794770265132
ACH-000098,-0.07671109901865843
ACH-000099,-0.08569828680592591
ACH-000108,-0.3473203046274585
ACH-000113,-0.13102257584764074
ACH-000116,-0.10935243948182964
ACH-000118,-0.2645584396553032
ACH-000120,-0.3030507010507061
ACH-000123,-0.1634388115087107
ACH-000127,-0.04865350282002401
ACH-000128,-0.17439844023307874
ACH-000132,-0.014204758496124481
ACH-000133,-0.2550445537756495
ACH-000137,-0.1878813429361436
ACH-000138,-0.0410838206558638
ACH-000142,-0.08576220308725774
ACH-000143,-0.3047672918671328
ACH-000146,-0.11180774167527843
ACH-000148,-0.12845462604397032
ACH-000150,-0.20685269486420024
ACH-000152,-0.12144998054089948
ACH-000153,-0.06695447025078458
ACH-000159,-0.1795699196851904
ACH-000160,-0.259696658734963
ACH-000163,-0.1369463764233105
ACH-000167,-0.20748977660012005
ACH-000168,0.03605552514567514
ACH-000169,-0.10997104528277504
ACH-000178,-0.07902595043194208
ACH-000183,-0.3232354900131723
ACH-000188,-0.2203580709151764
ACH-000189,0.17252903922826834
ACH-000190,0.14784233913274886
ACH-000198,0.033653823565646813
ACH-000203,0.20836629082666114
ACH-000204,-0.016884145034358783
ACH-000206,-0.2285435870303343
ACH-000207,-0.15753498107788713
ACH-000208,-0.3766743892623308
ACH-000210,-0.099804725945303
ACH-000211,-0.3226243156763477
ACH-000215,-0.07630415083723789
ACH-000221,-0.25694442689183794
ACH-000222,-0.06737096017858812
ACH-000223,-0.2424588200707961
ACH-000226,-0.25188887889839223
ACH-000227,-0.0465200291471887
ACH-000228,-0.2603106457302017
ACH-000231,-0.31505591254149845
ACH-000232,-0.24087196631313096
ACH-000233,-0.16061149699804894
ACH-000234,0.016121086783580797
ACH-000235,-0.17433113499233613
ACH-000237,-0.2943057574441288
ACH-000238,-0.1761612043806955
ACH-000242,-0.3498279133085176
ACH-000243,-0.1852634463596688
ACH-000244,-0.3731459675745746
ACH-000246,-0.022754540307536084
ACH-000248,-0.037611044217086484
ACH-000250,-0.01593241815217336
ACH-000251,-0.03823555664238909
ACH-000252,-0.32273588994851954
ACH-000253,-0.20843372442334893
ACH-000255,-0.14627837455773962
ACH-000256,-0.2192510255509036
ACH-000257,-0.20406329503128973
ACH-000258,-0.3903991455485666
ACH-000259,0.03319732845126593
ACH-000260,-0.13178832439760169
ACH-000261,-0.12123462028610728
ACH-000262,0.06988522193773307
ACH-000263,-0.09576944211058414
ACH-000264,-0.0905656963111155
ACH-000265,0.000939257160758214
ACH-000266,-0.10030406667428386
ACH-000272,-0.037382229399768034
ACH-000274,-0.12066950226282445
ACH-000277,0.08990455117557572
ACH-000278,-0.08525153010989593
ACH-000279,-0.07694548707110721
ACH-000280,-0.1147213579193303
ACH-000281,-0.27424761968795364
ACH-000288,-0.15527642267051606
ACH-000291,-0.002708932494988209
ACH-000293,-0.1048360467151614
ACH-000294,0.01245458658992795
ACH-000295,-0.2595426338182801
ACH-000296,0.023356850500281013
ACH-000302,-0.17337833642747147
ACH-000304,-0.308505475797818
ACH-000307,-0.12728475321237592
ACH-000308,-0.11450587104931298
ACH-000310,-0.01981046016948714
ACH-000311,-0.12198355479206285
ACH-000312,0.006625483348794406
ACH-000315,0.07139696823041773
ACH-000316,-0.05830098710232545
ACH-000317,-0.059134609877800774
ACH-000318,0.006237344306012836
ACH-000319,-0.1757093752603481
ACH-000320,-0.2339305514678
ACH-000322,-0.15256964283135413
ACH-000323,-0.19134419117745566
ACH-000324,-0.06349518853460694
ACH-000329,-0.15513636336922185
ACH-000330,-0.4295886472755517
ACH-000331,-0.13402516668998748
ACH-000332,-0.21350799705311307
ACH-000334,-0.07542016660460395
ACH-000335,-0.1985106832203622
ACH-000336,-0.3289938282038781
ACH-000337,-0.21290364621304006
ACH-000338,0.04353544733539615
ACH-000339,-0.08408174598920494
ACH-000341,-0.18465798585542875
ACH-000348,-0.153826384062332
ACH-000350,-0.0010571732805295872
ACH-000352,-0.16209842877680472
ACH-000356,-0.3336687929671284
ACH-000361,-0.007233603278144747
ACH-000362,-0.07249210331040934
ACH-000363,0.01909572615312284
ACH-000364,-0.09269333932920372
ACH-000365,-0.028843583582736906
ACH-000366,-0.06604781602884786
ACH-000368,-0.2906847773412252
ACH-000374,0.08636442807832284
ACH-000375,-0.35441857741228106
ACH-000376,-0.16377323265834107
ACH-000381,-0.23069272118892906
ACH-000383,-0.05666992512890669
ACH-000387,-0.023356407485103196
ACH-000389,-0.05070995054248532
ACH-000390,-0.12307548784142144
ACH-000393,-0.13546201331538152
ACH-000395,-0.13631317879100788
ACH-000396,-0.20132680889336046
ACH-000397,-0.009597913375240302
ACH-000401,-0.40179559981090535
ACH-000402,-0.4462206845639648
ACH-000403,-0.2256475700343882
ACH-000404,-0.04050320123050965
ACH-000406,-0.07032771798261211
ACH-000407,0.010081885963801638
ACH-000408,-0.5253783417887044
ACH-000410,0.05322475290368298
ACH-000411,-0.06652643029596526
ACH-000414,-0.031615931741585133
ACH-000415,-0.07689607863169211
ACH-000416,-0.14469397745728346
ACH-000420,-0.25355784533427805
ACH-000421,-0.130661488881638
ACH-000424,-0.05068889144295071
ACH-000425,-0.2040700283203731
ACH-000426,0.011579185503687195
ACH-000427,-0.19991552069423849
ACH-000433,-0.3185948320696653
ACH-000435,-0.28379591874728705
ACH-000436,-0.019771152815969185
ACH-000444,-0.16016693749310085
ACH-000445,-0.2914452030819213
ACH-000448,-0.24658989118541344
ACH-000450,-0.12629744389264005
ACH-000452,-0.11940880728800395
ACH-000454,-0.07795771943885603
ACH-000458,-0.0932905989315787
ACH-000459,-0.09011851409150076
ACH-000460,-0.3073107623659522
ACH-000461,-0.2841183191964926
ACH-000463,-0.10350247294907587
ACH-000464,-0.1816474633704945
ACH-000466,-0.0094290036366266
ACH-000467,-0.1483389266896731
ACH-000468,-0.1728241443992088
ACH-000469,-0.2051911485121249
ACH-000470,0.0321597554044006
ACH-000471,-0.1540173632840352
ACH-000472,-0.12051435860250635
ACH-000473,-0.07810309491241846
ACH-000475,-0.07051203467997287
ACH-000476,0.0944457033916891
ACH-000477,-0.21129182791134
ACH-000479,-0.02274245808810231
ACH-000480,-0.23138761946768185
ACH-000481,-0.2288225982189451
ACH-000483,-0.034194033484202024
ACH-000484,0.034833345197071874
ACH-000485,-0.031954140446783436
ACH-000486,-0.1084584159784492
ACH-000487,-0.06404077563876295
ACH-000488,-0.14851767231976398
ACH-000490,-0.29583650358305663
ACH-000491,-0.11892774241207095
ACH-000495,-0.049169617528838784
ACH-000496,-0.09115267501890337
ACH-000499,-0.11880610953930007
ACH-000500,0.08676669516793166
ACH-000502,-0.1719262600233018
ACH-000503,-0.3807570489975258
ACH-000505,-0.1618565092070252
ACH-000507,0.057325125574166996
ACH-000510,-0.15178256041627114
ACH-000511,-0.21297616014985127
ACH-000512,-0.031421530831077724
ACH-000516,-0.4201683356104679
ACH-000517,-0.08573872587682288
ACH-000518,-0.047516409494176584
ACH-000520,-0.08937823303060635
ACH-000521,-0.1650985644364469
ACH-000522,0.022864804183948248
ACH-000524,-0.19021329569050055
ACH-000527,-0.12316284040660196
ACH-000528,-0.19453934614388135
ACH-000537,-0.12728216212686033
ACH-000541,-0.08797421245593784
ACH-000542,-0.04491855137393975
ACH-000544,-0.28524262051720306
ACH-000545,-0.1289798593751427
ACH-000547,-0.2057095919211468
ACH-000548,-0.20080573628930254
ACH-000549,-0.03837099441594477
ACH-000550,-0.1128536459857125
ACH-000552,-0.057139562015345535
ACH-000556,0.06454853385835406
ACH-000557,-0.034594872363136624
ACH-000569,-0.297467480945618
ACH-000570,-0.16427034447510358
ACH-000571,-0.18964749464651745
ACH-000573,-0.1211973610700637
ACH-000576,-0.30563889289243035
ACH-000579,-0.07663844875155618
ACH-000580,-0.3424683300730979
ACH-000584,-0.13409062266075314
ACH-000585,-0.07483955166366571
ACH-000588,-0.2521964622185876
ACH-000589,-0.18344661670757356
ACH-000591,-0.13213439697916246
ACH-000593,0.02810728834439389
ACH-000600,0.06911120116935347
ACH-000601,-0.1973852031375957
ACH-000605,-0.19450509889510528
ACH-000606,-0.07134760987031605
ACH-000608,-0.2655699945630735
ACH-000614,0.07902380121001581
ACH-000616,-0.15612433430233627
ACH-000618,-0.08531976231085744
ACH-000619,-0.2514127740638916
ACH-000620,-0.0005524391968283676
ACH-000621,-0.14348465560833512
ACH-000622,-0.0783820871168853
ACH-000623,-0.2638379726141388
ACH-000624,-0.14387612947636266
ACH-000627,-0.22113950460795948
ACH-000630,-0.15516267427207592
ACH-000631,-0.02657065335050376
ACH-000632,-0.23038263418582774
ACH-000633,-0.2713914277467043
ACH-000637,-0.14322946504936346
ACH-000638,-0.130324498509388
ACH-000646,-0.1636701076942875
ACH-000647,-0.09821147779867803
ACH-000648,0.02229429543216776
ACH-000649,-0.01199769581856333
ACH-000651,-0.16676771302406582
ACH-000652,0.13282106915792435
ACH-000653,-0.4511414484307354
ACH-000657,-0.1604784522363696
ACH-000658,-0.15209736601158302
ACH-000661,-0.1997475664921824
ACH-000662,0.01758465081994896
ACH-000663,-0.187515702640834
ACH-000665,-0.13488938624408414
ACH-000671,-0.18656820490252124
ACH-000672,-0.058426015524748666
ACH-000673,-0.2307514982645025
ACH-000676,-0.17210438792892174
ACH-000677,-0.2235249462565999
ACH-000681,-0.0286010773124726
ACH-000683,-0.046074144555733804
ACH-000684,-0.10344846709950074
ACH-000688,-0.17881397802404325
ACH-000693,-0.0325120444154689
ACH-000694,-0.1999837073930697
ACH-000695,-0.03201068112986684
ACH-000696,-0.14779588857499562
ACH-000697,-0.3147840434243888
ACH-000699,-0.2313966080655211
ACH-000701,-0.0330019239205131
ACH-000706,-0.1354415368220859
ACH-000711,-0.11280121601814297
ACH-000713,-0.0543910644317581
ACH-000714,-0.21268964251399453
ACH-000718,-0.04504336616276698
