,GGN (199720)
ACH-000004,-0.22182036642063668
ACH-000005,0.31541476227694576
ACH-000007,-0.12420314208690933
ACH-000009,-0.08247204443064808
ACH-000011,-0.2014133434629754
ACH-000012,-0.20381455125413897
ACH-000013,-0.5200909091478705
ACH-000014,-0.2297244252528288
ACH-000015,-0.2193730297386596
ACH-000017,-0.2170336790209543
ACH-000018,-0.19945355022340688
ACH-000019,-0.2399896391001177
ACH-000021,-0.21633283413295185
ACH-000022,-0.2043482381103157
ACH-000025,-0.2113602285081526
ACH-000028,-0.17733397733306536
ACH-000030,-0.2244785078865652
ACH-000035,-0.07648235657765094
ACH-000036,-0.29528068792302026
ACH-000037,-0.0651484411342286
ACH-000039,-0.12675882914330638
ACH-000040,-0.2613048654677193
ACH-000041,-0.08569587551651392
ACH-000042,-0.10100408792056896
ACH-000045,-0.3658064727565547
ACH-000047,-0.3072368658080657
ACH-000052,-0.2805700540714595
ACH-000053,-0.1807901251972422
ACH-000054,-0.2873585007615743
ACH-000055,-0.1926619890903754
ACH-000060,-0.055955683468894936
ACH-000067,-0.1913932412816318
ACH-000070,-0.2668211484586542
ACH-000075,-0.4268505465745528
ACH-000078,-0.06613607482759334
ACH-000082,-0.1355577580696094
ACH-000085,-0.15759296722416538
ACH-000086,-0.34904134795888275
ACH-000087,-0.2851412874283811
ACH-000092,-0.2208119793031286
ACH-000095,-0.04525455143248632
ACH-000097,-0.2334887778120251
ACH-000098,-0.21799177844382212
ACH-000099,-0.10588771016044432
ACH-000108,-0.4759721612914985
ACH-000113,-0.2189653870847945
ACH-000116,-0.23471549646899595
ACH-000118,-0.26643190383566856
ACH-000120,-0.2531967493682696
ACH-000123,-0.09628409464154199
ACH-000127,-0.22541433721461684
ACH-000128,0.02048203611837648
ACH-000132,-0.20782157010445165
ACH-000133,-0.2643044093603503
ACH-000137,-0.4581421814184525
ACH-000138,-0.10858879378417274
ACH-000142,-0.3836704455738693
ACH-000143,-0.14061110906944232
ACH-000146,-0.07127573450935556
ACH-000148,-0.1774362822739168
ACH-000150,-0.15683803835592544
ACH-000152,-0.3133919209537531
ACH-000153,0.017255876903570302
ACH-000159,-0.22785502329717125
ACH-000160,-0.0839626143787058
ACH-000163,-0.25614278923386835
ACH-000167,0.34570280022407524
ACH-000168,-0.2582419588161122
ACH-000169,-0.12448736404358846
ACH-000178,-0.18573564589017327
ACH-000183,-0.2182317364603828
ACH-000188,-0.2699197072662847
ACH-000189,-0.17266906677836394
ACH-000190,-0.38678156384874574
ACH-000198,-0.19730566642534966
ACH-000203,0.07628102790886697
ACH-000204,-0.2093055390601124
ACH-000206,-0.2261400731430193
ACH-000207,-0.19955121935242914
ACH-000208,-0.3624558647167013
ACH-000210,-0.1034577344239806
ACH-000211,-0.04285344628603885
ACH-000215,-0.06534154571412018
ACH-000221,-0.398653712974754
ACH-000222,-0.4827114296508514
ACH-000223,-0.233849677967246
ACH-000226,-0.3374812186504944
ACH-000227,-0.14894836036136866
ACH-000228,-0.3857020848794657
ACH-000231,-0.06556701555734637
ACH-000232,-0.1603625960468627
ACH-000233,-0.18201296283822596
ACH-000234,-0.20301699489100364
ACH-000235,-0.21203407688213624
ACH-000237,-0.14641703918790192
ACH-000238,-0.21952703442669005
ACH-000242,-0.3933477830925648
ACH-000243,-0.08001254545992859
ACH-000244,-0.4789549224568121
ACH-000246,-0.2290443731856671
ACH-000248,-0.2233122311170394
ACH-000250,-0.14292839644384953
ACH-000251,-0.7497740836740294
ACH-000252,-0.006249933527389265
ACH-000253,-0.25597551716770595
ACH-000255,-0.19476279254873546
ACH-000256,-0.29940392176362696
ACH-000257,0.12821744969589974
ACH-000258,-0.1628464696267647
ACH-000259,-0.24618084960692346
ACH-000260,-0.2154971249532122
ACH-000261,-0.19702002839863905
ACH-000262,-0.2812449845384855
ACH-000263,-0.2703603930106528
ACH-000264,-0.155411174453865
ACH-000265,-0.2229015308824632
ACH-000266,-0.28136246372762064
ACH-000272,-0.14158684707496672
ACH-000274,-0.12411438180337465
ACH-000277,-0.11633748653269264
ACH-000278,-0.1265501342004399
ACH-000279,-0.1729646938916976
ACH-000280,-0.2953784819013268
ACH-000281,-0.0122628076022921
ACH-000288,-0.2643149460569104
ACH-000291,-0.3842706732494499
ACH-000293,-0.4829981829912166
ACH-000294,-0.15191655215684008
ACH-000295,-0.170294280771802
ACH-000296,-0.17365608659848308
ACH-000302,-0.2472317877152588
ACH-000304,-0.10456281793380172
ACH-000307,-0.17560513571513295
ACH-000308,-0.30663486848176835
ACH-000310,-0.15651286825361224
ACH-000311,-0.20890925252286904
ACH-000312,-0.1357974124470659
ACH-000315,-0.20005536745446345
ACH-000316,-0.1365789349833516
ACH-000317,-0.10093688315728366
ACH-000318,-0.10552194617807467
ACH-000319,-0.2490352698262573
ACH-000320,-0.17348720057188738
ACH-000322,-0.1231004755301083
ACH-000323,-0.1498897460224913
ACH-000324,-0.2886917257757654
ACH-000329,-0.2047240914041552
ACH-000330,-0.29186711213260963
ACH-000331,-0.10637553408541724
ACH-000332,-0.2009163890076245
ACH-000334,-0.09849461188713528
ACH-000335,-0.1342511297932703
ACH-000336,-0.35339536756291634
ACH-000337,-0.050074595181813064
ACH-000338,-0.4424972948057919
ACH-000339,-0.2306198036746585
ACH-000341,-0.23729707507361775
ACH-000348,-0.20004555061313695
ACH-000350,-0.12811315019383734
ACH-000352,-0.18934579163558435
ACH-000356,-0.29728323700714465
ACH-000361,-0.3575131133965914
ACH-000362,-0.14992446305821494
ACH-000363,-0.1810887669509546
