,GPLD1 (2822)
ACH-000004,-0.04091428587475482
ACH-000005,0.183334109909757
ACH-000007,0.12787994951872084
ACH-000009,-0.012515435486025355
ACH-000011,0.08075315209068347
ACH-000012,-0.07268488921759889
ACH-000013,-0.02752866738139552
ACH-000014,-0.05975578984097196
ACH-000015,0.08568568465285993
ACH-000017,-0.005990019542698631
ACH-000018,0.03571962526848693
ACH-000019,-0.0703970865309398
ACH-000021,0.006698289609256767
ACH-000022,0.10112697333519964
ACH-000025,0.13585570628324686
ACH-000028,0.059247739729469
ACH-000030,-0.0008198459756896245
ACH-000035,0.07653224629107779
ACH-000036,-0.03926713148113295
ACH-000037,0.09700663673092692
ACH-000039,0.027542511112306742
ACH-000040,0.05670640396834194
ACH-000041,-0.00419154790245739
ACH-000042,-0.03886168955820857
ACH-000045,0.03936367121236928
ACH-000047,0.031078167654372532
ACH-000052,-0.203992707528982
ACH-000053,-0.05433070691851664
ACH-000054,-0.09918512253161127
ACH-000055,0.01457842191505004
ACH-000060,0.08045176839210988
ACH-000067,-0.035728841673296166
ACH-000070,0.06398005279655063
ACH-000075,0.22203527360209865
ACH-000078,-0.026904488816290026
ACH-000082,-0.03452755050900302
ACH-000085,-0.03347153740106787
ACH-000086,-0.03091240800652657
ACH-000087,0.02848928167051445
ACH-000092,0.03226056114623105
ACH-000095,0.0026898577834938717
ACH-000097,0.01932775626197701
ACH-000098,-0.01548341854764308
ACH-000099,0.09128095371690803
ACH-000108,0.05496556420201906
ACH-000113,0.005296720991480336
ACH-000116,0.10329553119917254
ACH-000118,-0.0028015056385739608
ACH-000120,-0.041975022323531286
ACH-000123,-0.09938827352222508
ACH-000127,0.022975243551054483
ACH-000128,0.06618199055826421
ACH-000132,0.11628531188762492
ACH-000133,0.0382479309753529
ACH-000137,-0.02861430683714605
ACH-000138,0.0224530028860057
ACH-000142,-0.05260258536821827
ACH-000143,-0.20993752093847265
ACH-000146,0.023341501095797933
ACH-000148,0.11261644644704186
ACH-000150,0.13721124617886127
ACH-000152,0.002188438255654489
ACH-000153,0.008422080554200326
ACH-000159,-0.005971692375582286
ACH-000160,-0.0007099795969520362
ACH-000163,-0.010700777981525595
ACH-000167,-0.13186126824803698
ACH-000168,-0.08505006492548918
ACH-000169,0.019972335878133213
ACH-000178,0.15342364568119474
ACH-000183,-0.017111831315068396
ACH-000188,-0.00979536707509178
ACH-000189,0.21573209214252456
ACH-000190,0.11235704623211194
ACH-000198,0.017308289172876006
ACH-000203,-0.27657568399786303
ACH-000204,0.32465803762625045
ACH-000206,0.21830372125947686
ACH-000207,0.22927194666925715
ACH-000208,0.06743375481664678
ACH-000210,0.019967732141367437
ACH-000211,-0.0440304123634726
ACH-000215,-0.012431723508994885
ACH-000221,0.12726975491708026
ACH-000222,-0.06128996395883956
ACH-000223,0.014932854947982847
ACH-000226,0.1016837529663391
ACH-000227,-0.021764788871277814
ACH-000228,0.15451070941662445
ACH-000231,-0.05488968120584007
ACH-000232,0.00983771719054563
ACH-000233,0.10115019808691024
ACH-000234,0.144800595397991
ACH-000235,0.037615997576209134
ACH-000237,-0.02864049083097377
ACH-000238,-0.06127326097982778
ACH-000242,-0.06227662991516327
ACH-000243,0.04479643865017857
ACH-000244,0.17069497038361967
ACH-000246,0.13257147121965346
ACH-000248,-0.029597542883689407
ACH-000250,-0.11152503277857967
ACH-000251,0.04674049708938214
ACH-000252,-0.06431552196025295
ACH-000253,0.08003849810254024
ACH-000255,0.024164765635261008
ACH-000256,0.003786398124384651
ACH-000257,-0.21278181760189965
ACH-000258,0.06055658131374149
ACH-000259,0.11915359518261913
ACH-000260,0.00014100369113000084
ACH-000261,0.07677859434921032
ACH-000262,0.005506615939521086
ACH-000263,0.14304777286133316
ACH-000264,0.026091978996351104
ACH-000265,0.07551740386324654
ACH-000266,0.011848622737992778
ACH-000272,-0.1163753040913803
ACH-000274,-0.005332217808139261
ACH-000277,-0.05181195304474031
ACH-000278,0.1271267406227151
ACH-000279,-0.04576573677241976
ACH-000280,0.0028674289604300835
ACH-000281,0.08414753257691299
ACH-000288,0.02370232722563372
ACH-000291,0.023982834227841955
ACH-000293,-0.020357583964228262
ACH-000294,-0.08096702131372736
ACH-000295,-0.022842607164073568
ACH-000296,-0.2304781998821838
ACH-000302,-0.005786797221864314
ACH-000304,0.08530327474679023
ACH-000307,-0.058798635866421714
ACH-000308,-0.04148639261744415
ACH-000310,0.0634903377923676
ACH-000311,0.05636436381260172
ACH-000312,0.015452392893109184
ACH-000315,0.0753590951962047
ACH-000316,0.02732148543632304
ACH-000317,-0.0529685685029467
ACH-000318,0.12025432565379653
ACH-000319,-0.04779398654044115
ACH-000320,0.0808962401321242
ACH-000322,0.06342118764523906
ACH-000323,0.08736605438996811
ACH-000324,-0.012106437098560545
ACH-000329,0.1238092192319276
ACH-000330,-0.05785658769841925
ACH-000331,0.0016484214752443631
ACH-000332,-0.04314539169207587
ACH-000334,0.011466634459662662
ACH-000335,0.08696119919252092
ACH-000336,-0.18984882211235785
ACH-000337,0.2021345400814171
ACH-000338,-0.45269926025228
ACH-000339,0.02033079440834333
ACH-000341,-0.012516035488642932
ACH-000348,0.025563570283518116
ACH-000350,0.05642310644314193
ACH-000352,0.1021040481802336
ACH-000356,-0.05225748083903162
ACH-000361,-0.03157172631941268
ACH-000362,-0.05011120700876018
ACH-000363,0.030707300153209105
ACH-000364,0.1963772178518818
ACH-000365,0.09573487524982636
ACH-000366,0.04139889165311817
ACH-000368,0.20703989618277305
ACH-000374,-0.1283587488218412
ACH-000375,-0.033128241807205284
ACH-000376,-0.03760794025625253
ACH-000381,-0.21885031100315447
ACH-000383,0.03563353211648684
ACH-000387,-0.02906575412473977
ACH-000389,0.11202863761753398
ACH-000390,0.011811276618380141
ACH-000393,-0.06800240952440124
ACH-000395,0.1947567905399744
ACH-000396,-0.0068911148823110596
ACH-000397,0.0437928522878339
ACH-000401,0.05275055115261408
ACH-000402,0.07490130076539875
ACH-000403,-0.0132678355451213
ACH-000404,-0.10583384959155127
ACH-000406,0.0037671275583818008
ACH-000407,0.034509619516255134
ACH-000408,0.01841384674758962
ACH-000410,-0.04364837713435148
ACH-000411,0.11907951741022972
ACH-000414,-0.04772635172915701
ACH-000415,0.05081261763270578
ACH-000416,0.02879100672478933
ACH-000420,0.07729224485082876
ACH-000421,0.06516194186306
ACH-000424,-0.003147654396251438
ACH-000425,-0.03801474295206267
ACH-000426,0.07243486513720084
ACH-000427,0.11660413122562778
