,ARV1 (64801)
ACH-000004,-0.18589882803251287
ACH-000005,-0.05274241383586118
ACH-000007,-0.004343080591015982
ACH-000009,-0.2421611292937852
ACH-000011,-0.16920720204140713
ACH-000012,-0.19987596432818736
ACH-000013,-0.2048359029280145
ACH-000014,-0.08819970763085153
ACH-000015,-0.1184848664498323
ACH-000017,-0.2679354864346009
ACH-000018,-0.13993056633756315
ACH-000019,-0.13816068124737252
ACH-000021,-0.0966779268091656
ACH-000022,-0.11845632448568898
ACH-000025,-0.24912754679110016
ACH-000028,-0.03943750326746316
ACH-000030,-0.11731055491068855
ACH-000035,0.15138267658891533
ACH-000036,-0.14160734371413597
ACH-000037,-0.3529025674211696
ACH-000039,-0.3535161083648733
ACH-000040,-0.14471695526279554
ACH-000041,-0.23228661376843024
ACH-000042,-0.11874892384702772
ACH-000045,-0.18277893858676456
ACH-000047,-0.2677154619696734
ACH-000052,-0.059115434706748876
ACH-000053,-0.21005734831049025
ACH-000054,-0.2118939969695877
ACH-000055,-0.20335712617522106
ACH-000060,-0.17205977831732674
ACH-000067,-0.20939602165854432
ACH-000070,-0.17192935760143915
ACH-000075,-0.17344500718799513
ACH-000078,-0.31031939376262546
ACH-000082,-0.21682361670596345
ACH-000085,-0.01666021992491105
ACH-000086,-0.14805286793895692
ACH-000087,-0.13853621344210695
ACH-000092,-0.12112266135382505
ACH-000095,-0.2209279208231477
ACH-000097,-0.2190938302486912
ACH-000098,-0.21485716079922074
ACH-000099,-0.23920413476440064
ACH-000108,-0.1248109414568982
ACH-000113,-0.122214946669345
ACH-000116,-0.2115561811504792
ACH-000118,-0.03280595834384598
ACH-000120,-0.27694781202612234
ACH-000123,-0.1788345449420046
ACH-000127,-0.17925113094236064
ACH-000128,0.07877460964568613
ACH-000132,-0.2277428689547591
ACH-000133,-0.08868508944063286
ACH-000137,-0.16813009560878586
ACH-000138,-0.20610252014492356
ACH-000142,-0.06405267312465326
ACH-000143,-0.1057182166883422
ACH-000146,-0.34122495647087203
ACH-000148,-0.11825685064533945
ACH-000150,-0.16147719369803504
ACH-000152,-0.16618164967585294
ACH-000153,-0.014701064001368785
ACH-000159,-0.22080191994470733
ACH-000160,-0.28897753352481914
ACH-000163,-0.17131416739092156
ACH-000167,-0.213532595692714
ACH-000168,-0.2781760129708537
ACH-000169,-0.22332139574246135
ACH-000178,-0.17072099856543027
ACH-000183,-0.22561446975925276
ACH-000188,-0.09193217899326996
ACH-000189,-0.2392997267646041
ACH-000190,-0.14745683086741515
ACH-000198,-0.14824398946781794
ACH-000203,0.12101765111503572
ACH-000204,-0.3428702101449032
ACH-000206,-0.2326487851675417
ACH-000207,-0.03909722511212665
ACH-000208,-0.164225229464706
ACH-000210,-0.3810776186138613
ACH-000211,-0.1870587024569379
ACH-000215,-0.2044437026003478
ACH-000221,-0.04561751376143567
ACH-000222,-0.09405042852865048
ACH-000223,-0.17206483131179592
ACH-000226,-0.17861136095831984
ACH-000227,-0.34682889888445395
ACH-000228,-0.2648920507292806
ACH-000231,-0.13109902272470306
ACH-000232,-0.19992150639098494
ACH-000233,-0.35743231634093936
ACH-000234,-0.22418925162823705
ACH-000235,-0.2300757318932267
ACH-000237,-0.12552027125933155
ACH-000238,-0.17376137266926686
ACH-000242,-0.16801290640157152
ACH-000243,-0.1681666201977728
ACH-000244,-0.05671822420747789
ACH-000246,-0.20491142041118812
ACH-000248,-0.12733747383311544
ACH-000250,-0.15935004748294998
ACH-000251,-0.14219757052426818
ACH-000252,-0.12399545159138806
ACH-000253,-0.1903346867486803
ACH-000255,-0.14287073066394382
ACH-000256,-0.14161927458092533
ACH-000257,0.013578971534882965
ACH-000258,-0.35421351248458305
ACH-000259,-0.13758400671501014
ACH-000260,-0.16599374278716486
ACH-000261,-0.2336627680236727
ACH-000262,-0.1783843951699141
ACH-000263,-0.1272918614124881
ACH-000264,-0.1830339202072231
ACH-000265,-0.14034208356400754
ACH-000266,-0.2496267987225527
ACH-000272,-0.2590378260457815
ACH-000274,-0.29439132757155945
ACH-000277,-0.18532077362920327
ACH-000278,-0.015519245491785013
ACH-000279,-0.16459646001162112
ACH-000280,-0.10383608787621107
ACH-000281,-0.1312083269089736
ACH-000288,-0.22947813562796154
ACH-000291,-0.09941567519800816
ACH-000293,-0.0320844725533367
ACH-000294,0.03756555966338231
ACH-000295,-0.12175120404179984
ACH-000296,-0.0040145306215694935
ACH-000302,-0.1608308706326008
ACH-000304,-0.17918445075102693
ACH-000307,-0.13165002413253876
ACH-000308,-0.20083793692336066
ACH-000310,-0.4867193016806818
ACH-000311,-0.19009116259605952
ACH-000312,-0.26304246645718393
ACH-000315,0.031705988100420086
ACH-000316,-0.0361733390509031
ACH-000317,-0.29479384539505604
ACH-000318,-0.2467189591895161
ACH-000319,-0.19588741862880346
ACH-000320,-0.0632317964641852
ACH-000322,-0.1023655818613221
ACH-000323,-0.17926056855243902
ACH-000324,-0.20548412248004688
ACH-000329,-0.14462443770797154
ACH-000330,-0.1753235800936769
ACH-000331,-0.2755471949788251
ACH-000332,-0.2651464382809264
ACH-000334,-0.16645087016601606
ACH-000335,-0.3222215822565708
ACH-000336,-0.2401956503629608
ACH-000337,-0.25928371258571553
ACH-000338,0.04601268863174445
ACH-000339,-0.22966859244973545
ACH-000341,0.051238487931416665
ACH-000348,-0.1697033301821204
ACH-000350,-0.3071984940116652
ACH-000352,-0.1087376656218684
ACH-000356,-0.2958157551080306
ACH-000361,0.0417789168058025
ACH-000362,-0.10932880855040092
ACH-000363,-0.2424808687368088
ACH-000364,-0.1491621801241534
ACH-000365,-0.15234269830257852
ACH-000366,-0.16094894888606698
ACH-000368,-0.16325885935353426
ACH-000374,-0.2069768039474103
ACH-000375,-0.10366712497262373
ACH-000376,-0.2132852656413848
ACH-000381,-0.053700382179433286
ACH-000383,-0.09310126504591333
ACH-000387,-0.2256929322496989
ACH-000389,-0.03703711828301149
ACH-000390,-0.20528781769522134
ACH-000393,-0.14344898228480382
ACH-000395,-0.10832571567579677
ACH-000396,0.036353828141575145
ACH-000397,-0.21659638504018136
ACH-000401,-0.06681681514199869
ACH-000402,0.233847550458348
ACH-000403,-0.1475249368789894
ACH-000404,0.15186319258240585
ACH-000406,-0.16319194890160904
ACH-000407,-0.16416800733497208
ACH-000408,-0.06917801306747515
ACH-000410,-0.1566979750578049
ACH-000411,-0.29691352522437825
ACH-000414,-0.2077547779757852
ACH-000415,-0.12963655174139774
ACH-000416,-0.2394567130105741
ACH-000420,-0.2468094940105457
ACH-000421,-0.0720497093532151
ACH-000424,-0.2752985357744079
ACH-000425,-0.1509502013466967
ACH-000426,-0.03276986278371185
ACH-000427,-0.14097855670704404
ACH-000433,-0.08158099092826154
ACH-000435,-0.17907189530993842
ACH-000436,-0.11480959190915452
