,SCD (6319)
ACH-000004,-0.6382564957534348
ACH-000005,-0.7157120011800087
ACH-000007,-0.6363206267143973
ACH-000009,-0.7628378073055264
ACH-000011,-0.7003834540749129
ACH-000012,-0.7595163443201955
ACH-000013,-0.17518968757844353
ACH-000014,-0.7950098045787427
ACH-000015,-0.6565422199077942
ACH-000017,-0.2994551094192171
ACH-000018,-0.9827370959831202
ACH-000019,-0.6802653640727889
ACH-000021,-0.2645360110769566
ACH-000022,-1.153796935060294
ACH-000025,-0.7518444623279009
ACH-000028,-0.4162535570846864
ACH-000030,-0.6537814841095193
ACH-000035,-0.5689497426656372
ACH-000036,-0.6134234165296357
ACH-000037,-0.5248227020360544
ACH-000039,-0.26692486588140224
ACH-000040,-0.7136706309376064
ACH-000041,-0.2154262693589675
ACH-000042,-0.7692741830549601
ACH-000045,-0.6695566896925594
ACH-000047,-0.8256762913939159
ACH-000052,-0.4064457285358274
ACH-000053,-0.17676968279254573
ACH-000054,-0.8083919979704075
ACH-000055,0.00678149707621704
ACH-000060,-0.5956693680494117
ACH-000067,-0.5511702703227597
ACH-000070,-0.6334298739890456
ACH-000075,-0.48949846328809
ACH-000078,-0.1268978059381433
ACH-000082,-0.2459941850670335
ACH-000085,-0.7094525009198804
ACH-000086,-0.7688948609749557
ACH-000087,-0.2693175039244515
ACH-000092,-0.3646879104216629
ACH-000095,-0.1816268514225825
ACH-000097,-0.6051173337205524
ACH-000098,-0.9189823104044064
ACH-000099,-0.15691959204706216
ACH-000108,-0.5909850450362444
ACH-000113,-0.3998814836166621
ACH-000116,-0.2780986229776335
ACH-000118,-0.7321868363256847
ACH-000120,-0.132049695239545
ACH-000123,-0.4928202503348601
ACH-000127,-1.2975843794178976
ACH-000128,-0.2279805529434323
ACH-000132,-0.1895919456155707
ACH-000133,-0.3382623344088556
ACH-000137,-0.3263220178228318
ACH-000138,-0.6926113497247787
ACH-000142,-0.5898430735623801
ACH-000143,-0.6510860268413289
ACH-000146,-0.8148224569354314
ACH-000148,-0.3182315399716741
ACH-000150,-0.8736216108168012
ACH-000152,-0.3740999268361795
ACH-000153,-0.5804664786376971
ACH-000159,-0.38693476275239547
ACH-000160,-0.5569406064150517
ACH-000163,-0.4904148975183399
ACH-000167,-0.9850903232934488
ACH-000168,-0.6254992772321969
ACH-000169,-1.0299208694086
ACH-000178,-0.653367733097875
ACH-000183,-0.5447080564572544
ACH-000188,-0.4325451910642327
ACH-000189,-0.4996919176927066
ACH-000190,-0.8471114203343786
ACH-000198,-0.5738142237886668
ACH-000203,-0.3551338609221239
ACH-000204,-0.4199274776094234
ACH-000206,-0.5796906103191592
ACH-000207,-0.9014059047543646
ACH-000208,-0.6211654721831451
ACH-000210,-0.5617032640910798
ACH-000211,-0.2827721279347784
ACH-000215,-0.389758514776908
ACH-000221,-0.3823404380561105
ACH-000222,-0.4679262108398399
ACH-000223,-0.4932246942058665
ACH-000226,-0.4286264126325088
ACH-000227,-0.4093019369422864
ACH-000228,-0.2503974113413673
ACH-000231,-0.8687780976483986
ACH-000232,-0.5589807752944584
ACH-000233,-0.937594334496708
ACH-000234,-0.5619835774668798
ACH-000235,-0.4887514388940548
ACH-000237,-0.19785921356408726
ACH-000238,-0.638891510550568
ACH-000242,-0.7155217552268792
ACH-000243,-0.7296715991634504
ACH-000244,-0.44157515903854505
ACH-000246,-0.18131695206544626
ACH-000248,-0.6547521951653119
ACH-000250,-0.9777702311040498
ACH-000251,-0.6082340033885569
ACH-000252,-0.9044425673925696
ACH-000253,-0.8775127951992567
ACH-000255,-0.4670064677553859
ACH-000256,-0.2858343987982037
ACH-000257,-0.4834778318234492
ACH-000258,-1.0519865185993789
ACH-000259,0.001912976354214053
ACH-000260,-0.13487309624048516
ACH-000261,-0.2274351277395005
ACH-000262,-1.242301539459668
ACH-000263,-0.6096282775088873
ACH-000264,-0.1991641130288996
ACH-000265,-0.7470941650339289
ACH-000266,-0.5133678116200985
ACH-000272,-0.6854274686461472
ACH-000274,-0.3152227671938255
ACH-000277,-0.5721287329415118
ACH-000278,-0.29873439554746645
ACH-000279,-0.2731059140427829
ACH-000280,-0.3053936666551119
ACH-000281,-0.4618247516768844
ACH-000288,-0.42445610769985603
ACH-000291,-0.3422332992188403
ACH-000293,-0.10733332655168083
ACH-000294,-1.5048623375470709
ACH-000295,-0.8559803870629562
ACH-000296,-0.31589673948198804
ACH-000302,-0.2346739346750089
ACH-000304,-0.5097840928413305
ACH-000307,-0.8354035164212602
ACH-000308,-0.19434125166134048
ACH-000310,-0.28901621934398275
ACH-000311,-0.551157340820844
ACH-000312,-0.1058491877968146
ACH-000315,-0.7496660479691096
ACH-000316,-0.5466346758316466
ACH-000317,-0.4273117429815225
ACH-000318,-1.0165293710548486
ACH-000319,-0.3563494253881991
ACH-000320,-0.5128086302562801
ACH-000322,-0.6434702938279708
ACH-000323,-0.49302918356290604
ACH-000324,-1.0841509956188045
ACH-000329,-0.3247723723795051
ACH-000330,-0.21552056576804535
ACH-000331,-0.6250082869591695
ACH-000332,-0.7420539149103514
ACH-000334,-0.5563603850863676
ACH-000335,-1.0066925702164038
ACH-000336,-0.003744327637702872
ACH-000337,-0.8607789968361784
ACH-000338,-0.27397520252130864
ACH-000339,-0.409748788187827
ACH-000341,-0.4055537583246073
ACH-000348,-0.4349770417915244
ACH-000350,-0.2859215649422461
ACH-000352,-0.771368588225805
ACH-000356,-0.5464383644978612
ACH-000361,-1.025465806789091
ACH-000362,-0.7169193109114568
ACH-000363,-0.17845877262513238
ACH-000364,-0.19559975611056887
ACH-000365,-0.21292664211544626
ACH-000366,-0.2784305437214871
ACH-000368,-0.3650721799977058
ACH-000374,-0.2368231560866769
ACH-000375,-0.4766122832585698
ACH-000376,-0.7868290462823184
ACH-000381,-0.6451161247027191
ACH-000383,-0.6082872376375741
ACH-000387,-0.9043688245356882
ACH-000389,-0.5141834182317163
ACH-000390,-0.940106282717018
ACH-000393,-0.32756088232229297
ACH-000395,-0.7349890297280811
ACH-000396,-0.4300194177317088
ACH-000397,-0.2725680423685467
ACH-000401,-0.28411068154722685
ACH-000402,-1.090991089722219
ACH-000403,-1.0225820715730796
ACH-000404,-1.0663852351305798
ACH-000406,-0.2472479582865117
ACH-000407,-0.6176966573449985
ACH-000408,-0.9042455044889312
ACH-000410,-0.1866028893680944
ACH-000411,-0.8149895669752402
ACH-000414,-0.5030916649296461
ACH-000415,-0.8998213755009634
ACH-000416,-0.42124606398806735
ACH-000420,-0.3342573797715126
ACH-000421,-0.3609236132481368
ACH-000424,-0.5804062065291413
ACH-000425,-0.8392422819314683
ACH-000426,-0.32837122005963426
ACH-000427,-0.6964595896998048
ACH-000433,-0.4820377049504167
ACH-000435,-0.2570421443569407
ACH-000436,-0.2895483196949424
ACH-000444,-0.4454753215258242
ACH-000445,-0.6012521761161197
ACH-000448,-0.2935322783880735
ACH-000450,-0.7087190748829814
ACH-000452,-0.3204217072529122
ACH-000454,-0.8499084820110355
ACH-000458,-0.22153818230832528
ACH-000459,-0.5191236448362139
ACH-000460,-0.6541378689828349
ACH-000461,-0.6248839593682906
ACH-000463,-0.7662695174847693
ACH-000464,-0.4533987876104613
ACH-000466,-0.587775386355987
ACH-000467,-0.9392327701910688
ACH-000468,-0.4276089502848253
ACH-000469,-0.2899176884513173
ACH-000470,-0.36017631124094274
ACH-000471,-0.8535852366823634
ACH-000472,-0.564964668260879
ACH-000473,-0.8568273335108068
ACH-000475,-0.4302511257697293
